date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1998-08-01,80,55,T,M,M
1998-08-02,65,57,0.26,M,M
1998-08-03,69,58,0.11,M,M
1998-08-04,74,56,0.01,M,M
1998-08-05,82,51,0.00,M,M
1998-08-06,89,53,0.00,M,M
1998-08-07,90,59,0.00,M,M
1998-08-08,82,64,T,M,M
1998-08-09,86,56,0.00,M,M
1998-08-10,81,62,0.04,M,0
1998-08-11,87,55,0.00,M,M
1998-08-12,88,61,0.00,M,M
1998-08-13,88,63,0.00,M,M
1998-08-14,79,60,0.32,M,M
1998-08-15,87,58,0.10,M,M
1998-08-16,86,57,T,M,M
1998-08-17,83,57,0.02,M,0
1998-08-18,82,60,0.03,M,M
1998-08-19,78,55,0.06,M,0
1998-08-20,84,59,0.05,M,M
1998-08-21,84,56,T,M,M
1998-08-22,87,57,0.00,M,M
1998-08-23,88,52,0.00,M,M
1998-08-24,74,52,0.00,M,M
1998-08-25,83,52,0.00,M,M
1998-08-26,86,58,T,M,M
1998-08-27,81,56,0.00,M,M
1998-08-28,87,57,0.00,M,M
1998-08-29,91,59,0.00,M,M
1998-08-30,86,63,0.00,M,M
1998-08-31,85,59,0.00,M,M
1998-09-01,87,56,0.00,M,M
1998-09-02,92,66,0.00,M,M
1998-09-03,90,67,0.00,M,M
1998-09-04,98,65,0.00,M,M
1998-09-05,91,68,0.00,M,M
1998-09-06,87,69,T,M,M
1998-09-07,92,63,0.06,M,M
1998-09-08,93,63,T,M,M
1998-09-09,92,59,0.00,M,M
1998-09-10,90,61,0.00,M,M
1998-09-11,81,57,0.06,M,M
1998-09-12,70,56,0.36,M,M
1998-09-13,65,52,0.39,M,M
1998-09-14,76,52,0.00,M,M
1998-09-15,83,54,0.00,M,M
1998-09-16,86,53,0.00,M,M
1998-09-17,86,60,0.00,M,M
1998-09-18,89,59,0.00,M,M
1998-09-19,63,46,0.04,M,M
1998-09-20,50,43,0.43,M,M
1998-09-21,54,41,0.06,M,M
1998-09-22,64,36,0.00,M,M
1998-09-23,65,44,0.00,M,M
1998-09-24,74,44,0.00,M,M
1998-09-25,75,47,T,M,0
1998-09-26,56,43,T,M,M
1998-09-27,68,39,0.00,M,M
1998-09-28,72,49,0.00,M,M
1998-09-29,75,47,0.00,M,M
1998-09-30,58,42,0.00,M,0
1998-10-01,65,41,0.00,M,M
1998-10-02,63,37,0.32,M,M
1998-10-03,46,39,0.41,M,M
1998-10-04,42,36,0.43,M,M
1998-10-05,49,38,T,M,M
1998-10-06,59,42,0.00,M,M
