date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1979-09-01,72,28,0.00,0.0,0
1979-09-02,76,30,0.00,0.0,0
1979-09-03,76,28,0.00,0.0,0
1979-09-04,77,30,0.00,0.0,0
1979-09-05,77,30,0.00,0.0,0
1979-09-06,80,30,0.00,0.0,0
1979-09-07,81,34,0.00,0.0,0
1979-09-08,80,31,0.00,0.0,0
1979-09-09,80,39,0.01,0.0,0
1979-09-10,80,38,0.00,0.0,0
1979-09-11,66,21,0.00,0.0,0
1979-09-12,66,25,0.00,0.0,0
1979-09-13,65,23,0.00,0.0,0
1979-09-14,61,25,0.00,0.0,0
1979-09-15,76,24,0.00,0.0,0
1979-09-16,74,24,0.00,0.0,0
1979-09-17,75,32,0.00,0.0,0
1979-09-18,76,30,0.00,0.0,0
1979-09-19,76,30,0.00,0.0,0
1979-09-20,73,30,0.00,0.0,0
1979-09-21,72,29,0.00,0.0,0
1979-09-22,74,26,0.00,0.0,0
1979-09-23,73,25,0.00,0.0,0
1979-09-24,73,26,0.00,0.0,0
1979-09-25,71,26,0.10,0.0,0
1979-09-26,71,35,0.12,0.0,0
1979-09-27,63,31,0.00,0.0,0
1979-09-28,67,26,0.00,0.0,0
1979-09-29,71,25,0.00,0.0,0
1979-09-30,68,26,0.00,0.0,0
1979-10-01,70,22,0.00,0.0,0
1979-10-02,69,29,0.00,0.0,0
1979-10-03,72,19,0.00,0.0,0
1979-10-04,68,20,0.00,0.0,0
1979-10-05,64,25,0.00,0.0,0
1979-10-06,71,28,0.00,0.0,0
1979-10-07,75,33,0.00,0.0,0
1979-10-08,70,30,0.00,0.0,0
1979-10-09,56,20,0.00,0.0,0
1979-10-10,70,22,0.00,0.0,0
1979-10-11,70,35,0.00,0.0,0
1979-10-12,70,33,0.00,0.0,0
1979-10-13,69,24,0.00,0.0,0
1979-10-14,62,31,0.00,0.0,0
1979-10-15,51,25,0.23,0.0,0
1979-10-16,51,28,0.02,0.0,0
1979-10-17,50,26,0.04,0.0,0
1979-10-18,51,22,0.14,0.0,0
1979-10-19,51,24,0.35,M,M
1979-10-20,50,24,0.06,M,M
1979-10-21,38,14,0.00,0.0,0
