date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1913-06-01,M,30,0.00,0.0,M
1913-06-02,69,M,0.12,0.0,M
1913-06-03,75,27,0.00,0.0,M
1913-06-04,75,M,T,0.0,M
1913-06-05,70,37,0.02,0.0,M
1913-06-06,63,42,0.33,0.0,M
1913-06-07,69,44,0.03,0.0,M
1913-06-08,71,34,0.07,0.0,M
1913-06-09,69,34,0.00,0.0,M
1913-06-10,69,30,0.07,0.0,M
1913-06-11,54,41,0.51,0.0,M
1913-06-12,62,26,0.23,0.0,M
1913-06-13,69,M,0.02,0.0,M
1913-06-14,70,30,0.06,0.0,M
1913-06-15,72,M,0.00,0.0,M
1913-06-16,M,30,0.00,0.0,M
1913-06-17,74,31,0.00,0.0,M
1913-06-18,74,45,0.07,0.0,M
1913-06-19,77,34,T,0.0,M
1913-06-20,72,M,0.00,0.0,M
1913-06-21,77,34,0.00,0.0,M
1913-06-22,79,32,0.00,0.0,M
1913-06-23,74,37,0.05,0.0,M
1913-06-24,61,37,0.11,0.0,M
1913-06-25,63,39,T,0.0,M
1913-06-26,57,39,0.26,0.0,M
1913-06-27,M,39,0.01,0.0,M
1913-06-28,56,41,0.30,0.0,M
1913-06-29,59,41,0.05,0.0,M
1913-06-30,64,34,0.07,0.0,M
1913-07-01,71,M,T,0.0,M
1913-07-02,65,M,0.13,0.0,M
1913-07-03,63,39,0.11,0.0,M
1913-07-04,68,42,0.07,0.0,M
1913-07-05,75,33,0.00,0.0,M
1913-07-06,M,M,0.00,0.0,M
1913-07-07,M,M,0.04,0.0,M
1913-07-08,M,M,0.00,0.0,M
1913-07-09,M,M,0.00,0.0,M
1913-07-10,66,45,0.45,0.0,M
1913-07-11,63,39,0.00,0.0,M
1913-07-12,M,M,0.00,0.0,M
1913-07-13,M,35,0.00,0.0,M
1913-07-14,M,M,0.00,0.0,M
1913-07-15,M,31,0.00,0.0,M
1913-07-16,77,29,0.00,0.0,M
1913-07-17,74,30,0.00,0.0,M
1913-07-18,76,31,0.00,0.0,M
1913-07-19,78,35,0.00,0.0,M
1913-07-20,78,31,0.00,0.0,M
1913-07-21,80,M,0.24,0.0,M
1913-07-22,67,49,0.14,0.0,M
1913-07-23,68,47,0.03,0.0,M
1913-07-24,63,39,0.14,0.0,M
1913-07-25,64,47,0.14,0.0,M
1913-07-26,M,45,0.77,0.0,M
1913-07-27,M,41,0.22,0.0,M
1913-07-28,M,21,0.05,0.0,M
1913-07-29,60,M,0.81,0.0,M
1913-07-30,M,M,0.73,T,M
1913-07-31,76,26,0.00,0.0,M
1913-08-01,81,M,0.00,M,M
1913-08-02,M,M,0.00,M,M
1913-08-03,M,M,T,M,M
1913-08-04,M,49,0.10,M,M
1913-08-05,M,45,0.10,M,M
1913-08-06,69,M,0.05,M,M
1913-08-07,71,47,0.00,M,M
1913-08-08,66,42,0.07,M,M
1913-08-09,M,42,0.44,M,M
1913-08-10,71,28,0.00,M,M
1913-08-11,77,30,0.00,M,M
1913-08-12,74,43,0.05,M,M
1913-08-13,M,32,0.00,M,M
1913-08-14,M,31,0.00,M,M
1913-08-15,70,28,T,M,M
1913-08-16,72,M,T,M,M
1913-08-17,M,29,0.00,M,M
1913-08-18,M,28,0.00,M,M
1913-08-19,M,M,0.00,M,M
1913-08-20,M,M,0.00,M,M
1913-08-21,73,29,0.00,M,M
1913-08-22,M,M,0.00,M,M
1913-08-23,M,M,0.00,M,M
1913-08-24,M,34,0.00,M,M
1913-08-25,M,35,0.00,M,M
1913-08-26,M,38,T,M,M
1913-08-27,M,M,0.01,M,M
1913-08-28,M,M,0.00,M,M
1913-08-29,M,M,0.00,M,M
1913-08-30,M,M,T,M,M
1913-08-31,74,34,0.01,M,M
1913-09-01,73,37,0.00,0.0,M
1913-09-02,M,31,0.40,0.0,M
1913-09-03,70,40,0.00,0.0,M
1913-09-04,M,M,0.00,0.0,M
1913-09-05,M,M,0.00,0.0,M
1913-09-06,M,M,0.00,0.0,M
1913-09-07,M,M,0.00,0.0,M
1913-09-08,M,M,0.00,0.0,M
1913-09-09,M,M,0.00,0.0,M
1913-09-10,M,M,0.00,0.0,M
1913-09-11,73,21,0.00,0.0,M
1913-09-12,76,23,0.00,0.0,M
1913-09-13,76,24,T,0.0,M
1913-09-14,60,49,0.13,0.0,M
1913-09-15,M,M,0.00,0.0,M
1913-09-16,63,27,0.00,0.0,M
1913-09-17,73,21,0.00,0.0,M
