date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1989-07-01,75,32,0.00,0.0,0
1989-07-02,80,35,0.00,0.0,0
1989-07-03,82,36,0.00,0.0,0
1989-07-04,86,36,0.00,0.0,0
1989-07-05,85,35,0.00,0.0,0
1989-07-06,83,36,0.00,0.0,0
1989-07-07,86,38,0.00,0.0,0
1989-07-08,85,38,0.00,0.0,0
1989-07-09,86,47,0.00,0.0,0
1989-07-10,80,49,T,0.0,0
1989-07-11,80,38,T,0.0,0
1989-07-12,82,46,0.00,0.0,0
1989-07-13,67,50,0.57,0.0,0
1989-07-14,72,38,0.00,0.0,0
1989-07-15,74,40,T,0.0,0
1989-07-16,74,41,0.59,0.0,0
1989-07-17,76,36,T,0.0,0
1989-07-18,67,34,0.00,0.0,0
1989-07-19,79,35,0.00,0.0,0
1989-07-20,81,41,0.00,0.0,0
1989-07-21,82,44,0.00,0.0,0
1989-07-22,80,50,T,0.0,0
1989-07-23,72,56,0.12,0.0,0
1989-07-24,76,41,0.13,0.0,0
1989-07-25,80,42,0.00,0.0,0
1989-07-26,82,43,0.00,0.0,0
1989-07-27,82,43,0.00,0.0,0
1989-07-28,79,44,0.00,0.0,0
1989-07-29,80,44,0.05,0.0,0
1989-07-30,78,41,0.00,0.0,0
1989-07-31,82,40,0.00,0.0,0
1989-08-01,83,40,0.00,0.0,0
1989-08-02,M,43,0.06,0.0,0
1989-08-03,77,32,0.00,0.0,0
1989-08-04,74,36,0.00,0.0,0
1989-08-05,73,33,0.00,0.0,0
1989-08-06,78,35,0.00,0.0,0
1989-08-07,77,36,0.00,0.0,0
1989-08-08,79,36,0.00,0.0,0
1989-08-09,67,45,T,0.0,0
1989-08-10,69,41,T,0.0,0
1989-08-11,73,39,0.08,0.0,0
1989-08-12,74,44,T,0.0,0
1989-08-13,76,41,0.34,0.0,0
1989-08-14,74,38,T,0.0,0
1989-08-15,65,32,0.07,0.0,0
1989-08-16,68,33,0.00,0.0,0
1989-08-17,76,35,T,0.0,0
1989-08-18,76,49,T,0.0,0
1989-08-19,68,34,0.14,0.0,0
1989-08-20,68,31,T,0.0,0
1989-08-21,65,32,0.07,0.0,0
1989-08-22,70,33,T,0.0,0
1989-08-23,76,31,0.00,0.0,0
1989-08-24,74,37,0.00,0.0,0
1989-08-25,60,20,0.02,0.0,0
1989-08-26,61,22,T,0.0,0
1989-08-27,67,28,0.01,0.0,0
1989-08-28,71,26,0.01,0.0,0
1989-08-29,68,28,0.00,0.0,0
1989-08-30,78,27,0.00,0.0,0
1989-08-31,76,24,0.00,0.0,0
