date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1950-06-21,M,M,0.03,M,M
1950-06-22,M,M,0.00,M,M
1950-06-23,M,M,0.00,M,M
1950-06-24,M,M,0.03,M,M
1950-06-25,M,M,0.00,M,M
1950-06-26,M,M,0.00,M,M
1950-06-27,M,M,0.02,M,M
1950-08-01,M,M,0.00,M,M
1950-08-02,M,M,0.05,M,M
1950-08-03,M,M,0.00,M,M
1950-08-04,M,M,0.20,M,M
1950-08-05,M,M,0.00,M,M
1950-08-06,M,M,0.00,M,M
1950-08-07,M,M,0.00,M,M
1950-08-08,M,M,0.00,M,M
1950-08-09,M,M,0.00,M,M
1950-08-10,M,M,0.00,M,M
1950-08-11,M,M,0.16,M,M
1950-08-12,M,M,0.30,M,M
1950-08-13,M,M,0.00,M,M
1950-08-14,M,M,0.00,M,M
1950-08-15,M,M,0.00,M,M
1950-08-16,M,M,0.00,M,M
1950-08-17,M,M,0.00,M,M
1950-08-18,M,M,0.00,M,M
1950-08-19,M,M,0.00,M,M
1950-08-20,M,M,0.00,M,M
1950-08-21,M,M,0.00,M,M
1950-08-22,M,M,0.00,M,M
1950-08-23,M,M,0.00,M,M
1950-08-24,M,M,0.06,M,M
1950-08-25,M,M,0.00,M,M
1950-08-26,M,M,0.00,M,M
1950-08-27,M,M,0.00,M,M
1950-08-28,M,M,0.00,M,M
1950-08-29,M,M,0.00,M,M
1950-08-30,M,M,0.00,M,M
1950-08-31,M,M,0.00,M,M
1950-09-01,M,M,0.00,M,M
1950-09-02,M,M,0.00,M,M
1950-09-03,M,M,0.00,M,M
1950-09-04,M,M,0.00,M,M
1950-09-05,M,M,0.00,M,M
1950-09-06,M,M,0.00,M,M
1950-09-07,M,M,0.00,M,M
1950-09-08,M,M,0.10,M,M
1950-09-09,M,M,0.07,M,M
1950-09-10,M,M,0.40,M,M
1950-09-11,M,M,0.20,M,M
1950-09-12,M,M,0.03,M,M
1950-09-13,M,M,0.15,M,M
1950-09-14,M,M,0.38,M,M
1950-09-15,M,M,0.21,M,M
1950-09-16,M,M,0.00,M,M
1950-09-17,M,M,0.00,M,M
1950-09-18,M,M,0.17,M,M
1950-09-19,M,M,0.02,M,M
1950-09-20,M,M,0.55,M,M
1950-09-21,M,M,0.00,M,M
1950-09-22,M,M,0.00,M,M
1950-09-23,M,M,0.00,M,M
1950-09-24,M,M,0.00,M,M
1950-09-25,M,M,0.00,M,M
1950-09-26,M,M,0.00,M,M
1950-09-27,M,M,0.00,M,M
1950-09-28,M,M,0.00,M,M
1950-09-29,M,M,0.06,M,M
1950-09-30,M,M,0.12,M,M
1950-10-01,M,M,0.03,M,M
1950-10-02,M,M,0.03,M,M
1950-10-03,M,M,0.00,M,M
1950-10-04,M,M,0.00,M,M
1950-10-05,M,M,0.00,M,M
1950-10-06,M,M,0.00,M,M
1950-10-07,M,M,0.00,M,M
1950-10-08,M,M,0.00,M,M
1950-10-09,M,M,0.00,M,M
1950-10-10,M,M,0.00,M,M
1950-10-11,M,M,0.00,M,M
1950-10-12,M,M,0.00,M,M
1950-10-13,M,M,0.00,M,M
1950-10-14,M,M,0.00,M,M
1950-10-15,M,M,0.07,M,M
1950-10-16,M,M,0.00,M,M
1950-10-17,M,M,0.00,M,M
1950-10-18,M,M,0.00,M,M
1950-10-19,M,M,0.00,M,M
1950-10-20,M,M,0.00,M,M
1950-10-21,M,M,0.00,M,M
1950-10-22,M,M,0.00,M,M
1950-10-23,M,M,0.00,M,M
1950-10-24,M,M,0.07,M,M
1950-10-25,M,M,0.00,M,M
1950-10-26,M,M,0.00,M,M
1950-10-29,M,M,0.03,M,M
1950-10-30,M,M,0.04,M,M
1950-10-31,M,M,0.08,M,M
1951-03-21,M,M,0.00,M,M
1951-03-22,M,M,0.00,M,M
1951-03-23,M,M,0.00,M,M
1951-03-24,M,M,0.00,M,M
1951-03-25,M,M,0.00,M,M
1951-03-26,M,M,0.00,M,M
1951-03-27,M,M,0.00,M,M
1951-03-28,M,M,0.00,M,M
1951-03-29,M,M,0.00,M,M
1951-03-30,M,M,0.00,M,M
1951-03-31,M,M,0.00,M,M
1951-04-01,M,M,0.00,M,M
1951-04-02,M,M,0.00,M,M
1951-04-03,M,M,0.00,M,M
1951-04-04,M,M,0.00,M,M
1951-04-05,M,M,0.00,M,M
1951-04-06,M,M,0.00,M,M
1951-04-07,M,M,0.00,M,M
1951-04-08,M,M,0.00,M,M
1951-04-09,M,M,0.00,M,M
1951-04-10,M,M,0.00,M,M
1951-04-11,M,M,0.00,M,M
1951-04-12,M,M,0.00,M,M
1951-04-13,M,M,0.00,M,M
1951-04-14,M,M,0.00,M,M
1951-04-15,M,M,0.00,M,M
1951-04-16,M,M,0.00,M,M
1951-04-17,M,M,0.00,M,M
1951-04-18,M,M,0.00,M,M
1951-04-19,M,M,0.00,M,M
1951-04-20,M,M,0.00,M,M
1951-04-21,M,M,0.00,M,M
1951-04-22,M,M,0.00,M,M
1951-04-23,M,M,0.00,M,M
1951-04-24,M,M,0.00,M,M
1951-04-25,M,M,0.00,M,M
1951-04-26,M,M,0.00,M,M
1951-04-27,M,M,0.00,M,M
1951-04-28,M,M,0.00,M,M
1951-04-29,M,M,S,M,M
1951-05-02,M,M,0.00A,M,M
1951-05-03,M,M,0.00,M,M
1951-05-04,M,M,0.00,M,M
1951-05-05,M,M,0.00,M,M
1951-05-06,M,M,0.00,M,M
1951-05-07,M,M,0.00,M,M
1951-05-08,M,M,0.00,M,M
1951-05-09,M,M,0.00,M,M
1951-05-10,M,M,0.00,M,M
1951-05-11,M,M,0.00,M,M
1951-05-12,M,M,0.00,M,M
1951-05-13,M,M,0.00,M,M
1951-05-14,M,M,0.00,M,M
1951-05-15,M,M,0.00,M,M
1951-05-16,M,M,1.09,M,M
1951-05-17,M,M,0.00,M,M
1951-05-18,M,M,0.00,M,M
1951-05-19,M,M,0.00,M,M
1951-05-20,M,M,0.27,M,M
1951-05-21,M,M,0.03,M,M
1951-05-22,M,M,0.00,M,M
1951-05-23,M,M,0.00,M,M
1951-05-24,M,M,0.15,M,M
1951-05-25,M,M,0.03,M,M
1951-05-26,M,M,0.00,M,M
1951-05-27,M,M,0.01,M,M
1951-05-28,M,M,0.01,M,M
1951-05-29,M,M,0.47,M,M
1951-05-30,M,M,0.12,M,M
1951-05-31,M,M,0.14,M,M
2013-07-24,88,59,0.00,M,M
2013-07-25,90,60,0.03,M,M
2013-07-26,90,56,0.00,M,M
2013-07-27,90,60,0.00,M,M
2013-07-28,78,52,0.00,M,M
2013-07-29,82,52,0.06,M,M
2013-07-30,77,53,0.13,M,M
2013-07-31,78,52,0.02,M,M
2013-08-01,84,54,0.06,0.0,0
2013-08-02,91,55,0.04,0.0,0
2013-08-03,87,54,0.00,0.0,0
2013-08-04,88,55,0.00,0.0,0
2013-08-05,88,56,0.00,0.0,0
2013-08-06,84,56,0.00,0.0,0
2013-08-07,83,55,0.00,0.0,0
2013-08-08,86,55,0.00,0.0,0
2013-08-09,85,55,T,0.0,0
2013-08-10,85,51,0.00,0.0,0
2013-08-11,84,51,0.18,0.0,0
2013-08-12,86,57,0.00,0.0,0
2013-08-13,86,55,0.00,0.0,0
2013-08-14,88,55,0.00,0.0,0
2013-08-15,82,55,0.00,0.0,0
2013-08-16,90,55,0.00,0.0,0
2013-08-17,94,62,0.00,0.0,0
2013-08-18,95,63,0.00,0.0,0
2013-08-19,90,63,0.00,0.0,0
2013-08-20,92,66,T,0.0,0
2013-08-21,92,66,0.00,0.0,0
2013-08-22,83,62,0.05,0.0,0
2013-08-23,87,62,0.00,0.0,0
2013-08-24,90,60,0.10,0.0,0
2013-08-25,83,56,T,0.0,0
2013-08-26,87,58,T,0.0,0
2013-08-27,71,60,0.00,0.0,0
2013-08-28,86,60,0.00,0.0,0
2013-08-29,92,58,0.00,0.0,0
2013-08-30,90,61,T,0.0,0
2013-08-31,91,60,0.00,0.0,0
2013-09-01,82,55,0.00,0.0,0
2013-09-02,88,57,0.00,0.0,0
2013-09-03,88,57,T,0.0,0
2013-09-04,85,56,0.11,0.0,0
2013-09-05,88,57,0.00,0.0,0
2013-09-06,92,62,T,0.0,0
2013-09-07,88,56,0.08,0.0,0
2013-09-08,86,56,T,0.0,0
2013-09-09,74,49,0.04,0.0,0
2013-09-10,74,49,0.19,0.0,0
2013-09-11,75,53,0.00,0.0,0
2013-09-12,78,53,0.00,0.0,0
2013-09-13,63,52,0.09,0.0,0
2013-09-14,68,50,0.04,0.0,0
2013-09-15,64,49,0.18,0.0,0
2013-09-16,63,48,0.01,0.0,0
2013-09-17,80,48,0.00,0.0,0
2013-09-18,81,49,0.98,0.0,0
2013-09-19,66,38,0.12,0.0,0
2013-09-20,66,37,0.00,0.0,0
2013-09-21,72,40,0.00,0.0,0
