date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1897-04-01,M,M,0.00,M,M
1897-04-02,M,M,0.00,M,M
1897-04-03,M,M,0.00,M,M
1897-04-04,M,M,0.00,M,M
1897-04-05,M,M,0.00,M,M
1897-04-06,M,M,0.00,M,M
1897-04-07,M,M,0.00,M,M
1897-04-08,M,M,0.00,M,M
1897-04-09,M,M,0.00,M,M
1897-04-10,M,M,0.00,M,M
1897-04-11,M,M,0.00,M,M
1897-04-12,M,M,0.00,M,M
1897-04-13,M,M,0.00,M,M
1897-04-14,M,M,0.00,M,M
1897-04-15,M,M,0.00,M,M
1897-04-16,68,26,0.00,M,M
1897-04-17,80,30,0.00,M,M
1897-04-18,72,35,0.00,M,M
1897-04-19,67,27,0.00,M,M
1897-04-20,72,35,T,M,M
1897-04-21,63,40,0.00,M,M
1897-04-22,59,20,0.00,M,M
1897-04-23,55,35,0.02,M,M
1897-04-24,69,25,0.00,M,M
1897-04-25,76,30,0.00,M,M
1897-04-26,83,30,0.00,M,M
1897-04-27,76,34,0.00,M,M
1897-04-28,70,26,0.00,M,M
1897-04-29,66,40,0.00,M,M
1897-04-30,73,30,0.00,M,M
1897-05-01,77,31,M,0.0,M
1897-05-02,75,32,M,0.0,M
1897-05-03,80,36,M,0.0,M
1897-05-04,81,41,T,0.0,M
1897-05-05,83,41,M,0.0,M
1897-05-06,86,41,M,0.0,M
1897-05-07,78,41,M,0.0,M
1897-05-08,63,29,M,0.0,M
1897-05-09,67,31,M,0.0,M
1897-05-10,67,42,M,0.0,M
1897-05-11,67,39,M,0.0,M
1897-05-12,70,48,M,0.0,M
1897-05-13,67,36,M,0.0,M
1897-05-14,82,33,M,0.0,M
1897-05-15,85,42,M,0.0,M
1897-05-16,84,43,T,0.0,M
1897-05-17,84,42,M,0.0,M
1897-05-18,82,50,0.04,0.0,M
1897-05-19,85,45,M,0.0,M
1897-05-20,77,47,M,0.0,M
1897-05-21,80,56,M,0.0,M
1897-05-22,73,36,M,0.0,M
1897-05-23,77,36,M,0.0,M
1897-05-24,87,42,M,0.0,M
1897-05-25,82,47,T,0.0,M
1897-05-26,72,47,0.60,0.0,M
1897-05-27,67,47,M,0.0,M
1897-05-28,80,47,M,0.0,M
1897-05-29,83,49,M,0.0,M
1897-05-30,79,M,0.02,0.0,M
1897-05-31,72,49,0.15,0.0,M
1897-06-01,63,48,0.29,M,M
1897-06-02,51,44,0.03,M,M
1897-06-03,57,42,0.01,M,M
1897-06-04,68,35,0.02,M,M
1897-06-05,61,43,0.00,M,M
1897-06-06,73,40,0.00,M,M
1897-06-07,78,52,0.08,M,M
1897-06-08,80,55,0.13,M,M
1897-06-09,77,46,0.00,M,M
1897-06-10,76,45,0.00,M,M
1897-06-11,86,42,0.00,M,M
1897-06-12,89,50,0.00,M,M
1897-06-13,92,46,0.00,M,M
1897-06-14,96,53,0.00,M,M
1897-06-15,93,52,0.00,M,M
1897-06-16,92,41,0.35,M,M
1897-06-17,61,41,T,M,M
1897-06-18,73,46,0.00,M,M
1897-06-19,81,47,0.05,M,M
1897-06-20,86,48,0.00,M,M
1897-06-21,90,50,0.00,M,M
1897-06-22,90,53,T,M,M
1897-06-23,78,52,0.08,M,M
1897-06-24,70,47,0.05,M,M
1897-06-25,78,46,0.00,M,M
1897-06-26,76,52,0.00,M,M
1897-06-27,74,55,T,M,M
1897-06-28,80,44,T,M,M
1897-06-29,81,47,0.03,M,M
1897-06-30,88,46,0.00,M,M
1897-07-01,92,57,0.00,0.0,0
1897-07-02,85,55,0.15,0.0,0
1897-07-03,71,47,T,0.0,0
1897-07-04,72,48,0.04,0.0,0
1897-07-05,80,40,T,0.0,0
1897-07-06,83,48,0.00,0.0,0
1897-07-07,81,51,0.00,0.0,0
1897-07-08,80,36,0.00,0.0,0
1897-07-09,77,48,0.00,0.0,0
1897-07-10,84,42,0.00,0.0,0
1897-07-11,88,48,0.00,0.0,0
1897-07-12,94,46,0.00,0.0,0
1897-07-13,92,53,0.03,0.0,0
1897-07-14,84,57,0.06,0.0,0
1897-07-15,90,46,T,0.0,0
1897-07-16,90,55,0.13,0.0,0
1897-07-17,79,33,T,0.0,0
1897-07-18,68,45,T,0.0,0
1897-07-19,72,39,T,0.0,0
1897-07-20,80,50,0.00,0.0,0
1897-07-21,88,44,T,0.0,0
1897-07-22,85,42,T,0.0,0
1897-07-23,83,47,0.00,0.0,0
1897-07-24,85,45,T,0.0,0
1897-07-25,87,53,0.00,0.0,0
1897-07-26,88,50,0.00,0.0,0
1897-07-27,93,49,T,0.0,0
1897-07-28,94,47,0.00,0.0,0
1897-07-29,91,52,0.00,0.0,0
1897-07-30,82,62,0.17,0.0,0
1897-07-31,90,51,0.00,0.0,0
1897-08-01,83,56,0.00,0.0,0
1897-08-02,79,55,0.00,0.0,0
1897-08-03,76,51,0.00,0.0,0
1897-08-04,84,47,T,0.0,0
1897-08-05,90,53,0.00,0.0,0
1897-08-06,87,55,0.00,0.0,0
1897-08-07,87,49,0.00,0.0,0
1897-08-08,87,49,0.00,0.0,0
1897-08-09,83,61,0.01,0.0,0
1897-08-10,87,51,T,0.0,0
1897-08-11,94,55,0.00,0.0,0
1897-08-12,90,48,0.00,0.0,0
1897-08-13,M,M,0.00,0.0,0
1897-08-14,81,45,0.00,0.0,0
1897-08-15,84,44,0.00,0.0,0
1897-08-16,82,45,0.00,0.0,0
1897-08-17,80,46,0.00,0.0,0
1897-08-18,83,43,0.00,0.0,0
1897-08-19,87,40,0.00,0.0,0
1897-08-20,88,45,0.00,0.0,0
1897-08-21,86,45,0.00,0.0,0
1897-08-22,88,47,0.00,0.0,0
1897-08-23,94,46,0.00,0.0,0
1897-08-24,M,M,0.00,M,M
1897-08-25,92,40,0.00,0.0,0
1897-08-26,81,41,0.00,0.0,0
1897-08-27,87,45,0.00,0.0,0
1897-08-28,87,44,0.00,0.0,0
1897-08-29,91,46,0.00,0.0,0
1897-08-30,81,56,0.00,0.0,0
1897-08-31,M,M,0.00,M,M
1897-09-01,89,46,0.00,0.0,0
1897-09-02,87,42,T,0.0,0
1897-09-03,83,64,0.02,0.0,0
1897-09-04,82,39,0.04,0.0,0
1897-09-05,88,40,0.00,0.0,0
1897-09-06,94,44,0.00,0.0,0
1897-09-07,92,41,0.00,0.0,0
1897-09-08,84,57,0.00,0.0,0
1897-09-09,61,32,0.00,0.0,0
1897-09-10,80,36,0.00,0.0,0
1897-09-11,84,40,0.00,0.0,0
1897-09-12,80,53,T,0.0,0
1897-09-13,84,42,0.00,0.0,0
1897-09-14,73,50,0.00,0.0,0
1897-09-15,68,35,T,0.0,0
1897-09-16,65,33,0.00,0.0,0
1897-09-17,78,29,0.00,0.0,0
1897-09-18,79,36,0.00,0.0,0
1897-09-19,83,33,0.00,0.0,0
1897-09-20,81,37,0.00,0.0,0
1897-09-21,84,37,0.00,0.0,0
1897-09-22,81,44,0.00,0.0,0
1897-09-23,78,42,T,0.0,0
1897-09-24,80,41,0.00,0.0,0
1897-09-25,82,37,0.00,0.0,0
