date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1991-12-01,M,M,0.00,0.0,7
1991-12-02,M,M,0.00,0.0,6
1991-12-03,M,M,0.00,0.0,6
1991-12-04,M,M,0.00,0.0,5
1991-12-05,M,M,0.00,0.0,5
1991-12-06,M,M,0.00,0.0,5
1991-12-07,M,M,0.00,0.0,5
1991-12-08,M,M,0.02,0.0,5
1991-12-09,M,M,0.00,0.0,5
1991-12-10,M,M,0.00,0.0,5
1991-12-11,M,M,0.00,0.0,5
1991-12-12,M,M,0.00,0.0,4
1991-12-13,M,M,T,T,4
1991-12-14,M,M,0.00,0.0,4
1991-12-15,M,M,0.00,0.0,4
1991-12-16,M,M,0.00,0.0,4
1991-12-17,M,M,0.00,0.0,4
1991-12-18,M,M,0.00,0.0,4
1991-12-19,M,M,0.04,T,M
1991-12-20,M,M,0.15,M,M
1991-12-21,M,M,0.00,0.0,8
1991-12-22,M,M,0.00,0.0,8
1991-12-23,M,M,0.00,0.0,8
1991-12-24,M,M,0.00,0.0,8
1991-12-25,M,M,0.00,0.0,7
1991-12-26,M,M,0.00,0.0,7
1991-12-27,M,M,0.00,0.0,7
1991-12-28,M,M,0.00,0.0,7
1991-12-29,M,M,0.00,0.0,6
1991-12-30,M,M,0.00,0.0,6
1991-12-31,M,M,0.00,0.0,6
1992-01-01,M,M,0.00,0.0,6
1992-01-02,M,M,0.00,0.0,6
1992-01-03,M,M,0.00,0.0,5
1992-01-04,M,M,0.00,0.0,5
1992-01-05,M,M,0.00,0.0,5
1992-01-06,M,M,0.00,0.0,5
1992-01-07,M,M,0.00,0.0,5
1992-01-08,M,M,T,T,5
1992-01-09,M,M,0.00,0.0,5
1992-01-10,M,M,0.00,0.0,5
1992-01-11,M,M,0.00,0.0,5
1992-01-12,M,M,0.00,0.0,5
1992-01-13,M,M,0.00,0.0,5
1992-01-14,M,M,T,T,5
1992-01-15,M,M,0.00,0.0,5
1992-01-16,M,M,0.00,0.0,5
1992-01-17,M,M,0.00,0.0,5
1992-01-18,M,M,0.00,0.0,5
1992-01-19,M,M,0.00,0.0,5
1992-01-20,M,M,0.00,0.0,4
1992-01-21,M,M,0.00,0.0,4
1992-01-22,M,M,0.00,0.0,4
1992-01-23,M,M,0.00,0.0,4
1992-01-24,M,M,0.00,0.0,4
1992-01-25,M,M,0.00,0.0,4
1992-01-26,M,M,0.00,0.0,4
1992-01-27,M,M,0.00,0.0,4
1992-01-28,M,M,0.00,0.0,4
1992-01-29,M,M,0.00,0.0,4
1992-01-30,M,M,0.00,0.0,4
1992-01-31,M,M,0.00,0.0,3
1992-02-01,M,M,0.00,0.0,3
1992-02-02,M,M,0.00,0.0,3
1992-02-03,M,M,0.00,0.0,3
1992-02-04,M,M,0.00,0.0,3
1992-02-05,M,M,0.00,0.0,3
1992-02-06,M,M,0.00,0.0,3
1992-02-07,M,M,0.00,0.0,3
1992-02-08,M,M,0.00,0.0,2
1992-02-09,M,M,0.00,0.0,2
1992-02-10,M,M,0.00,0.0,2
1992-02-11,M,M,0.00,0.0,2
1992-02-12,M,M,0.00,0.0,2
1992-02-13,M,M,0.00,0.0,2
1992-02-14,M,M,0.00,0.0,2
1992-02-15,M,M,0.00,0.0,1
1992-02-16,M,M,0.00,0.0,1
1992-02-17,M,M,0.06,T,1
1992-02-18,M,M,0.00,0.0,T
1992-02-19,M,M,0.00,0.0,T
1992-02-20,M,M,0.00,0.0,T
1992-02-21,M,M,0.00,0.0,T
1992-02-22,M,M,0.00,0.0,T
1992-02-23,M,M,0.00,0.0,0
1992-02-24,M,M,0.00,0.0,0
1992-02-25,M,M,0.00,0.0,0
1992-02-26,M,M,0.00,0.0,0
1992-02-27,M,M,0.00,0.0,0
1992-02-28,M,M,0.00,0.0,0
1992-02-29,M,M,0.00,0.0,0
1992-03-01,M,M,0.00,0.0,0
1992-03-02,M,M,0.00,0.0,0
1992-03-03,M,M,0.00,0.0,0
1992-03-04,M,M,0.00,0.0,0
1992-03-05,M,M,0.29,3.0,M
1992-03-06,M,M,0.02,T,0
1992-03-07,M,M,0.00,0.0,0
1992-03-08,M,M,0.42,4.0,M
1992-03-09,M,M,0.12,1.0,M
1992-03-10,M,M,0.00,0.0,T
1992-03-11,M,M,0.00,0.0,0
1992-03-12,M,M,0.00,0.0,0
1992-03-13,M,M,0.00,0.0,0
1992-03-14,M,M,0.00,0.0,0
1992-03-15,M,M,0.00,0.0,0
1992-03-16,M,M,0.00,0.0,0
1992-03-17,M,M,0.00,0.0,0
1992-03-18,M,M,0.58,6.0,M
1992-03-19,M,M,0.27,3.0,M
1992-03-20,M,M,0.00,0.0,M
1992-03-21,M,M,0.02,0.0,M
1992-03-22,M,M,0.00,0.0,M
1992-03-23,M,M,0.00,0.0,M
1992-03-24,M,M,0.00,0.0,M
1992-03-25,M,M,0.00,0.0,M
1992-03-26,M,M,0.00,0.0,0
1992-03-27,M,M,0.00,0.0,0
1992-03-28,M,M,0.00,0.0,0
1992-03-29,M,M,0.10,0.0,0
1992-03-30,M,M,0.00,0.0,0
1992-03-31,M,M,0.00,0.0,0
1992-04-01,M,M,0.00,0.0,0
1992-04-02,M,M,0.00,0.0,0
1992-04-03,M,M,0.00,0.0,0
1992-04-04,M,M,0.00,0.0,0
1992-04-05,M,M,0.00,0.0,0
1992-04-06,M,M,0.00,0.0,0
1992-04-07,M,M,0.00,0.0,0
1992-04-08,M,M,0.00,0.0,0
1992-04-09,M,M,0.00,0.0,0
1992-04-10,M,M,0.00,0.0,0
1992-04-11,M,M,0.00,0.0,0
1992-04-12,M,M,0.00,0.0,0
1992-04-13,M,M,0.00,0.0,0
1992-04-14,M,M,0.00,0.0,0
1992-04-15,M,M,0.10,0.0,0
1992-04-16,M,M,0.14,0.0,0
1992-04-17,M,M,0.00,0.0,0
1992-04-18,M,M,0.58,M,M
1992-04-19,M,M,0.00,0.0,0
1992-04-20,M,M,0.00,0.0,0
1992-04-21,M,M,0.00,0.0,0
1992-04-22,M,M,0.18,0.0,0
1992-04-23,M,M,0.05,0.0,0
1992-04-24,M,M,0.05,0.0,0
1992-04-25,M,M,0.00,0.0,0
1992-04-26,M,M,0.00,0.0,0
1992-04-27,M,M,0.00,0.0,0
1992-04-28,M,M,0.00,0.0,0
1992-04-29,M,M,0.00,0.0,0
1992-04-30,M,M,0.00,0.0,0
1992-05-01,M,M,T,0.0,0
1992-05-02,M,M,0.00,0.0,0
1992-05-03,M,M,0.00,0.0,0
1992-05-04,M,M,0.00,0.0,0
1992-05-05,M,M,0.00,0.0,0
1992-05-06,M,M,0.00,0.0,0
1992-05-07,M,M,0.00,0.0,0
1992-05-08,M,M,0.00,0.0,0
1992-05-09,M,M,0.52,0.0,0
1992-05-10,M,M,0.22,0.0,0
1992-05-11,M,M,0.00,0.0,0
1992-05-12,M,M,0.00,0.0,0
1992-05-13,M,M,0.00,0.0,0
1992-05-14,M,M,0.00,0.0,0
1992-05-15,M,M,0.03,0.0,0
1992-05-16,M,M,0.00,0.0,0
1992-05-17,M,M,0.00,0.0,0
1992-05-18,M,M,0.00,0.0,0
1992-05-19,M,M,0.00,0.0,0
1992-05-20,M,M,0.00,0.0,0
1992-05-21,M,M,0.30,0.0,0
1992-05-22,M,M,0.18,0.0,0
