date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1881-02-11,40,M,M,M,M
1922-09-01,77,35,M,M,M
1922-09-02,75,31,M,M,M
1922-09-03,79,29,M,M,M
1922-09-04,79,33,M,M,M
1922-09-05,78,29,M,M,M
1922-09-06,80,29,M,M,M
1922-09-25,80,30,M,M,M
1922-09-26,87,29,M,M,M
1922-09-27,79,31,M,M,M
1922-09-30,74,M,M,M,M
1922-10-01,M,16,0.00,0.0,M
1922-10-02,M,18,0.00,0.0,M
1922-10-03,M,33,0.00,0.0,M
1922-10-04,M,20,0.00,0.0,M
1922-10-05,M,21,0.00,0.0,M
1922-10-06,M,14,0.00,0.0,M
1922-10-07,M,19,0.00,0.0,M
1922-10-08,M,M,0.00,0.0,M
1922-10-09,M,20,0.00,0.0,M
1922-10-10,M,22,0.00,0.0,M
1922-10-11,M,16,0.00,0.0,M
1922-10-12,M,15,0.00,0.0,M
1922-10-13,M,M,0.00,0.0,M
1922-10-14,M,M,0.00,0.0,M
1922-10-15,M,M,0.00,0.0,M
1922-10-16,M,10,0.01,0.0,M
1922-10-17,M,11,0.00,0.0,M
1922-10-18,M,12,0.00,0.0,M
1922-10-19,M,17,0.00,0.0,M
1922-10-20,M,20,0.00,0.0,M
1922-10-21,M,20,0.00,0.0,M
1922-10-22,M,22,0.00,0.0,M
1922-10-23,M,M,0.00,0.0,M
1922-10-24,M,M,0.00,0.0,M
1922-10-25,M,M,0.00,0.0,M
1922-10-26,M,M,0.00,0.0,M
1922-10-27,M,M,0.00,0.0,M
1922-10-28,M,M,0.00,0.0,M
1922-10-29,M,15,0.00,0.0,M
1922-10-30,M,15,0.00,0.0,M
1922-10-31,M,10,T,T,0
1923-01-01,30,14,0.00,0.0,12
1923-01-02,35,13,0.00,0.0,12
1923-01-03,30,13,0.00,0.0,11
1923-01-04,32,12,0.00,0.0,10
1923-01-05,35,M,T,0.0,10
1923-01-06,40,20,0.00,0.0,10
1923-01-07,30,20,0.00,0.0,10
1923-01-08,36,26,0.00,0.0,10
1923-01-09,40,20,0.00,0.0,9
1923-01-10,37,7,0.00,0.0,9
1923-01-11,35,6,0.00,0.0,9
1923-01-12,28,3,T,0.0,9
1923-01-13,27,3,0.00,0.0,9
1923-01-14,28,5,0.00,0.0,9
1923-01-15,28,3,0.00,0.0,8
1923-01-16,35,-0,0.00,0.0,8
1923-01-17,38,20,T,0.0,8
1923-01-18,M,M,0.00,0.0,M
1923-01-19,31,15,0.10,1.0,9
1923-01-20,34,-0,0.00,0.0,9
1923-01-21,34,-4,0.00,0.0,9
1923-01-22,M,M,0.00,0.0,M
1923-01-23,M,M,0.00,0.0,M
1923-01-24,36,14,0.10,1.0,10
1923-01-25,30,14,0.00,0.0,10
1923-01-26,25,15,0.00,0.0,10
1923-01-27,27,7,T,0.0,10
1923-01-28,20,10,T,0.0,10
1923-01-29,14,-5,0.00,0.0,10
1923-01-30,20,-23,0.00,0.0,10
1923-01-31,19,-12,0.00,0.0,10
1923-02-01,10,-28,0.00,0.0,10
1923-02-02,14,-2,0.00,0.0,10
1923-02-03,19,-23,0.10,1.0,11
1923-02-04,23,-2,0.00,0.0,10
1923-02-05,34,-4,0.40,4.0,14
1923-02-06,19,-10,0.00,0.0,14
1923-02-07,30,9,0.00,0.0,13
1923-02-08,M,5,0.00,0.0,13
1923-02-09,26,-20,0.00,0.0,12
1923-02-10,28,-3,0.00,0.0,12
1923-02-11,30,-7,0.00,0.0,12
1923-02-12,26,-1,0.00,0.0,12
1923-02-13,20,-11,T,T,12
1923-02-14,30,-16,0.00,0.0,12
1923-02-15,30,1,0.00,0.0,12
1923-02-16,30,-11,0.00,0.0,12
1923-02-17,33,-5,0.00,0.0,11
1923-02-18,35,-2,0.00,0.0,11
1923-02-19,38,15,0.00,0.0,10
1923-02-20,42,24,0.00,0.0,10
1923-02-21,31,10,0.00,0.0,10
1923-02-22,34,11,0.00,0.0,10
1923-02-23,34,-6,0.00,0.0,9
1923-02-24,39,-5,0.00,0.0,9
1923-02-25,32,18,0.00,0.0,9
1923-02-26,33,-16,0.00,0.0,9
1923-02-27,36,10,0.00,0.0,8
1923-02-28,38,-4,0.00,0.0,8
1923-03-01,40,-4,0.00,0.0,8
1923-03-02,35,20,T,T,8
1923-03-03,20,10,0.45,5.0,13
1923-03-04,24,-30,0.00,0.0,13
1923-03-05,29,10,0.00,0.0,13
1923-03-06,29,16,T,T,13
1923-03-07,32,19,T,T,13
1923-03-08,30,16,0.50,5.0,18
1923-03-09,25,-23,0.00,0.0,18
1923-03-10,28,-18,0.00,0.0,17
1923-03-11,30,16,0.00,0.0,17
1923-03-12,40,-8,0.00,0.0,17
1923-03-13,45,-8,T,T,17
1923-03-14,30,-7,0.00,0.0,17
1923-03-15,29,-20,0.00,0.0,17
1923-03-16,31,20,0.00,0.0,17
1923-03-17,30,4,0.00,0.0,17
1923-03-18,30,-23,0.00,0.0,17
1923-03-19,38,15,0.00,0.0,17
1923-03-20,28,-9,0.00,0.0,17
1923-03-21,28,4,0.00,0.0,16
1923-03-22,37,16,0.00,0.0,16
1923-03-23,30,8,0.00,0.0,15
1923-03-24,33,3,0.00,0.0,14
1923-03-25,44,-0,0.00,0.0,14
1923-03-26,52,1,0.00,0.0,12
1923-03-27,50,-1,0.00,0.0,11
1923-03-28,54,4,0.00,0.0,10
1923-03-29,57,7,0.00,0.0,9
1923-03-30,54,16,0.00,0.0,9
1923-03-31,50,16,0.00,0.0,8
1923-04-01,45,29,T,T,8
1923-04-02,36,26,T,T,8
1923-04-03,45,19,T,T,8
1923-04-04,41,26,0.00,0.0,8
1923-04-05,43,25,0.00,0.0,6
1923-04-06,39,20,0.30,3.0,9
1923-04-07,36,7,T,T,9
