date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1981-11-01,73,40,0.00,0.0,0
1981-11-02,70,40,0.00,0.0,0
1981-11-03,72,46,0.00,0.0,0
1981-11-04,73,42,0.00,0.0,0
1981-11-05,75,42,0.00,0.0,0
1981-11-06,64,48,0.50,0.0,0
1981-11-07,50,33,0.03,0.0,0
1981-11-08,50,27,0.00,0.0,0
1981-11-09,62,27,0.00,0.0,0
1981-11-10,46,36,0.07,0.0,0
1981-11-11,44,35,0.00,0.0,0
1981-11-12,53,30,0.00,0.0,0
1981-11-13,49,24,0.00,0.0,0
1981-11-14,60,24,0.00,0.0,0
1981-11-15,64,27,0.00,0.0,0
1981-11-16,65,27,0.00,0.0,0
1981-11-17,61,27,0.00,0.0,0
1981-11-18,58,39,T,0.0,0
1981-11-19,51,32,0.00,0.0,0
1981-11-20,69,32,0.26,0.0,0
1981-11-21,49,30,0.15,1.0,1
1981-11-22,33,28,0.04,0.5,1
1981-11-23,34,14,T,0.0,T
1981-11-24,44,14,0.00,0.0,0
1981-11-25,39,22,0.27,0.0,0
1981-11-26,38,22,0.00,0.0,0
1981-11-27,64,29,0.00,0.0,0
1981-11-28,53,26,0.00,0.0,0
1981-11-29,38,30,0.00,0.0,0
1981-11-30,44,18,0.00,0.0,0
1981-12-01,44,19,0.33,0.0,0
1981-12-02,58,44,0.00,0.0,0
1981-12-03,45,32,T,T,T
1981-12-04,47,32,0.16,0.0,0
1981-12-05,41,33,0.24,0.0,0
1981-12-06,38,21,T,T,0
1981-12-07,42,21,0.00,0.0,0
1981-12-08,51,35,0.00,0.0,0
1981-12-09,45,24,0.10,0.5,1
1981-12-10,33,23,0.02,0.4,1
1981-12-11,32,18,0.00,0.0,T
1981-12-12,29,22,0.00,0.0,0
1981-12-13,34,23,0.00,0.0,0
1981-12-14,38,23,0.00,0.0,0
1981-12-15,33,27,0.16,1.0,1
1981-12-16,32,24,0.06,0.5,1
1981-12-17,34,19,0.00,0.0,1
1981-12-18,38,24,0.36,2.0,2
1981-12-19,27,12,0.10,2.0,4
1981-12-20,22,12,0.07,3.0,7
1981-12-21,20,2,T,T,7
1981-12-22,36,6,0.32,2.0,6
1981-12-23,57,36,0.37,0.0,T
1981-12-24,51,31,T,0.0,0
1981-12-25,40,25,0.00,0.0,0
1981-12-26,42,25,0.00,0.0,0
1981-12-27,41,27,T,0.0,0
1981-12-28,46,24,0.00,0.0,0
1981-12-29,44,29,0.18,0.0,0
1981-12-30,32,14,0.00,0.0,0
1981-12-31,40,12,0.00,0.0,0
1982-01-01,45,28,0.34,0.0,0
1982-01-02,39,22,0.00,0.0,0
1982-01-03,49,22,0.06,0.0,0
1982-01-04,59,42,0.49,0.0,0
1982-01-05,59,30,0.16,0.0,0
1982-01-06,43,30,0.00,0.0,0
1982-01-07,52,36,0.20,0.0,0
1982-01-08,37,15,T,T,0
1982-01-09,30,12,0.09,0.3,0
1982-01-10,23,-8,0.16,3.0,3
1982-01-11,-2,-8,T,T,3
1982-01-12,5,-5,T,T,3
1982-01-13,20,-5,0.27,1.5,3
1982-01-14,30,15,0.25,3.0,6
1982-01-15,22,11,0.05,0.5,6
1982-01-16,34,11,0.08,1.0,6
1982-01-17,34,-18,0.02,0.5,6
1982-01-18,4,-18,0.07,0.5,6
1982-01-19,31,4,0.00,0.0,5
1982-01-20,35,25,T,0.0,4
1982-01-21,36,32,0.29,0.0,3
1982-01-22,37,30,0.00,0.0,2
1982-01-23,45,30,0.77,0.0,T
1982-01-24,58,14,0.10,M,5
1982-01-25,20,8,0.00,0.0,T
1982-01-26,23,8,0.19,3.0,3
1982-01-27,20,-3,T,T,2
1982-01-28,42,-4,T,0.0,1
1982-01-29,53,18,0.00,0.0,0
1982-01-30,47,18,0.00,0.0,0
1982-01-31,62,42,0.10,M,M
1982-02-01,58,25,0.63,0.0,0
1982-02-02,36,23,0.00,0.0,0
1982-02-03,45,23,0.10,0.0,0
1982-02-04,51,30,0.25,0.0,0
1982-02-05,33,28,0.00,0.0,0
1982-02-06,42,20,0.05,1.0,1
1982-02-07,25,3,T,T,1
1982-02-08,32,3,0.00,0.0,T
1982-02-09,39,M,0.43,2.0,2
1982-02-10,30,-0,0.18,2.0,3
1982-02-11,22,-0,0.00,0.0,2
1982-02-12,34,10,0.00,0.0,2
1982-02-13,38,10,0.11,1.0,3
1982-02-14,33,21,T,0.0,3
1982-02-15,47,21,0.00,0.0,1
1982-02-16,60,40,0.07,0.0,T
1982-02-17,52,47,0.08,0.0,0
1982-02-18,53,41,0.07,0.0,0
1982-02-19,47,40,0.27,0.0,0
1982-02-20,41,35,0.05,0.0,0
1982-02-21,53,35,0.13,0.0,0
1982-02-22,39,34,0.05,0.0,0
1982-02-23,40,28,0.00,0.0,0
1982-02-24,65,28,0.00,0.0,0
1982-02-25,61,21,0.00,0.0,0
1982-02-26,37,13,0.00,0.0,0
1982-02-27,42,13,0.00,0.0,0
1982-02-28,44,26,0.00,0.0,0
1982-03-01,55,26,0.00,0.0,0
1982-03-02,61,30,0.00,0.0,0
1982-03-03,62,25,0.10,1.0,1
1982-03-04,35,25,0.00,0.0,0
1982-03-05,64,33,0.31,0.0,0
1982-03-06,36,27,0.00,0.0,0
1982-03-07,39,29,0.61,4.0,4
1982-03-08,33,23,0.13,2.0,4
1982-03-09,38,23,0.00,0.0,2
1982-03-10,41,25,0.00,0.0,0
1982-03-11,63,30,0.00,0.0,0
1982-03-12,68,40,0.85,0.0,0
1982-03-13,67,40,0.00,0.0,0
1982-03-14,66,35,0.35,0.0,0
1982-03-15,62,M,0.21,0.0,0
1982-03-16,45,38,0.14,0.0,0
1982-03-17,60,43,2.31,0.0,0
1982-03-18,62,32,0.00,0.0,0
1982-03-19,71,32,0.00,0.0,0
1982-03-20,52,43,0.80,0.0,0
1982-03-21,62,43,0.94,0.0,0
1982-03-22,68,36,0.00,0.0,0
1982-03-23,42,25,0.00,0.0,0
1982-03-24,52,25,0.00,0.0,0
1982-03-25,69,25,0.00,0.0,0
1982-03-26,64,30,0.53,T,T
1982-03-27,39,23,0.13,1.0,1
1982-03-28,33,12,T,T,0
1982-03-29,45,12,0.00,0.0,0
1982-03-30,64,22,0.00,0.0,0
1982-03-31,75,45,0.22,0.0,0
1982-04-01,68,37,0.00,0.0,0
1982-04-02,70,37,0.00,0.0,0
1982-04-03,76,40,0.15,0.0,0
1982-04-04,65,35,0.42,0.0,0
1982-04-05,48,25,0.00,0.0,0
1982-04-06,51,25,0.52,T,T
1982-04-07,32,16,0.02,T,T
1982-04-08,40,16,0.00,0.0,0
1982-04-09,46,24,0.12,T,T
1982-04-10,39,24,T,0.0,0
1982-04-11,42,24,0.00,0.0,0
1982-04-12,55,24,0.00,0.0,0
1982-04-13,66,24,0.00,0.0,0
1982-04-14,76,30,0.00,0.0,0
1982-04-15,76,34,0.00,0.0,0
1982-04-16,82,38,0.00,0.0,0
1982-04-17,81,60,0.15,0.0,0
1982-04-18,72,42,0.21,0.0,0
1982-04-19,65,34,0.00,0.0,0
1982-04-20,77,35,0.00,0.0,0
1982-04-21,64,41,0.04,0.0,0
1982-04-22,57,34,0.00,0.0,0
1982-04-23,60,24,0.00,0.0,0
1982-04-24,67,25,0.00,0.0,0
1982-04-25,72,33,0.00,0.0,0
1982-04-26,76,42,0.10,0.0,0
1982-04-27,65,48,0.10,0.0,0
1982-04-28,58,33,0.04,0.0,0
1982-04-29,63,33,0.00,0.0,0
1982-04-30,70,42,0.00,0.0,0
1982-05-01,72,43,0.00,0.0,0
1982-05-02,72,48,0.00,0.0,0
1982-05-03,76,38,0.00,0.0,0
