date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1985-08-01,M,M,1.27,0.0,0
1985-08-02,M,M,T,0.0,0
1985-08-03,M,M,0.00,0.0,0
1985-08-04,M,M,0.00,0.0,0
1985-08-05,M,M,0.00,0.0,0
1985-08-06,M,M,0.00,0.0,0
1985-08-07,M,M,0.08,0.0,0
1985-08-08,M,M,0.00,0.0,0
1985-08-09,M,M,0.00,0.0,0
1985-08-10,M,M,0.00,0.0,0
1985-08-11,M,M,0.00,0.0,0
1985-08-12,M,M,0.00,0.0,0
1985-08-13,M,M,0.00,0.0,0
1985-08-14,M,M,T,0.0,0
1985-08-15,M,M,T,0.0,0
1985-08-16,M,M,0.47,0.0,0
1985-08-17,M,M,0.84,0.0,0
1985-08-18,M,M,T,0.0,0
1985-08-19,M,M,0.00,0.0,0
1985-08-20,M,M,0.05,0.0,0
1985-08-21,M,M,0.12,0.0,0
1985-08-22,M,M,0.00,0.0,0
1985-08-23,M,M,0.00,0.0,0
1985-08-24,M,M,0.00,0.0,0
1985-08-25,M,M,1.00,0.0,0
1985-08-26,M,M,0.00,0.0,0
1985-08-27,M,M,0.00,0.0,0
1985-08-28,M,M,0.00,0.0,0
1985-08-29,M,M,0.00,0.0,0
1985-08-30,M,M,0.00,0.0,0
1985-08-31,M,M,0.53,0.0,0
1985-09-01,M,M,0.00,0.0,0
1985-09-02,M,M,0.00,0.0,M
1985-09-03,M,M,0.00,0.0,M
1985-09-04,M,M,0.00,0.0,M
1985-09-05,M,M,0.00,0.0,M
1985-09-06,M,M,T,0.0,M
1985-09-07,M,M,0.00,0.0,M
1985-09-08,M,M,0.00,0.0,M
1985-09-09,M,M,0.00,0.0,M
1985-09-10,M,M,0.00,0.0,M
1985-09-11,M,M,0.00,0.0,M
1985-09-12,M,M,0.00,0.0,M
1985-09-13,M,M,0.00,0.0,M
1985-09-14,M,M,0.00,0.0,M
1985-09-15,M,M,0.00,0.0,M
1985-09-16,M,M,0.00,0.0,M
1985-09-17,M,M,0.00,0.0,M
1985-09-18,M,M,0.00,0.0,M
1985-09-19,M,M,0.00,0.0,M
1985-09-20,M,M,0.00,0.0,M
1985-09-21,M,M,0.00,0.0,M
1985-09-22,M,M,0.00,0.0,M
1985-09-23,M,M,0.00,0.0,M
1985-09-24,M,M,0.45,0.0,M
1985-09-25,M,M,0.00,0.0,M
1985-09-26,M,M,0.00,0.0,M
1985-09-27,M,M,0.16,0.0,M
1985-09-28,M,M,0.00,0.0,M
1985-09-29,M,M,0.00,0.0,M
1985-09-30,M,M,0.00,0.0,M
1985-10-01,M,M,0.04,0.0,0
1985-10-02,M,M,0.46,0.0,0
1985-10-03,M,M,0.00,0.0,0
1985-10-04,M,M,0.00,0.0,0
1985-10-05,M,M,0.16,0.0,0
1985-10-06,M,M,0.00,0.0,0
1985-10-07,M,M,0.00,0.0,0
1985-10-08,M,M,0.00,0.0,0
1985-10-09,M,M,0.00,0.0,0
1985-10-10,M,M,0.00,0.0,0
1985-10-11,M,M,0.00,0.0,0
1985-10-12,M,M,0.00,0.0,0
1985-10-13,M,M,0.07,0.0,0
1985-10-14,M,M,0.00,0.0,0
1985-10-15,M,M,0.09,0.0,0
1985-10-16,M,M,0.05,0.0,0
1985-10-17,M,M,0.00,0.0,0
1985-10-18,M,M,0.00,0.0,0
1985-10-19,M,M,0.00,0.0,0
1985-10-20,M,M,1.68,0.0,0
1985-10-21,M,M,0.81,0.0,0
1985-10-22,M,M,0.02,0.0,0
1985-10-23,M,M,0.00,0.0,0
1985-10-24,M,M,T,0.0,0
1985-10-25,M,M,0.74,0.0,0
1985-10-26,M,M,T,0.0,0
1985-10-27,M,M,0.00,0.0,0
1985-10-28,M,M,0.00,0.0,0
1985-10-29,M,M,0.00,0.0,0
1985-10-30,M,M,0.19,0.0,0
1985-10-31,M,M,0.00,0.0,0
1985-11-01,M,M,0.00,0.0,0
1985-11-02,M,M,0.06,0.0,0
1985-11-03,M,M,0.33,0.0,0
1985-11-04,M,M,0.77,0.0,0
1985-11-05,M,M,2.58,0.0,0
1985-11-06,M,M,0.13,0.0,0
1985-11-07,M,M,0.02,0.0,0
1985-11-08,M,M,0.17,0.0,0
1985-11-09,M,M,0.00,0.0,0
1985-11-10,M,M,0.02,0.0,0
1985-11-11,M,M,0.39,0.0,0
1985-11-12,M,M,0.27,0.0,0
1985-11-13,M,M,0.08,0.0,0
1985-11-14,M,M,0.26,0.0,0
1985-11-15,M,M,0.06,0.0,0
1985-11-16,M,M,0.90,0.0,0
1985-11-17,M,M,0.20,0.0,0
1985-11-18,M,M,0.00,0.0,0
1985-11-19,M,M,0.00,0.0,0
1985-11-20,M,M,0.00,0.0,0
1985-11-21,M,M,0.00,0.0,0
1985-11-22,M,M,0.14,0.0,0
1985-11-23,M,M,0.05,0.0,0
1985-11-24,M,M,0.00,0.0,0
1985-11-25,M,M,0.00,0.0,0
1985-11-26,M,M,0.09,0.0,0
1985-11-27,M,M,0.65,0.0,0
1985-11-28,M,M,0.99,0.0,0
1985-11-29,M,M,T,0.0,0
1985-11-30,M,M,T,0.0,0
1985-12-01,M,M,0.11,0.0,0
1985-12-02,M,M,0.05,T,T
1985-12-03,M,M,0.00,0.0,0
1985-12-04,M,M,0.00,0.0,0
1985-12-05,M,M,0.00,0.0,0
1985-12-06,M,M,0.26,0.0,0
1985-12-07,M,M,T,0.0,0
1985-12-08,M,M,0.00,0.0,0
1985-12-09,M,M,0.00,0.0,0
1985-12-10,M,M,0.00,0.0,0
1985-12-11,M,M,T,0.0,0
1985-12-12,M,M,0.68,0.0,0
1985-12-13,M,M,0.34,0.0,0
1985-12-14,M,M,0.17,0.0,0
1985-12-15,M,M,0.00,0.0,0
1985-12-16,M,M,0.00,0.0,0
1985-12-17,M,M,0.09,0.0,0
1985-12-18,M,M,0.03,1.7,2
1985-12-19,M,M,0.00,0.0,2
1985-12-20,M,M,0.00,0.0,T
1985-12-21,M,M,0.06,3.0,3
1985-12-22,M,M,0.00,0.0,3
1985-12-23,M,M,0.00,0.0,T
1985-12-24,M,M,0.00,0.0,T
1985-12-25,M,M,0.06,3.0,3
1985-12-26,M,M,0.03,0.5,4
1985-12-27,M,M,T,0.0,3
1985-12-28,M,M,0.07,1.2,4
1985-12-29,M,M,0.00,0.0,1
1985-12-30,M,M,0.00,0.0,1
1985-12-31,M,M,0.00,0.0,T
1986-01-01,M,M,T,M,0
1986-01-02,M,M,0.00,M,M
1986-01-03,M,M,0.00,M,M
1986-01-04,M,M,T,M,M
1986-01-05,M,M,T,T,T
1986-01-06,M,M,T,M,M
1986-01-07,M,M,0.00,M,M
1986-01-08,M,M,0.00,M,M
1986-01-09,M,M,0.00,M,M
1986-01-10,M,M,0.00,M,M
1986-01-11,M,M,0.00,M,M
1986-01-12,M,M,0.00,M,M
1986-01-13,M,M,T,T,T
1986-01-14,M,M,0.03,1.5,2
1986-01-15,M,M,0.02,T,2
1986-01-16,M,M,0.00,0.0,T
1986-01-17,M,M,0.00,0.0,0
1986-01-18,M,M,0.11,0.0,0
1986-01-19,M,M,0.22,M,M
1986-01-20,M,M,0.64,4.9,5
1986-01-21,M,M,0.36,0.0,5
1986-01-22,M,M,0.00,0.0,2
1986-01-23,M,M,0.00,M,T
1986-01-24,M,M,0.00,M,T
1986-01-25,M,M,0.05,T,T
1986-01-26,M,M,0.02,M,T
1986-01-27,M,M,0.09,3.2,3
1986-01-28,M,M,T,T,2
1986-01-29,M,M,0.00,0.0,2
1986-01-30,M,M,T,M,2
1986-01-31,M,M,0.00,0.0,T
1986-02-01,M,M,0.03,0.0,0
1986-02-02,M,M,0.00,0.0,0
1986-02-03,M,M,T,0.0,0
1986-02-04,M,M,0.87,0.0,0
1986-02-05,M,M,0.98,0.0,0
1986-02-06,M,M,0.42,0.0,0
1986-02-07,M,M,T,0.0,0
1986-02-08,M,M,0.00,0.0,0
1986-02-09,M,M,T,0.0,0
1986-02-10,M,M,0.09,1.0,1
1986-02-11,M,M,0.50,5.0,6
1986-02-12,M,M,0.02,0.0,6
1986-02-13,M,M,T,0.0,4
1986-02-14,M,M,T,0.0,3
