date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1975-02-01,40,31,0.46,0.0,0
1975-02-02,34,27,0.40,4.0,4
1975-02-03,36,19,0.00,0.0,M
1975-02-04,30,14,0.00,0.0,M
1975-02-05,45,17,1.18,15.0,17
1975-02-06,36,24,0.53,5.0,12
1975-02-07,24,6,0.29,3.0,15
1975-02-08,28,4,0.02,T,14
1975-02-09,24,5,T,T,14
1975-02-10,26,-1,0.12,1.0,13
1975-02-11,35,19,0.00,0.0,11
1975-02-12,39,19,0.68,0.0,8
1975-02-13,20,9,0.13,1.5,9
1975-02-14,32,4,T,T,9
1975-02-15,42,22,0.00,0.0,8
1975-02-16,43,32,T,0.0,7
1975-02-17,44,37,0.09,0.0,5
1975-02-18,42,29,0.02,0.0,3
1975-02-19,M,20,0.05,T,T
1975-02-20,34,13,0.08,1.0,T
1975-02-21,44,19,0.00,0.0,T
1975-02-22,49,32,0.00,0.0,T
1975-02-23,56,38,0.05,0.0,T
1975-02-24,62,46,0.45,0.0,0
1975-02-25,46,18,0.35,T,T
1975-02-26,35,16,T,T,T
1975-02-27,34,17,0.00,0.0,T
1975-02-28,34,18,0.00,0.0,T
1975-04-01,52,36,0.00,0.0,0
1975-04-02,62,26,0.00,0.0,0
1975-04-03,62,14,0.14,0.0,0
1975-04-04,22,8,0.45,10.1,10
1975-04-05,22,9,0.06,1.0,9
1975-04-06,27,10,0.02,T,8
1975-04-07,34,13,0.00,0.0,6
1975-04-08,46,18,0.00,0.0,3
1975-04-09,51,25,0.00,0.0,M
1975-04-10,50,33,0.00,0.0,1
1975-04-11,46,20,0.00,0.0,M
1975-04-12,34,21,0.10,1.0,1
1975-04-13,M,M,0.00,0.0,0
1975-04-14,M,22,0.00,0.0,0
1975-04-15,M,31,0.78,3.0,3
1975-04-16,40,24,0.16,0.5,4
1975-04-17,56,29,0.00,0.0,1
1975-04-18,62,44,0.00,0.0,0
1975-04-19,64,40,0.08,0.0,0
1975-04-20,46,30,0.03,T,T
1975-04-21,47,26,0.00,0.0,0
1975-04-22,50,29,0.05,0.5,1
1975-04-23,64,41,0.00,0.0,T
1975-04-24,58,42,0.02,0.0,T
1975-04-25,50,M,0.78,0.0,T
1975-04-26,60,42,0.82,0.0,0
1975-04-27,52,38,0.00,0.0,0
1975-04-28,54,42,0.00,0.0,0
1975-04-29,66,44,1.02,0.0,0
1975-04-30,52,46,0.00,0.0,0
1975-05-01,68,41,0.30,0.0,0
1975-05-02,58,38,0.12,0.0,0
1975-05-03,56,40,0.00,0.0,0
1975-05-04,51,38,1.20,0.0,0
1975-05-05,58,41,0.30,0.0,0
1975-05-06,65,41,0.02,0.0,0
1975-05-07,68,34,0.18,0.0,0
1975-05-08,69,43,0.00,0.0,0
1975-05-09,67,46,0.43,0.0,0
1975-05-10,63,48,0.25,0.0,0
1975-05-11,66,44,0.02,0.0,0
1975-05-12,60,44,0.00,0.0,0
1975-05-13,46,39,0.58,0.0,0
1975-05-14,67,39,0.02,0.0,0
1975-05-15,59,49,0.00,0.0,0
1975-05-16,68,48,0.98,0.0,0
1975-05-17,M,M,0.00,0.0,0
1975-05-18,M,M,0.00,0.0,0
1975-05-19,M,M,0.00,0.0,0
1975-05-20,M,M,0.00,0.0,0
1975-05-21,68,58,0.00,0.0,0
1975-05-22,82,58,0.02,0.0,0
1975-05-23,82,54,0.10,0.0,0
1975-05-24,M,M,0.00,0.0,0
1975-05-25,M,M,0.00,0.0,0
1975-05-26,M,M,0.00,0.0,0
1975-05-27,73,54,0.03,0.0,0
1975-05-28,64,44,0.02,0.0,0
1975-05-29,72,55,0.00,0.0,0
1975-05-30,68,60,0.05,0.0,0
1975-05-31,74,60,0.04,0.0,0
1975-06-01,72,58,2.20,0.0,0
1975-06-02,59,44,0.30,0.0,0
1975-06-03,58,40,0.00,0.0,0
1975-06-04,63,48,0.00,0.0,0
1975-06-05,69,58,0.00,0.0,0
1975-06-06,64,51,0.18,0.0,0
1975-06-07,63,46,0.13,0.0,0
1975-06-08,48,38,0.00,0.0,0
1975-06-09,M,M,0.00,0.0,0
1975-06-10,M,M,0.00,0.0,0
1975-06-11,54,48,0.02,0.0,0
1975-06-12,62,51,1.20,0.0,0
1975-06-13,M,M,0.20,0.0,0
1975-06-14,M,M,0.00,0.0,0
1975-06-15,71,56,0.50,0.0,0
1975-06-16,70,55,0.00,0.0,0
1975-06-17,75,59,0.00,0.0,0
1975-06-18,72,58,0.00,0.0,0
1975-06-19,78,56,0.20,0.0,0
1975-06-20,76,58,0.00,0.0,0
1975-06-21,74,58,0.00,0.0,0
1975-06-22,74,56,0.00,0.0,0
1975-06-23,76,58,0.00,0.0,0
1975-06-24,72,59,0.00,0.0,0
1975-06-25,76,57,0.00,0.0,0
