date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1990-08-01,80,58,0.01,0.0,0
1990-08-02,78,56,0.00,0.0,0
1990-08-03,84,58,0.00,0.0,0
1990-08-04,86,63,0.00,0.0,0
1990-08-05,89,65,0.03,0.0,0
1990-08-06,77,66,0.78,0.0,0
1990-08-07,81,50,0.00,0.0,0
1990-08-08,76,52,0.00,0.0,0
1990-08-09,79,55,0.00,0.0,0
1990-08-10,83,55,0.00,0.0,0
1990-08-11,83,59,0.12,0.0,0
1990-08-12,82,60,0.00,0.0,0
1990-08-13,86,64,0.00,0.0,0
1990-08-14,82,65,0.30,0.0,0
1990-08-15,82,63,0.00,0.0,0
1990-08-16,83,64,0.00,0.0,0
1990-08-17,85,63,0.00,0.0,0
1990-08-18,87,63,0.00,0.0,0
1990-08-19,90,67,0.00,0.0,0
1990-08-20,90,68,0.48,0.0,0
1990-08-21,92,69,1.07,0.0,0
1990-08-22,85,69,0.57,0.0,0
1990-08-23,78,67,0.02,0.0,0
1990-08-24,81,66,0.00,0.0,0
1990-08-25,78,63,0.00,0.0,0
1990-08-26,84,63,0.00,0.0,0
1990-08-27,87,65,0.00,0.0,0
1990-08-28,89,66,0.00,0.0,0
1990-08-29,92,67,0.07,0.0,0
1990-08-30,79,65,0.29,0.0,0
1990-08-31,79,60,0.00,0.0,0
1990-09-01,86,60,0.00,0.0,0
1990-09-02,88,66,0.00,0.0,0
1990-09-03,90,67,0.00,0.0,0
1990-09-04,85,58,0.00,0.0,0
1990-09-05,85,59,0.00,0.0,0
1990-09-06,89,62,0.00,0.0,0
1990-09-07,94,69,0.00,0.0,0
1990-09-08,92,69,0.35,0.0,0
1990-09-09,78,69,0.10,0.0,0
1990-09-10,85,67,0.30,0.0,0
1990-09-11,80,66,0.00,0.0,0
1990-09-12,85,67,0.00,0.0,0
1990-09-13,75,69,0.21,0.0,0
1990-09-14,79,66,0.00,0.0,0
1990-09-15,81,57,0.59,0.0,0
1990-09-16,76,53,0.00,0.0,0
1990-09-17,76,46,0.00,0.0,0
1990-09-18,68,44,0.00,0.0,0
1990-09-19,67,46,0.01,0.0,0
1990-09-20,71,61,0.46,0.0,0
1990-09-21,71,50,0.00,0.0,0
1990-09-22,72,51,0.67,0.0,0
1990-09-23,73,50,0.00,0.0,0
1990-09-24,57,38,0.13,0.0,0
1990-09-25,66,38,0.00,0.0,0
1990-09-26,73,43,0.00,0.0,0
1990-09-27,81,51,0.00,0.0,0
1990-09-28,81,53,0.00,0.0,0
1990-09-29,81,56,0.00,0.0,0
1990-09-30,82,60,0.00,0.0,0
1990-10-01,66,49,0.21,0.0,0
1990-10-02,73,48,0.00,0.0,0
1990-10-03,74,49,0.00,0.0,0
1990-10-04,81,51,0.48,0.0,0
1990-10-05,81,47,0.37,0.0,0
1990-10-06,79,47,0.00,0.0,0
1990-10-07,82,52,0.00,0.0,0
1990-10-08,82,54,0.00,0.0,0
1990-10-09,80,65,0.05,0.0,0
1990-10-10,82,60,0.00,0.0,0
1990-10-11,80,47,0.15,0.0,0
1990-10-12,54,48,1.01,0.0,0
1990-10-13,62,52,0.17,0.0,0
1990-10-14,60,55,0.01,0.0,0
1990-10-15,72,49,0.00,0.0,0
1990-10-16,70,39,0.00,0.0,0
1990-10-17,73,39,0.00,0.0,0
1990-10-18,80,39,0.25,0.0,0
1990-10-19,64,36,0.13,0.0,0
1990-10-20,56,33,0.00,0.0,0
1990-10-21,67,34,0.00,0.0,0
1990-10-22,75,42,0.14,0.0,0
1990-10-23,60,54,0.97,0.0,0
1990-10-24,55,39,0.03,0.0,0
1990-10-25,61,40,0.00,0.0,0
1990-10-26,49,35,0.00,0.0,0
1990-10-27,53,29,0.00,0.0,0
1990-10-28,64,30,0.00,0.0,0
1990-10-29,58,29,0.00,0.0,0
1990-10-30,57,29,0.00,0.0,0
1990-10-31,72,32,0.00,0.0,0
1990-11-01,76,35,0.00,0.0,0
1990-11-02,78,37,0.00,0.0,0
1990-11-03,77,39,0.00,0.0,0
1990-11-04,74,40,0.00,0.0,0
1990-11-05,74,44,0.00,0.0,0
1990-11-06,72,42,0.42,0.0,0
1990-11-07,53,29,0.00,0.0,0
1990-11-08,54,26,0.00,0.0,0
1990-11-09,46,26,0.00,0.0,0
1990-11-10,49,38,1.03,0.0,0
1990-11-11,48,29,0.12,0.0,0
1990-11-12,54,29,0.00,0.0,0
1990-11-13,53,27,0.00,0.0,0
1990-11-14,53,25,0.00,0.0,0
1990-11-15,60,28,0.00,0.0,0
1990-11-16,73,M,0.00,0.0,0
