date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1985-08-01,67,58,0.15,0.0,0
1985-08-02,66,59,0.00,0.0,M
1985-08-03,76,55,0.00,0.0,M
1985-08-04,75,58,0.00,0.0,M
1985-08-05,72,52,0.00,0.0,M
1985-08-06,74,52,0.00,0.0,M
1985-08-07,74,56,0.09,0.0,M
1985-08-08,67,56,T,0.0,M
1985-08-09,64,57,0.00,0.0,M
1985-08-10,68,52,0.02,0.0,M
1985-08-11,75,53,0.00,0.0,M
1985-08-12,75,54,0.00,0.0,M
1985-08-13,80,51,0.00,0.0,M
1985-08-14,78,53,0.00,0.0,M
1985-08-15,83,56,0.00,0.0,M
1985-08-16,83,55,0.00,0.0,M
1985-08-17,80,54,0.00,0.0,M
1985-08-18,84,57,0.00,0.0,M
1985-08-19,67,54,0.00,0.0,M
1985-08-20,66,54,0.00,0.0,M
1985-08-21,69,54,0.00,0.0,M
1985-08-22,72,48,0.00,0.0,M
1985-08-23,75,51,0.00,0.0,M
1985-08-24,75,54,0.00,0.0,M
1985-08-25,71,52,0.00,0.0,M
1985-08-26,71,47,0.00,0.0,M
1985-08-27,72,48,0.00,0.0,M
1985-08-28,M,53,0.00,0.0,M
1985-08-29,69,46,0.00,0.0,M
1985-08-30,70,54,0.00,0.0,M
1985-08-31,68,56,0.00,0.0,M
1985-09-01,69,49,0.00,0.0,0
1985-09-02,70,47,0.00,0.0,0
1985-09-03,71,54,0.00,0.0,0
1985-09-04,65,52,0.04,0.0,0
1985-09-05,61,57,0.04,0.0,0
1985-09-06,61,50,1.17,0.0,0
1985-09-07,67,44,0.05,0.0,0
1985-09-08,69,48,0.03,0.0,0
1985-09-09,65,50,0.03,0.0,0
1985-09-10,69,50,0.02,0.0,0
1985-09-11,68,53,0.00,0.0,0
1985-09-12,68,57,0.00,0.0,0
1985-09-13,68,53,0.03,0.0,0
1985-09-14,63,52,0.16,0.0,0
1985-09-15,63,52,0.00,0.0,0
1985-09-16,62,51,0.11,0.0,0
1985-09-17,59,50,0.43,0.0,0
1985-09-18,63,46,0.00,0.0,0
1985-09-19,62,46,0.00,0.0,0
1985-09-20,62,45,0.00,0.0,0
1985-09-21,63,51,0.00,0.0,0
1985-09-22,61,43,0.00,0.0,0
1985-09-23,60,42,0.00,0.0,0
1985-09-24,64,46,0.00,0.0,0
1985-09-25,64,46,0.00,0.0,0
1985-09-26,63,48,0.00,0.0,0
1985-09-27,70,53,0.00,0.0,0
1985-09-28,69,38,0.00,0.0,0
1985-09-29,64,40,0.00,0.0,0
1985-09-30,64,40,0.00,0.0,0
1985-10-01,62,47,0.02,0.0,0
1985-10-02,60,55,0.02,0.0,0
1985-10-03,61,46,0.00,0.0,0
1985-10-04,60,40,0.00,0.0,0
1985-10-05,59,44,0.00,0.0,0
1985-10-06,64,50,0.08,0.0,0
1985-10-07,64,47,0.02,0.0,0
1985-10-08,57,31,0.00,0.0,0
1985-10-09,53,42,0.00,0.0,0
1985-10-10,53,47,0.00,0.0,0
1985-10-11,60,50,0.15,0.0,0
1985-10-12,57,47,0.05,0.0,0
1985-10-13,57,47,0.05,0.0,0
1985-10-14,58,52,0.44,0.0,0
1985-10-15,62,56,0.04,0.0,0
1985-10-16,62,49,0.39,0.0,0
1985-10-17,56,49,0.06,0.0,0
1985-10-18,56,49,0.01,0.0,0
1985-10-19,59,52,0.62,0.0,0
1985-10-20,60,48,0.14,0.0,0
1985-10-21,58,49,0.12,0.0,0
1985-10-22,54,46,0.36,0.0,0
1985-10-23,54,46,0.07,0.0,0
1985-10-24,56,46,0.48,0.0,0
1985-10-25,54,45,0.04,0.0,0
1985-10-26,56,43,0.85,0.0,0
1985-10-27,49,43,1.87,0.0,0
1985-10-28,51,43,0.28,0.0,0
1985-10-29,49,30,0.00,0.0,0
1985-10-30,54,45,0.25,0.0,0
1985-10-31,48,41,0.01,0.0,0
1985-11-01,57,46,1.15,0.0,0
1985-11-02,58,49,0.62,0.0,0
1985-11-03,52,47,0.41,0.0,0
1985-11-04,50,43,0.10,0.0,0
1985-11-05,50,40,0.17,0.0,0
1985-11-06,50,41,0.20,0.0,0
1985-11-07,50,45,0.02,0.0,0
1985-11-08,50,38,0.17,0.0,0
1985-11-09,48,37,0.16,0.0,0
1985-11-10,44,32,0.01,0.0,0
1985-11-11,39,26,0.00,0.0,0
1985-11-12,42,23,0.00,0.0,0
1985-11-13,46,27,0.00,0.0,0
1985-11-14,44,28,0.00,0.0,0
1985-11-15,53,36,0.35,0.0,0
1985-11-16,53,35,0.18,0.0,0
1985-11-17,44,32,0.06,0.0,0
1985-11-18,38,24,0.00,0.0,0
1985-11-19,33,26,0.15,1.6,2
1985-11-20,30,24,0.00,0.0,1
1985-11-21,25,18,0.01,0.3,T
1985-11-22,23,13,0.00,0.0,T
1985-11-23,26,10,0.00,0.0,0
1985-11-24,31,11,0.00,0.0,T
1985-11-25,28,17,0.06,2.5,3
1985-11-26,17,11,0.07,1.0,4
1985-11-27,16,4,0.20,5.0,9
1985-11-28,24,12,0.00,0.0,9
1985-11-29,25,14,0.00,0.0,8
1985-11-30,28,19,0.00,0.0,6
1985-12-01,28,8,0.00,0.0,6
1985-12-02,33,20,T,0.2,4
1985-12-03,48,31,0.29,0.8,T
1985-12-04,49,40,0.10,0.0,0
1985-12-05,55,41,0.07,0.0,0
1985-12-06,51,43,0.01,0.0,0
1985-12-07,51,36,0.10,0.0,0
1985-12-08,45,32,0.00,0.0,0
1985-12-09,41,26,0.06,0.0,0
1985-12-10,41,26,0.00,0.0,0
1985-12-11,40,26,0.00,0.0,0
1985-12-12,39,23,0.00,0.0,0
1985-12-13,41,23,0.00,0.0,0
1985-12-14,42,35,0.00,0.0,0
1985-12-15,43,34,0.09,0.0,0
1985-12-16,44,35,0.00,0.0,0
1985-12-17,45,33,0.00,0.0,0
1985-12-18,41,32,0.00,0.0,0
1985-12-19,38,30,0.00,0.0,0
1985-12-20,36,29,0.00,0.0,0
1985-12-21,35,29,0.00,0.0,0
1985-12-22,39,28,0.00,0.0,0
1985-12-23,36,29,0.00,0.0,0
1985-12-24,38,28,0.00,0.0,0
1985-12-25,39,26,0.00,0.0,0
1985-12-26,34,24,0.00,0.0,0
1985-12-27,34,26,0.00,0.0,0
1985-12-28,37,25,0.00,0.0,0
1985-12-29,42,31,0.08,0.0,0
1985-12-30,41,31,0.01,0.0,0
1985-12-31,41,29,0.05,0.0,0
1986-01-01,48,40,0.21,0.0,0
1986-01-02,45,34,0.15,0.0,0
1986-01-03,M,M,0.00,0.0,0
1986-01-04,44,28,0.00,0.0,0
1986-01-05,54,33,0.17,0.0,0
1986-01-06,52,39,0.36,0.0,0
1986-01-07,45,38,0.00,0.0,0
1986-01-08,65,42,0.12,0.0,0
1986-01-09,58,43,0.00,0.0,0
1986-01-10,65,42,0.12,0.0,0
1986-01-11,53,37,0.02,0.0,0
1986-01-12,M,34,0.00,0.0,0
1986-01-13,60,38,T,0.0,0
1986-01-14,56,41,0.00,0.0,0
1986-01-15,50,42,0.28,0.0,0
1986-01-16,56,48,0.12,0.0,0
1986-01-17,53,44,0.20,0.0,0
1986-01-18,57,40,1.18,0.0,0
1986-01-19,56,44,0.00,0.0,0
1986-01-20,56,36,0.01,0.0,0
1986-01-21,51,42,0.00,0.0,0
1986-01-22,52,39,0.07,0.0,0
1986-01-23,48,45,0.14,0.0,0
1986-01-24,48,39,0.00,0.0,0
1986-01-25,50,32,0.00,0.0,0
1986-01-26,49,32,0.00,0.0,0
1986-01-27,59,42,0.01,0.0,0
1986-01-28,50,35,0.00,0.0,0
1986-01-29,48,38,0.11,0.0,0
1986-01-30,54,43,0.66,0.0,0
1986-01-31,54,43,0.04,0.0,0
1986-02-01,58,47,0.03,0.0,0
1986-02-02,52,35,0.02,0.0,0
1986-02-03,52,33,0.00,0.0,0
1986-02-04,56,37,0.09,0.0,0
1986-02-05,56,38,0.14,0.0,0
1986-02-06,44,33,0.00,0.0,0
1986-02-07,49,30,0.00,0.0,0
1986-02-08,45,30,0.00,0.0,0
1986-02-09,44,32,0.00,0.0,0
1986-02-10,45,28,0.00,0.0,0
1986-02-11,44,35,0.00,0.0,0
1986-02-12,46,30,0.00,0.0,0
1986-02-13,49,34,0.00,0.0,0
1986-02-14,44,M,0.00,0.0,0
1986-02-15,39,30,0.20,0.0,0
1986-02-16,36,M,0.42,M,2
1986-02-17,36,29,0.04,T,1
1986-02-18,36,24,0.12,M,4
1986-02-19,36,13,0.00,0.0,3
1986-02-20,42,21,0.01,0.0,0
1986-02-21,41,29,0.00,0.0,0
1986-02-22,49,29,0.25,0.0,0
1986-02-23,55,40,0.60,0.0,0
1986-02-24,62,51,1.08,0.0,0
1986-02-25,60,53,0.21,0.0,0
1986-02-26,58,42,0.00,0.0,0
1986-02-27,66,37,0.00,0.0,0
1986-02-28,66,47,0.00,0.0,0
1986-03-01,57,38,0.00,0.0,0
1986-03-02,54,37,0.00,0.0,0
1986-03-03,53,38,0.01,0.0,0
1986-03-04,50,41,0.05,0.0,0
1986-03-05,48,39,0.00,0.0,0
1986-03-06,52,44,0.10,0.0,0
1986-03-07,62,50,0.10,0.0,0
1986-03-08,55,45,0.21,0.0,0
1986-03-09,56,43,0.04,0.0,0
1986-03-10,58,41,0.01,0.0,0
1986-03-11,57,41,0.26,0.0,0
1986-03-12,54,47,T,0.0,0
1986-03-13,56,35,T,0.0,0
1986-03-14,54,41,0.19,0.0,0
1986-03-15,53,30,0.00,0.0,0
1986-03-16,52,36,T,0.0,0
1986-03-17,51,39,0.00,0.0,0
1986-03-18,49,44,0.32,0.0,0
1986-03-19,55,45,0.00,0.0,0
1986-03-20,62,36,0.00,0.0,0
1986-03-21,63,44,0.35,0.0,0
1986-03-22,54,38,0.00,0.0,0
1986-03-23,50,38,0.24,0.0,0
1986-03-24,52,42,0.56,0.0,0
1986-03-25,52,38,0.00,0.0,0
1986-03-26,60,47,0.12,0.0,0
1986-03-27,60,47,0.00,0.0,0
1986-03-28,58,48,0.35,0.0,0
1986-03-29,53,48,0.00,0.0,0
1986-03-30,53,46,0.21,0.0,0
1986-03-31,53,36,0.00,0.0,0
1986-04-01,51,42,0.01,0.0,0
1986-04-02,54,39,0.00,0.0,0
1986-04-03,52,42,0.00,0.0,0
1986-04-04,52,44,0.48,0.0,0
1986-04-05,55,35,0.00,0.0,0
1986-04-06,56,36,0.00,0.0,0
1986-04-07,64,37,0.00,0.0,0
1986-04-08,64,50,0.00,0.0,0
1986-04-09,54,44,0.00,0.0,0
1986-04-10,54,33,0.00,0.0,0
1986-04-11,51,42,0.18,0.0,0
1986-04-12,51,41,0.78,0.0,0
1986-04-13,50,43,0.01,0.0,0
1986-04-14,57,37,0.00,0.0,0
1986-04-15,57,46,0.94,0.0,0
1986-04-16,53,39,0.15,0.0,0
1986-04-17,54,45,0.13,0.0,0
1986-04-18,50,43,0.00,0.0,0
1986-04-19,56,48,T,0.0,0
1986-04-20,56,48,0.19,0.0,0
1986-04-21,54,50,0.27,0.0,0
1986-04-22,52,45,0.03,0.0,0
1986-04-23,52,38,0.24,0.0,0
1986-04-24,52,37,0.00,0.0,0
1986-04-25,52,42,0.24,0.0,0
1986-04-26,52,43,0.24,0.0,0
1986-04-27,51,45,0.21,0.0,0
1986-04-28,54,41,0.07,0.0,0
1986-04-29,52,37,0.01,0.0,0
1986-04-30,56,32,0.10,0.0,0
1986-05-01,62,46,T,0.0,0
1986-05-02,61,49,0.13,0.0,0
1986-05-03,60,46,0.77,0.0,0
1986-05-04,60,41,0.00,0.0,0
1986-05-05,57,46,0.00,0.0,0
1986-05-06,60,40,0.00,0.0,0
1986-05-07,60,49,0.00,0.0,0
1986-05-08,60,46,0.00,0.0,0
1986-05-09,58,M,0.00,0.0,0
1986-05-10,55,44,0.07,0.0,0
1986-05-11,55,44,0.05,0.0,0
1986-05-12,54,47,0.02,0.0,0
1986-05-13,55,43,0.24,0.0,0
1986-05-14,57,44,0.07,0.0,0
1986-05-15,60,37,0.00,0.0,0
1986-05-16,60,43,0.00,0.0,0
1986-05-17,59,50,0.02,0.0,0
1986-05-18,60,53,0.28,0.0,0
1986-05-19,67,54,0.05,0.0,0
1986-05-20,M,47,1.16,0.0,0
1986-05-21,58,44,0.00,0.0,0
1986-05-22,59,45,0.00,0.0,0
1986-05-23,68,42,0.00,0.0,0
1986-05-24,73,53,0.11,0.0,0
1986-05-25,75,58,0.34,0.0,0
1986-05-26,70,57,0.28,0.0,0
1986-05-27,70,50,0.00,0.0,0
1986-05-28,72,49,0.00,0.0,0
1986-05-29,72,48,0.00,0.0,0
1986-05-30,71,51,0.00,0.0,0
1986-05-31,72,52,0.00,0.0,0
1986-06-01,73,55,0.00,0.0,0
1986-06-02,69,48,0.00,0.0,0
1986-06-03,71,53,0.00,0.0,0
1986-06-04,69,56,0.00,0.0,0
1986-06-05,69,54,0.00,0.0,0
1986-06-06,66,54,0.00,0.0,0
1986-06-07,64,55,0.00,0.0,0
1986-06-08,64,51,0.03,0.0,0
1986-06-09,70,48,0.00,0.0,0
1986-06-10,76,49,0.00,0.0,0
1986-06-11,73,56,0.00,0.0,0
1986-06-12,74,46,0.00,0.0,0
1986-06-13,77,50,0.00,0.0,0
1986-06-14,79,57,0.27,0.0,0
1986-06-15,66,50,0.01,0.0,0
1986-06-16,70,51,0.00,0.0,0
1986-06-17,69,52,0.28,0.0,0
1986-06-18,69,51,0.52,0.0,0
1986-06-19,64,49,0.01,0.0,0
1986-06-20,65,52,0.11,0.0,0
1986-06-21,69,48,0.00,0.0,0
1986-06-22,73,51,0.00,0.0,0
1986-06-23,72,54,0.00,0.0,0
1986-06-24,69,55,0.00,0.0,0
1986-06-25,69,53,0.00,0.0,0
1986-06-26,69,48,0.00,0.0,0
1986-06-27,73,50,0.00,0.0,0
1986-06-28,74,54,0.12,0.0,0
1986-06-29,63,54,0.09,0.0,0
1986-06-30,68,50,0.01,0.0,0
1986-07-01,65,56,0.40,0.0,0
1986-07-02,67,56,0.06,0.0,0
1986-07-03,67,52,0.32,0.0,0
1986-07-04,65,45,0.01,0.0,0
1986-07-05,67,53,0.00,0.0,0
1986-07-06,71,48,0.00,0.0,0
1986-07-07,72,50,0.00,0.0,0
1986-07-08,70,56,0.00,0.0,0
1986-07-09,69,56,0.00,0.0,0
1986-07-10,66,56,0.17,0.0,0
1986-07-11,68,57,0.00,0.0,0
1986-07-12,66,55,0.00,0.0,0
1986-07-13,68,51,0.00,0.0,0
1986-07-14,67,51,0.00,0.0,0
1986-07-15,64,50,0.00,0.0,0
1986-07-16,59,52,0.82,0.0,0
1986-07-17,63,53,0.27,0.0,0
1986-07-18,68,48,0.00,0.0,0
1986-07-19,72,51,0.00,0.0,0
1986-07-20,73,51,0.00,0.0,0
1986-07-21,74,52,0.00,0.0,0
1986-07-22,75,54,0.00,0.0,0
1986-07-23,69,57,0.00,0.0,0
1986-07-24,69,51,0.00,0.0,0
1986-07-25,70,53,0.00,0.0,0
1986-07-26,67,54,0.01,0.0,0
1986-07-27,65,53,0.00,0.0,0
1986-07-28,67,57,0.00,0.0,0
1986-07-29,67,52,0.00,0.0,0
1986-07-30,70,49,0.00,0.0,0
1986-07-31,74,50,0.00,0.0,0
1986-08-01,77,53,0.00,0.0,0
1986-08-02,76,56,0.00,0.0,0
1986-08-03,80,55,0.00,0.0,0
1986-08-04,72,52,0.00,0.0,0
1986-08-05,73,54,0.00,0.0,0
1986-08-06,75,54,0.00,0.0,0
1986-08-07,77,57,0.00,0.0,0
1986-08-08,77,60,0.00,0.0,0
1986-08-09,78,57,0.00,0.0,0
1986-08-10,M,57,0.00,0.0,0
1986-08-11,68,57,0.00,0.0,0
1986-08-12,70,58,0.00,0.0,0
1986-08-13,74,58,0.00,0.0,0
1986-08-14,75,57,0.00,0.0,0
1986-08-15,75,51,0.00,0.0,0
1986-08-16,70,48,0.00,0.0,0
1986-08-17,71,50,0.00,0.0,0
1986-08-18,72,50,0.00,0.0,0
1986-08-19,71,54,0.00,0.0,0
1986-08-20,73,51,0.00,0.0,0
1986-08-21,78,54,0.00,0.0,0
1986-08-22,78,52,0.00,0.0,0
1986-08-23,75,56,0.00,0.0,0
1986-08-24,73,59,0.00,0.0,0
1986-08-25,72,51,0.00,0.0,0
1986-08-26,77,56,0.00,0.0,0
1986-08-27,78,58,0.00,0.0,0
1986-08-28,79,62,0.00,0.0,0
1986-08-29,69,60,0.00,0.0,0
1986-08-30,66,60,0.00,0.0,0
1986-08-31,69,58,0.00,0.0,0
1986-09-01,70,60,0.00,0.0,0
1986-09-02,73,59,0.00,0.0,0
1986-09-03,74,55,0.00,0.0,0
1986-09-04,73,55,0.00,0.0,0
1986-09-05,81,52,0.00,0.0,0
1986-09-06,84,53,0.00,0.0,0
1986-09-07,84,54,0.00,0.0,0
1986-09-08,84,54,0.04,0.0,0
1986-09-09,66,51,0.00,0.0,0
1986-09-10,64,55,0.39,0.0,0
1986-09-11,64,50,0.06,0.0,0
1986-09-12,66,44,0.00,0.0,0
1986-09-13,65,47,0.04,0.0,0
1986-09-14,65,49,0.00,0.0,0
1986-09-15,62,47,0.00,0.0,0
1986-09-16,64,47,0.00,0.0,0
1986-09-17,64,46,0.00,0.0,0
1986-09-18,63,53,0.05,0.0,0
1986-09-19,64,48,0.02,0.0,0
1986-09-20,63,50,T,0.0,0
1986-09-21,62,47,0.00,0.0,0
1986-09-22,61,47,0.00,0.0,0
1986-09-23,60,52,0.74,0.0,0
1986-09-24,62,47,0.26,0.0,0
1986-09-25,60,40,0.00,0.0,0
1986-09-26,60,45,0.00,0.0,0
1986-09-27,57,51,0.12,0.0,0
1986-09-28,58,50,0.00,0.0,0
1986-09-29,62,52,0.35,0.0,0
1986-09-30,61,51,0.10,0.0,0
1986-10-01,58,43,0.00,0.0,0
1986-10-02,57,44,0.00,0.0,0
1986-10-03,57,50,0.00,0.0,0
1986-10-04,57,50,0.01,0.0,0
1986-10-05,62,52,0.00,0.0,0
1986-10-06,59,49,0.00,0.0,0
1986-10-07,64,49,0.00,0.0,0
1986-10-08,63,48,0.00,0.0,0
1986-10-09,59,48,0.00,0.0,0
1986-10-10,69,47,0.00,0.0,0
1986-10-11,68,39,0.00,0.0,0
1986-10-12,61,38,0.00,0.0,0
1986-10-13,62,39,0.00,0.0,0
1986-10-14,58,39,0.00,0.0,0
1986-10-15,58,38,0.00,0.0,0
1986-10-16,56,40,0.00,0.0,0
1986-10-17,54,47,0.00,0.0,0
1986-10-18,55,42,0.00,0.0,0
1986-10-19,54,39,0.00,0.0,0
1986-10-20,M,40,0.00,0.0,0
1986-10-21,55,40,0.00,0.0,0
1986-10-22,55,39,0.00,0.0,0
1986-10-23,59,37,0.00,0.0,0
1986-10-24,66,37,0.00,0.0,0
1986-10-25,68,56,0.29,0.0,0
1986-10-26,65,56,0.79,0.0,0
1986-10-27,61,55,0.58,0.0,0
1986-10-28,60,48,0.00,0.0,0
1986-10-29,60,42,0.05,0.0,0
1986-10-30,60,53,0.08,0.0,0
1986-10-31,60,46,0.00,0.0,0
1986-11-01,60,41,0.01,0.0,0
1986-11-02,53,42,0.00,0.0,0
1986-11-03,51,46,0.00,0.0,0
1986-11-04,51,46,0.00,0.0,0
1986-11-05,55,47,0.48,0.0,0
1986-11-06,53,39,0.12,0.0,0
1986-11-07,50,37,0.06,0.0,0
1986-11-08,45,34,0.01,0.0,0
1986-11-09,37,29,0.00,0.0,0
1986-11-10,37,28,0.00,0.0,0
1986-11-11,41,28,0.15,0.0,0
1986-11-12,45,36,0.00,0.0,0
1986-11-13,44,40,0.30,0.0,0
1986-11-14,50,35,0.05,0.0,0
1986-11-15,46,36,0.11,0.0,0
1986-11-16,49,45,0.51,0.0,0
1986-11-17,48,38,0.00,0.0,0
1986-11-18,54,43,0.65,0.0,0
1986-11-19,55,48,1.07,0.0,0
1986-11-20,55,48,0.17,0.0,0
1986-11-21,55,45,0.03,0.0,0
1986-11-22,50,44,0.07,0.0,0
1986-11-23,55,47,1.79,0.0,0
1986-11-24,50,44,0.56,0.0,0
1986-11-25,54,41,0.00,0.0,0
1986-11-26,54,41,0.45,0.0,0
1986-11-27,54,41,0.32,0.0,0
1986-11-28,54,34,0.00,0.0,0
1986-11-29,54,30,0.00,0.0,0
1986-11-30,54,30,0.02,0.0,0
1986-12-01,53,42,0.12,0.0,0
