date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1987-07-01,M,M,0.02,0.0,0
1987-07-02,63,55,0.07,0.0,0
1987-07-03,63,53,0.01,0.0,0
1987-07-04,64,51,0.00,0.0,0
1987-07-05,62,52,0.39,0.0,0
1987-07-06,65,49,0.00,0.0,0
1987-07-07,63,52,0.10,0.0,0
1987-07-08,63,46,0.27,0.0,0
1987-07-09,67,51,0.05,0.0,0
1987-07-10,68,51,0.12,0.0,0
1987-07-11,73,51,0.00,0.0,0
1987-07-12,80,45,0.00,0.0,0
1987-07-13,79,45,0.00,0.0,0
1987-07-14,81,46,0.00,0.0,0
1987-07-15,77,46,0.00,0.0,0
1987-07-16,67,46,0.00,0.0,0
1987-07-17,69,40,0.00,0.0,0
1987-07-18,73,M,0.12,0.0,0
1987-07-19,77,55,0.00,0.0,0
1987-07-20,71,50,0.00,0.0,0
1987-07-21,81,47,0.00,0.0,0
1987-07-22,76,52,0.05,0.0,0
1987-07-23,73,53,0.00,0.0,0
1987-07-24,70,51,0.00,0.0,0
1987-07-25,72,53,0.00,0.0,0
1987-07-26,65,52,0.00,0.0,0
1987-07-27,71,53,0.14,0.0,0
1987-07-28,71,42,0.00,0.0,0
1987-07-29,72,46,0.00,0.0,0
1987-07-30,73,43,0.00,0.0,0
1987-07-31,72,46,0.00,0.0,0
1987-08-01,69,43,0.02,0.0,0
1987-08-02,75,42,0.00,0.0,0
1987-08-03,78,45,0.00,0.0,0
1987-08-04,85,48,0.00,0.0,0
1987-08-05,77,47,0.00,0.0,0
1987-08-06,73,55,0.00,0.0,0
1987-08-07,73,51,0.00,0.0,0
1987-08-08,87,50,0.00,0.0,0
1987-08-09,90,54,0.00,0.0,0
1987-08-10,63,54,0.05,0.0,0
1987-08-11,62,56,0.04,0.0,0
1987-08-12,75,52,T,0.0,0
1987-08-13,64,53,0.34,0.0,0
1987-08-14,64,56,0.04,0.0,0
1987-08-15,70,M,0.00,0.0,0
1987-08-16,63,44,0.00,0.0,0
1987-08-17,67,44,0.00,0.0,0
1987-08-18,72,41,0.00,0.0,0
1987-08-19,75,41,0.00,0.0,0
1987-08-20,73,41,0.00,0.0,0
1987-08-21,72,39,0.00,0.0,0
1987-08-22,74,40,0.00,0.0,0
1987-08-23,83,44,0.00,0.0,0
1987-08-24,86,47,0.00,0.0,0
1987-08-25,72,55,0.00,0.0,0
1987-08-26,76,53,0.00,0.0,0
1987-08-27,79,47,0.00,0.0,0
1987-08-28,79,41,0.00,0.0,0
1987-08-29,74,46,0.00,0.0,0
1987-08-30,84,49,0.00,0.0,0
1987-08-31,93,50,0.00,0.0,0
1987-09-01,98,50,0.36,0.0,0
1987-09-02,77,54,0.00,0.0,0
1987-09-03,67,42,0.00,0.0,0
1987-09-04,75,43,0.00,0.0,0
1987-09-05,80,45,0.00,0.0,0
1987-09-06,86,46,0.00,0.0,0
1987-09-07,75,50,0.00,0.0,0
1987-09-08,62,54,0.00,0.0,0
1987-09-09,69,52,0.00,0.0,0
1987-09-10,78,44,0.00,0.0,0
1987-09-11,62,47,0.04,0.0,0
1987-09-12,60,54,0.00,0.0,0
1987-09-13,63,53,0.02,0.0,0
1987-09-14,70,44,0.12,0.0,0
1987-09-15,63,44,1.30,0.0,0
1987-09-16,67,38,0.02,0.0,0
1987-09-17,68,36,0.00,0.0,0
1987-09-18,74,38,0.00,0.0,0
1987-09-19,76,50,0.00,0.0,0
1987-09-20,84,44,0.00,0.0,0
1987-09-21,83,42,0.00,0.0,0
1987-09-22,86,42,0.00,0.0,0
1987-09-23,83,M,0.00,0.0,0
1987-09-24,69,45,0.02,0.0,0
1987-09-25,63,53,0.00,0.0,0
1987-09-26,65,42,0.13,0.0,0
1987-09-27,67,36,0.00,0.0,0
1987-09-28,70,36,0.00,0.0,0
1987-09-29,78,38,0.00,0.0,0
1987-09-30,84,40,0.00,0.0,0
1987-10-01,89,44,0.00,0.0,0
1987-10-02,88,45,0.00,0.0,0
1987-10-03,60,55,0.15,0.0,0
1987-10-04,69,48,0.15,0.0,0
1987-10-05,71,39,0.00,0.0,0
1987-10-06,79,38,0.00,0.0,0
1987-10-07,84,38,0.00,0.0,0
1987-10-08,84,38,0.00,0.0,0
1987-10-09,66,36,0.00,0.0,0
1987-10-10,79,32,0.00,0.0,0
1987-10-11,80,32,0.00,0.0,0
1987-10-12,83,33,0.00,0.0,0
1987-10-13,68,32,0.00,0.0,0
1987-10-14,70,33,0.00,0.0,0
1987-10-15,62,33,0.00,0.0,0
1987-10-16,66,32,0.00,0.0,0
1987-10-17,67,32,0.00,0.0,0
1987-10-18,64,31,0.00,0.0,0
1987-10-19,65,30,0.00,0.0,0
1987-10-20,74,29,0.00,0.0,0
1987-10-21,76,30,0.00,0.0,0
1987-10-22,63,31,0.00,0.0,0
1987-10-23,65,38,0.00,0.0,0
1987-10-24,63,33,0.00,0.0,0
1987-10-25,61,37,0.00,0.0,0
1987-10-26,57,40,0.15,0.0,0
1987-10-27,65,32,0.00,0.0,0
1987-10-28,63,M,0.00,0.0,0
1987-10-29,67,37,0.01,0.0,0
1987-10-30,67,37,0.12,0.0,0
1987-10-31,57,53,0.78,0.0,0
1987-11-01,62,45,0.12,0.0,0
1987-11-02,59,45,0.00,0.0,0
1987-11-03,58,38,0.00,0.0,0
1987-11-04,58,39,0.04,0.0,0
1987-11-05,59,44,0.00,0.0,0
1987-11-06,67,40,0.03,0.0,0
1987-11-07,55,49,0.10,0.0,0
1987-11-08,56,49,0.00,0.0,0
1987-11-09,62,51,0.33,0.0,0
1987-11-10,57,48,0.32,0.0,0
1987-11-11,57,48,1.80,0.0,0
1987-11-12,58,51,0.42,0.0,0
1987-11-13,55,50,1.00,0.0,0
1987-11-14,54,34,0.40,0.0,0
1987-11-15,50,36,0.45,0.0,0
1987-11-16,45,30,0.44,0.0,0
1987-11-17,51,27,0.00,0.0,0
1987-11-18,52,33,0.00,0.0,0
1987-11-19,53,44,0.00,0.0,0
1987-11-20,64,46,0.00,0.0,0
1987-11-21,63,41,0.31,0.0,0
1987-11-22,51,43,1.22,0.0,0
1987-11-23,53,38,0.26,0.0,0
1987-11-24,53,40,1.12,0.0,0
1987-11-25,48,32,0.42,0.0,0
1987-11-26,49,32,0.00,0.0,0
1987-11-27,52,36,0.00,0.0,0
1987-11-28,53,26,0.00,0.0,0
1987-11-29,45,27,0.00,0.0,0
1987-11-30,47,33,0.30,0.0,0
1987-12-01,49,42,2.93,0.0,0
1987-12-02,51,38,0.83,0.0,0
1987-12-03,55,43,1.78,0.0,0
1987-12-04,48,38,0.40,0.0,0
1987-12-05,53,32,0.00,0.0,0
1987-12-06,53,45,2.00,0.0,0
1987-12-07,50,43,1.71,0.0,0
1987-12-08,48,40,0.53,0.0,0
1987-12-09,M,M,1.74,0.0,0
1987-12-10,54,39,1.50,0.0,0
1987-12-11,49,32,0.41,0.0,0
1987-12-12,48,25,0.00,0.0,0
1987-12-13,44,24,0.00,0.0,0
1987-12-14,40,25,0.22,0.5,1
1987-12-15,44,25,0.00,0.0,0
1987-12-16,38,24,0.00,0.0,0
1987-12-17,43,21,0.00,0.0,0
1987-12-18,42,21,0.04,0.0,0
1987-12-19,44,26,0.00,0.0,0
1987-12-20,40,26,0.00,0.0,0
1987-12-21,38,30,0.85,0.0,0
1987-12-22,38,28,0.41,0.0,0
1987-12-23,43,29,0.15,0.0,0
1987-12-24,37,24,0.00,0.0,0
1987-12-25,35,25,0.00,0.0,0
1987-12-26,42,26,0.00,0.0,0
1987-12-27,48,33,0.00,0.0,0
1987-12-28,45,35,0.03,0.0,0
1987-12-29,47,33,0.19,0.0,0
