date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2006-07-20,103,71,0.00,M,M
2006-07-21,105,73,0.00,M,M
2006-07-22,101,63,0.00,M,M
2006-07-23,87,58,0.00,M,M
2006-07-24,89,59,0.00,M,M
2006-07-25,92,59,0.00,M,M
2006-07-26,96,64,0.00,M,M
2006-07-27,99,74,0.00,M,M
2006-07-28,91,72,T,M,M
2006-07-29,83,73,0.15,M,M
2006-07-30,100,68,0.00,M,M
2006-07-31,101,68,0.00,M,M
2006-08-01,97,68,0.00,M,M
2006-08-02,100,68,0.00,M,M
2006-08-03,101,72,0.00,M,M
2006-08-04,94,68,0.00,M,M
2006-08-05,91,67,0.00,M,M
2006-08-06,96,67,0.00,M,M
2006-08-07,100,57,0.00,M,M
2006-08-08,100,67,0.00,M,M
2006-08-09,99,71,0.00,M,M
2006-08-10,95,71,0.06,M,M
2006-08-11,96,73,0.40,M,M
2006-08-12,93,69,0.00,M,M
2006-08-13,90,70,0.00,M,M
2006-08-14,96,74,0.00,M,M
2006-08-15,99,71,0.00,M,M
2006-08-16,91,74,0.00,M,M
2006-08-17,93,64,0.00,M,M
2006-08-19,102,66,0.00,M,M
2006-08-21,89,70,0.00,M,M
2006-08-22,87,71,0.00,M,M
2006-08-23,92,63,0.00,M,M
2006-08-24,93,58,0.00,M,M
2006-08-25,94,70,0.00,M,M
2006-08-26,85,72,2.03,M,M
2006-08-27,89,72,0.00,M,M
2006-08-28,86,70,0.66,M,M
2006-08-29,90,67,T,M,M
2006-08-30,72,59,0.00,M,M
2006-08-31,82,58,0.00,M,M
2006-09-01,81,58,0.00,0.0,M
2006-09-02,82,58,0.00,0.0,0
2006-09-03,85,56,0.00,0.0,0
2006-09-04,83,61,0.00,0.0,0
2006-09-05,79,52,0.00,0.0,0
2006-09-06,83,51,0.00,0.0,0
2006-09-07,87,53,0.00,0.0,0
2006-09-08,87,53,0.00,0.0,0
2006-09-09,87,56,0.10,0.0,0
2006-09-10,89,64,0.54,0.0,0
2006-09-11,86,68,0.00,0.0,0
2006-09-12,70,48,0.00,0.0,0
2006-09-13,78,48,0.00,0.0,0
2006-09-14,83,52,0.00,0.0,0
2006-09-15,84,51,0.00,0.0,0
2006-09-16,91,57,0.97,0.0,0
2006-09-17,76,58,T,0.0,0
2006-09-18,77,47,0.00,0.0,0
2006-09-19,69,43,0.00,0.0,0
2006-09-20,77,55,0.05,0.0,0
2006-09-21,72,63,0.31,0.0,0
2006-09-22,87,66,0.03,0.0,0
2006-09-23,77,50,0.00,0.0,0
2006-09-24,68,43,0.00,0.0,0
2006-09-25,76,46,0.00,0.0,0
2006-09-26,82,45,0.00,0.0,0
2006-09-27,83,47,0.00,0.0,0
2006-09-28,66,37,0.00,0.0,0
2006-09-29,76,48,0.00,0.0,0
2006-09-30,84,46,0.00,0.0,0
2006-10-01,87,55,0.00,0.0,0
2006-10-02,90,56,0.00,0.0,0
2006-10-03,92,55,0.00,0.0,0
2006-10-04,92,61,0.00,0.0,0
2006-10-05,68,46,0.00,0.0,0
2006-10-06,76,40,0.00,0.0,0
2006-10-07,76,38,0.00,0.0,0
2006-10-08,79,44,0.00,0.0,0
2006-10-09,78,52,0.02,0.0,0
2006-10-10,71,52,0.00,0.0,0
2006-10-11,68,44,0.00,0.0,0
2006-10-12,55,27,0.00,0.0,0
2006-10-13,65,31,0.00,0.0,0
2006-10-14,72,47,1.17,0.0,0
2006-10-15,59,53,1.01,0.0,0
2006-10-16,M,59,T,0.0,0
2006-10-17,71,M,0.10,0.0,0
2006-10-18,81,44,0.00,0.0,0
2006-10-19,49,30,0.00,0.0,0
2006-10-20,67,36,0.00,0.0,0
2006-10-21,62,35,0.00,0.0,0
2006-10-22,51,28,0.00,0.0,0
2006-10-23,57,27,0.03,0.0,0
2006-10-24,59,46,0.22,0.0,0
2006-10-25,56,54,0.31,0.0,0
2006-10-26,58,55,0.28,0.0,0
2006-10-27,57,42,0.00,0.0,0
2006-10-28,65,38,0.00,0.0,0
2006-10-29,79,50,0.03,0.0,0
2006-10-30,68,47,0.03,0.0,0
2006-10-31,49,44,0.00,0.0,0
2006-11-01,51,23,0.00,0.0,0
2006-11-02,55,25,0.00,0.0,0
2006-11-03,58,46,0.47,0.0,0
2006-11-04,50,42,0.23,0.0,0
2006-11-05,52,46,0.10,0.0,0
2006-11-06,56,49,0.00,0.0,0
2006-11-07,64,39,0.00,0.0,0
2006-11-08,77,44,T,0.0,0
2006-11-09,84,63,0.00,0.0,0
2006-11-10,76,36,0.00,0.0,0
2006-11-11,52,24,T,0.0,0
2006-11-12,56,40,T,0.0,0
2006-11-13,55,44,0.42,0.0,0
2006-11-14,57,49,1.30,0.0,0
2006-11-15,49,37,0.00,0.0,0
2006-11-16,47,29,0.00,0.0,0
2006-11-17,64,37,0.00,0.0,0
2006-11-18,50,26,0.00,0.0,0
2006-11-19,49,28,0.00,0.0,0
2006-11-20,55,22,0.00,0.0,0
2006-11-21,61,30,0.00,0.0,0
2006-11-22,67,32,0.00,0.0,0
2006-11-23,68,35,0.00,0.0,0
2006-11-24,72,41,T,0.0,0
2006-11-25,70,39,0.00,0.0,0
2006-11-26,69,46,0.00,0.0,0
2006-11-27,69,56,0.02,0.0,0
2006-11-28,64,64,M,0.0,0
2006-11-29,73,36,2.30,0.0,0
2006-11-30,36,20,1.00,1.0,2
2006-12-01,36,16,T,M,T
2006-12-02,48,24,T,0.0,T
2006-12-03,33,13,T,0.0,T
2006-12-04,48,26,T,0.0,1
2006-12-05,54,27,T,0.0,T
2006-12-06,50,22,T,0.0,T
2006-12-07,28,9,T,0.0,T
2006-12-08,38,20,T,0.0,T
2006-12-09,56,38,0.00,M,M
2006-12-10,53,48,0.00,0.0,M
2006-12-11,58,51,0.00,0.0,M
2006-12-12,58,29,0.00,0.0,M
2006-12-13,66,31,0.00,0.0,M
2006-12-14,68,33,0.00,0.0,M
2006-12-15,69,52,0.00,0.0,M
2006-12-16,70,49,0.00,0.0,M
2006-12-17,72,45,T,0.0,M
2006-12-18,49,43,0.69,0.0,M
2006-12-19,50,42,0.07,0.0,M
2006-12-20,55,44,0.56,0.0,M
2006-12-21,61,33,0.00,0.0,M
2006-12-22,50,36,0.00,0.0,M
2006-12-23,53,26,0.00,0.0,M
2006-12-24,48,42,T,0.0,M
2006-12-25,43,29,0.00,0.0,M
2006-12-26,48,27,0.00,0.0,M
2006-12-27,54,38,0.00,0.0,M
2006-12-28,61,49,0.00,0.0,M
2006-12-29,61,53,0.42,0.0,M
2006-12-30,57,41,0.62,0.0,M
2006-12-31,50,33,0.03,0.0,M
2007-01-01,51,23,0.00,0.0,M
2007-01-02,52,M,0.00,0.0,M
2007-01-03,54,44,T,0.0,M
2007-01-04,51,49,0.37,0.0,M
2007-01-05,56,41,0.00,0.0,M
2007-01-06,53,43,0.02,0.0,M
2007-01-07,55,27,0.00,0.0,M
2007-01-08,55,39,0.00,0.0,M
2007-01-09,46,22,0.00,0.0,M
2007-01-10,53,38,0.00,0.0,M
2007-01-11,57,45,0.00,0.0,M
2007-01-12,58,34,1.37,0.0,M
2007-01-13,36,33,0.52,0.0,M
2007-01-14,37,28,0.51,0.0,M
2007-01-15,28,15,T,0.0,M
2007-01-16,26,13,0.00,0.0,M
2007-01-17,31,26,0.00,0.0,M
2007-01-18,35,21,0.00,0.0,M
2007-01-19,44,27,0.00,0.0,M
2007-01-20,35,29,0.42,0.0,1
2007-01-21,38,33,0.00,M,1
2007-01-22,M,26,0.00,0.0,T
2007-01-23,51,M,0.00,0.0,M
2007-01-24,52,30,0.00,0.0,M
2007-01-25,51,24,0.00,0.0,M
2007-01-26,61,40,0.00,0.2,M
2007-01-27,43,18,0.00,0.2,M
2007-01-28,33,14,0.00,0.0,M
2007-01-29,48,15,0.00,0.0,M
2007-01-30,29,8,0.00,0.0,M
2007-01-31,M,M,M,0.0,M
2007-02-08,38,28,0.00,M,M
2007-02-09,33,26,0.00,0.0,M
2007-02-10,43,20,0.00,0.0,M
2007-02-11,41,36,0.08,0.0,M
2007-02-12,44,35,1.89,0.0,M
2007-02-13,36,20,M,0.0,1
2007-02-14,31,17,0.00,M,M
2007-02-15,29,12,0.00,0.0,M
2007-02-16,40,27,T,0.0,T
2007-02-17,37,22,0.00,0.0,T
2007-02-18,57,27,0.00,0.0,M
2007-02-19,67,36,0.00,0.0,M
2007-02-20,75,35,0.00,0.0,M
2007-02-21,70,43,0.00,0.0,M
2007-02-22,65,35,0.00,0.0,M
2007-02-23,63,42,0.38,0.0,M
2007-02-24,54,39,0.20,0.0,M
2007-02-25,43,31,0.00,0.0,M
2007-02-26,57,27,0.00,0.0,M
2007-02-27,63,45,0.00,0.0,M
2007-02-28,68,58,0.11,0.0,M
2007-03-01,58,30,0.00,0.0,0
2007-03-02,53,31,T,0.0,T
2007-03-03,37,21,T,0.0,T
2007-03-04,51,25,0.00,0.0,0
2007-03-05,69,34,0.00,0.0,0
2007-03-06,68,31,0.00,0.0,0
2007-03-07,67,30,0.00,0.0,0
2007-03-08,67,38,0.00,0.0,0
2007-03-09,58,49,0.09,0.0,0
2007-03-10,65,45,0.00,0.0,0
2007-03-11,70,42,0.00,0.0,0
2007-03-12,78,46,0.00,0.0,0
2007-03-13,76,47,0.00,0.0,0
2007-03-14,73,54,T,0.0,0
2007-03-15,63,38,0.00,0.0,0
