date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2006-01-31,M,M,1.36A,M,M
2006-02-01,M,M,S,M,M
2006-02-28,M,M,0.03A,M,M
2006-03-01,M,M,0.00,0.0,M
2006-03-02,M,M,0.00,0.0,M
2006-03-03,M,M,0.00,0.0,M
2006-03-04,M,M,0.00,0.0,M
2006-03-05,M,M,0.38,0.0,M
2006-03-06,M,M,0.05,0.0,M
2006-03-07,M,M,0.00,0.0,M
2006-03-08,M,M,0.06,0.0,M
2006-03-09,M,M,0.47,0.0,M
2006-03-10,M,M,0.36,0.0,M
2006-03-11,M,M,0.00,0.0,M
2006-03-12,M,M,1.58,0.0,M
2006-03-13,M,M,0.56,0.0,M
2006-03-14,47,24,0.00,0.0,M
2006-03-15,53,31,0.00,0.0,M
2006-03-16,56,49,0.00,0.0,M
2006-03-17,62,36,0.00,0.0,M
2006-03-18,41,32,0.00,0.0,M
2006-03-19,44,38,0.00,0.0,M
2006-03-20,47,35,0.11,0.0,M
2006-03-21,38,31,0.14,0.0,0
2006-03-22,34,22,0.00,M,M
2006-03-23,44,30,0.00,0.0,M
2006-03-24,47,24,0.00,0.0,M
2006-03-25,39,31,0.00,0.0,M
2006-03-26,49,31,0.00,0.0,M
2006-03-27,59,41,0.29,0.0,M
2006-03-28,64,40,0.00,0.0,M
2006-03-29,47,34,0.00,0.0,M
2006-03-30,73,55,0.00,0.0,M
2006-03-31,M,M,0.33,0.0,M
2006-04-01,78,38,0.00,0.0,0
2006-04-02,78,M,0.31,0.0,0
2006-04-03,59,47,T,0.0,0
2006-04-04,63,35,0.00,0.0,0
2006-04-05,73,46,0.07,0.0,0
2006-04-06,75,59,0.03,0.0,0
2006-04-07,78,53,T,0.0,0
2006-04-08,55,34,0.00,0.0,0
2006-04-09,68,33,0.00,0.0,0
2006-04-10,77,45,0.00,0.0,0
2006-04-11,76,57,0.00,0.0,0
2006-04-12,80,53,0.00,0.0,0
2006-04-13,88,52,0.00,0.0,0
2006-04-14,87,67,0.02,0.0,0
2006-04-15,83,64,0.00,0.0,0
2006-04-16,81,68,0.00,0.0,0
2006-04-17,70,47,0.00,0.0,0
2006-04-18,91,54,0.00,0.0,0
2006-04-19,72,47,0.00,0.0,0
2006-04-20,76,46,0.00,0.0,0
2006-04-21,77,48,0.00,0.0,0
2006-04-22,83,49,0.28,0.0,0
2006-04-23,80,55,0.50,0.0,0
2006-04-24,71,56,0.09,0.0,0
2006-04-25,60,M,0.00,0.0,0
2006-04-26,M,42,0.00,0.0,0
2006-04-27,68,34,0.00,0.0,0
2006-04-28,62,50,0.00,0.0,0
2006-04-29,62,52,1.11,0.0,0
2006-04-30,69,54,0.98,0.0,0
2006-05-01,71,48,0.04,0.0,0
2006-05-02,79,44,T,0.0,0
2006-05-03,77,63,0.00,0.0,0
2006-05-04,63,54,0.05,0.0,0
2006-05-05,63,46,0.02,0.0,0
2006-05-06,62,45,0.04,0.0,0
2006-05-07,67,48,0.28,0.0,0
2006-05-08,71,52,0.00,0.0,0
2006-05-09,78,M,0.04,0.0,0
2006-05-10,67,59,0.01,0.0,0
2006-05-11,58,46,0.01,0.0,0
2006-05-12,68,42,0.00,0.0,0
2006-05-13,67,46,0.00,0.0,0
2006-05-14,59,42,0.00,0.0,0
2006-05-15,64,51,0.00,0.0,0
2006-05-16,68,47,0.00,0.0,0
2006-05-17,77,47,0.13,0.0,0
2006-05-18,76,47,0.00,0.0,0
2006-05-19,88,M,T,0.0,0
2006-05-20,73,58,T,0.0,0
2006-05-21,80,59,0.01,0.0,0
2006-05-22,77,60,0.00,0.0,0
2006-05-23,83,63,0.16,0.0,0
2006-05-24,84,68,0.00,0.0,0
2006-05-25,88,70,0.00,0.0,0
2006-05-26,88,55,0.00,0.0,0
2006-05-27,90,M,0.00,0.0,0
2006-05-28,90,68,0.00,0.0,0
2006-05-29,90,70,0.00,0.0,0
2006-05-30,86,65,0.01,0.0,0
2006-05-31,80,66,0.53,0.0,0
2006-06-01,78,67,0.02,0.0,0
2006-06-02,83,56,0.05,0.0,0
2006-06-03,85,56,0.00,0.0,0
2006-06-04,78,61,0.00,0.0,0
2006-06-05,83,59,0.02,0.0,0
2006-06-06,84,M,0.02,0.0,0
2006-06-07,86,59,0.00,0.0,0
2006-06-08,92,60,0.00,0.0,0
2006-06-09,93,M,0.00,0.0,0
2006-06-10,95,67,0.00,0.0,0
2006-06-11,86,65,0.18,0.0,0
2006-06-12,72,59,0.05,0.0,0
2006-06-13,80,55,0.00,0.0,0
2006-06-14,88,55,0.00,0.0,0
2006-06-15,91,M,0.00,0.0,0
2006-06-16,93,M,0.00,0.0,0
2006-06-17,88,73,0.00,0.0,0
2006-06-18,85,63,0.52,0.0,0
2006-06-19,90,63,0.00,0.0,0
2006-06-20,91,M,0.00,0.0,0
2006-06-21,92,71,0.00,0.0,0
2006-06-22,85,70,0.00,0.0,0
2006-06-23,84,61,1.65,0.0,0
2006-06-24,85,65,0.00,0.0,0
2006-06-25,84,63,0.00,0.0,0
2006-06-26,77,57,T,0.0,0
2006-06-27,83,52,0.00,0.0,0
2006-06-28,90,M,0.02,0.0,0
2006-06-29,93,63,0.00,0.0,0
2006-06-30,92,63,0.00,0.0,0
2006-07-01,94,62,0.00,0.0,0
2006-07-02,95,M,0.00,0.0,0
2006-07-03,96,68,0.00,0.0,0
2006-07-04,85,M,0.00,0.0,0
2006-07-05,82,59,0.52,0.0,0
2006-07-06,83,61,0.00,0.0,0
2006-07-07,85,59,0.00,0.0,0
2006-07-08,89,58,0.00,0.0,0
2006-07-09,84,67,T,0.0,0
2006-07-10,77,69,0.00,0.0,0
2006-07-11,88,68,0.66,0.0,0
2006-07-12,89,69,0.33,0.0,0
2006-07-13,95,73,0.00,0.0,0
2006-07-14,91,67,0.24,0.0,0
2006-07-15,96,69,0.00,0.0,0
2006-07-16,98,72,0.00,0.0,0
2006-07-17,101,73,0.00,0.0,0
2006-07-18,101,M,0.00,0.0,0
2006-07-19,102,77,0.00,0.0,0
2006-07-20,106,80,0.00,0.0,0
2006-07-21,83,74,0.00,0.0,0
2006-07-22,84,62,0.39,0.0,0
