date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2001-06-29,M,M,0.25,M,M
2001-07-01,84,M,0.00,0.0,M
2001-07-02,87,60,0.00,0.0,0
2001-07-03,87,68,0.00,0.0,0
2001-07-04,91,65,0.00,0.0,0
2001-07-05,91,65,0.30,0.0,0
2001-07-06,87,68,0.00,0.0,0
2001-07-07,91,69,0.00,0.0,0
2001-07-08,96,73,0.00,0.0,0
2001-07-09,95,70,0.00,0.0,0
2001-07-10,96,71,0.00,0.0,0
2001-07-11,90,71,0.45,0.0,0
2001-07-12,92,71,0.00,0.0,0
2001-07-13,80,64,0.33,0.0,0
2001-07-14,81,55,0.00,0.0,0
2001-07-15,82,59,0.00,0.0,0
2001-07-16,83,64,0.00,0.0,0
2001-07-17,83,65,0.00,0.0,0
2001-07-18,95,72,0.00,0.0,0
2001-07-19,97,72,0.00,0.0,0
2001-07-20,96,68,0.13,0.0,0
2001-07-21,96,68,0.00,0.0,0
2001-07-22,M,M,0.00,0.0,0
2001-07-23,99,72,0.00,0.0,0
2001-07-24,97,71,0.00,0.0,0
2001-07-25,82,70,0.62,0.0,0
2001-07-26,87,72,0.00,0.0,0
2001-07-27,87,73,0.00,0.0,0
2001-07-28,85,71,0.15,0.0,0
2001-07-29,92,70,0.11,0.0,0
2001-07-30,93,71,0.00,0.0,0
2001-07-31,95,71,0.00,0.0,0
2001-08-01,95,72,0.00,0.0,0
2001-08-02,95,70,0.00,0.0,0
2001-08-03,95,68,0.00,0.0,0
2001-08-04,97,68,0.00,0.0,0
2001-08-05,96,66,0.00,0.0,0
2001-08-06,94,64,0.00,0.0,0
2001-08-07,93,65,0.00,0.0,0
2001-08-08,90,72,0.71,0.0,0
2001-08-09,92,72,0.00,0.0,0
2001-08-10,97,71,0.02,0.0,0
2001-08-11,92,70,0.02,0.0,0
2001-08-12,90,68,0.01,0.0,0
2001-08-13,89,67,0.95,0.0,0
2001-08-14,90,62,0.00,0.0,0
2001-08-15,86,58,0.00,0.0,0
2001-08-16,90,59,0.16,0.0,0
2001-08-17,87,59,0.00,0.0,0
2001-08-18,92,59,0.10,0.0,0
2001-08-19,93,59,0.00,0.0,0
2001-08-20,85,57,0.00,0.0,0
2001-08-21,88,M,0.00,0.0,0
2001-08-22,99,67,0.00,0.0,0
2001-08-23,99,68,0.00,0.0,0
2001-08-24,96,69,0.00,0.0,0
2001-08-25,97,70,0.00,0.0,0
2001-08-26,92,70,0.00,0.0,0
2001-08-27,90,69,0.10,0.0,0
2001-08-28,93,63,0.00,0.0,0
2001-08-29,98,64,0.00,0.0,0
2001-08-30,97,66,0.10,0.0,0
2001-08-31,87,67,0.00,0.0,0
2001-09-01,83,67,0.00,0.0,0
2001-09-02,88,63,0.00,0.0,0
2001-09-03,91,64,0.00,0.0,0
2001-09-04,92,64,0.00,0.0,0
2001-09-05,93,64,0.00,0.0,0
2001-09-06,92,65,0.00,0.0,0
2001-09-07,95,69,0.00,0.0,0
2001-09-08,M,M,M,0.0,0
2001-09-09,78,63,2.10,0.0,0
2001-09-10,72,48,0.00,0.0,0
2001-09-11,79,48,0.00,0.0,0
2001-09-12,82,50,0.00,0.0,0
2001-09-13,83,52,0.00,0.0,0
2001-09-14,84,54,0.00,0.0,0
2001-09-15,80,54,0.00,0.0,0
2001-09-16,78,53,0.00,0.0,0
2001-09-17,80,59,0.00,0.0,0
2001-09-18,80,59,0.00,0.0,0
2001-09-19,79,61,0.03,0.0,0
2001-09-20,77,52,0.00,0.0,0
2001-09-21,83,52,0.30,0.0,0
2001-09-22,78,52,0.00,0.0,0
2001-09-23,85,55,0.00,0.0,0
2001-09-24,68,53,0.12,0.0,0
2001-09-25,62,38,0.00,0.0,0
2001-09-26,66,37,0.00,0.0,0
2001-09-27,73,38,0.00,0.0,0
2001-09-28,78,40,0.00,0.0,0
2001-09-29,75,45,0.00,0.0,0
2001-09-30,72,44,0.00,0.0,0
2001-10-01,80,41,0.00,0.0,0
2001-10-02,82,46,0.00,0.0,0
2001-10-03,82,50,0.00,0.0,0
2001-10-04,83,52,0.00,0.0,0
2001-10-05,63,34,0.70,0.0,0
2001-10-06,63,34,0.00,0.0,0
2001-10-07,67,38,0.00,0.0,0
2001-10-08,72,42,0.00,0.0,0
2001-10-09,70,54,0.30,0.0,0
2001-10-10,68,57,0.00,0.0,0
2001-10-11,66,56,1.62,0.0,0
2001-10-12,66,56,0.00,0.0,0
2001-10-13,69,56,0.25,0.0,0
2001-10-14,66,44,0.00,0.0,0
2001-10-15,66,37,0.00,0.0,0
2001-10-16,67,35,0.24,0.0,0
2001-10-17,57,28,0.00,0.0,0
2001-10-18,64,M,0.00,0.0,0
2001-10-19,70,40,0.00,0.0,0
2001-10-20,71,45,0.00,0.0,0
2001-10-21,73,M,0.00,0.0,0
2001-10-22,78,53,0.00,0.0,0
2001-10-23,76,54,0.00,0.0,0
2001-10-24,76,62,0.30,0.0,0
2001-10-25,78,39,0.00,0.0,0
2001-10-26,61,37,0.00,0.0,0
2001-10-27,60,27,0.00,0.0,0
2001-10-28,55,32,0.00,0.0,0
2001-10-29,62,39,0.00,0.0,0
2001-10-30,72,40,0.00,0.0,0
2001-10-31,73,40,0.00,0.0,0
2001-11-01,73,40,0.00,0.0,0
2001-11-02,70,60,0.00,0.0,0
2001-11-03,72,54,0.15,0.0,0
2001-11-04,75,41,0.00,0.0,0
2001-11-05,71,44,0.00,0.0,0
2001-11-06,72,42,0.00,0.0,0
2001-11-07,72,42,0.00,0.0,0
2001-11-08,74,41,0.00,0.0,0
2001-11-09,71,31,0.00,0.0,0
2001-11-10,61,30,0.00,0.0,0
2001-11-11,69,38,0.00,0.0,0
2001-11-12,68,34,0.00,0.0,0
2001-11-13,66,34,0.00,0.0,0
2001-11-14,71,38,0.00,0.0,0
2001-11-15,71,43,0.00,0.0,0
2001-11-16,71,40,0.00,0.0,0
2001-11-17,73,41,0.00,0.0,0
2001-11-18,72,41,0.00,0.0,0
2001-11-19,73,49,0.40,0.0,0
2001-11-20,52,29,0.00,0.0,0
2001-11-21,53,26,0.00,0.0,0
2001-11-22,61,26,0.00,0.0,0
2001-11-23,63,M,2.05,0.0,0
2001-11-24,62,45,2.05,0.0,0
2001-11-25,57,42,0.00,0.0,0
2001-11-26,64,M,0.15,0.0,0
2001-11-27,55,32,0.15,0.0,0
2001-11-28,41,30,0.55,0.0,0
2001-11-29,33,30,0.42,0.0,0
2001-11-30,35,33,0.35,0.0,0
2001-12-01,53,31,0.00,0.0,0
2001-12-02,60,M,0.00,0.0,0
2001-12-03,67,41,0.00,0.0,0
2001-12-04,61,43,0.00,0.0,0
2001-12-05,73,53,0.00,0.0,0
2001-12-06,71,47,0.33,0.0,0
2001-12-07,60,35,0.00,0.0,0
2001-12-08,60,34,0.00,0.0,0
2001-12-09,48,22,0.00,0.0,0
2001-12-10,49,17,0.00,0.0,0
2001-12-11,52,18,0.00,0.0,0
