date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1999-05-11,66,50,0.00,M,M
1999-05-12,67,51,0.00,M,M
1999-05-13,63,57,0.00,M,M
1999-05-14,69,51,0.00,M,0
1999-05-15,66,51,0.00,M,M
1999-05-16,68,47,0.00,M,M
1999-05-17,69,46,0.00,M,M
1999-05-18,66,52,0.00,M,M
1999-05-19,67,56,0.00,M,M
1999-05-20,65,53,0.00,M,M
1999-05-21,64,57,0.00,M,M
1999-05-22,66,54,0.05,M,M
1999-05-23,67,49,0.01,M,M
1999-05-24,69,48,0.01,M,M
1999-05-25,65,59,0.00,M,M
1999-05-26,67,58,0.00,M,M
1999-05-27,69,59,0.00,M,M
1999-05-28,64,58,0.00,M,M
1999-05-29,66,59,0.00,M,M
1999-05-30,67,50,T,M,M
1999-05-31,70,52,0.00,M,0
1999-06-01,67,47,0.12,M,M
1999-06-02,64,54,0.12,M,M
1999-06-03,64,50,0.17,M,M
1999-06-04,64,49,T,M,M
1999-06-05,67,47,0.00,M,M
1999-06-06,67,50,0.00,M,M
1999-06-07,67,58,0.00,M,M
1999-06-08,67,59,0.00,M,M
1999-06-09,67,59,0.00,M,M
1999-06-10,68,56,0.00,M,M
1999-06-11,68,54,0.00,M,M
1999-06-12,69,57,0.00,M,M
1999-06-13,68,60,0.00,M,M
1999-06-14,71,59,0.00,M,M
1999-06-15,67,60,0.00,M,M
1999-06-16,69,59,0.00,M,M
1999-06-17,70,56,0.00,M,M
1999-06-18,69,57,0.00,M,M
1999-06-19,69,60,0.00,M,M
1999-06-20,68,59,0.00,M,M
1999-06-21,69,58,0.00,M,M
1999-06-22,69,52,0.00,M,M
1999-06-23,70,55,0.00,M,M
1999-06-24,71,57,0.00,M,M
1999-06-25,69,60,0.00,M,M
1999-06-26,70,56,0.00,M,M
1999-06-27,70,54,0.00,M,M
1999-06-28,69,58,0.00,M,M
1999-06-29,72,63,0.00,M,M
1999-06-30,72,62,0.00,M,M
1999-07-01,71,63,0.00,M,M
1999-07-02,68,62,0.00,M,M
1999-07-03,67,61,0.00,M,M
1999-07-04,72,58,0.00,M,M
1999-07-05,72,57,0.00,M,M
1999-07-06,71,61,0.00,M,M
1999-07-07,73,63,0.00,M,M
1999-07-08,80,65,T,M,M
1999-07-09,78,63,T,M,M
1999-07-10,77,60,0.00,M,M
1999-07-11,77,62,0.00,M,M
1999-07-12,81,66,0.10,M,M
1999-07-13,81,66,0.00,M,0
1999-07-14,77,65,T,M,M
1999-07-15,76,67,0.00,M,M
1999-07-16,76,62,0.00,M,M
1999-07-17,77,59,0.00,M,M
1999-07-18,73,65,0.00,M,M
1999-07-19,74,62,0.00,M,M
1999-07-20,75,57,0.00,M,M
1999-07-21,75,54,0.00,M,M
1999-07-29,M,M,0.00,M,0
1999-07-30,74,57,0.00,M,M
1999-07-31,73,56,0.00,M,M
1999-08-01,73,54,0.00,M,M
1999-08-03,M,M,0.00,M,0
1999-08-04,74,64,0.00,M,0
1999-08-05,71,63,0.00,M,M
1999-08-06,73,58,0.00,M,M
1999-08-07,73,56,0.00,M,M
1999-08-08,73,53,0.00,M,M
1999-08-09,72,51,0.00,M,M
1999-08-10,72,57,0.00,M,M
1999-08-11,73,58,0.00,M,M
1999-08-12,73,54,0.00,M,M
1999-08-13,72,62,0.00,M,M
1999-08-14,70,62,0.00,M,M
1999-08-15,72,58,0.00,M,M
1999-08-16,74,58,0.00,M,M
1999-08-17,74,54,T,M,M
1999-08-18,74,54,0.00,M,M
1999-08-19,71,54,0.00,M,M
1999-08-20,71,63,0.00,M,M
1999-08-21,70,61,0.00,M,M
1999-08-22,73,57,0.00,M,M
1999-08-23,72,55,0.00,M,M
1999-08-24,77,60,0.01,M,M
1999-08-25,78,57,0.00,M,M
1999-08-26,78,60,0.00,M,M
1999-08-27,75,60,0.00,M,M
1999-08-28,72,62,0.00,M,M
1999-08-29,74,61,0.00,M,M
1999-08-30,73,57,0.00,M,M
1999-08-31,74,62,0.00,M,M
1999-09-01,72,63,0.00,M,M
1999-09-02,71,53,0.00,M,M
1999-09-03,73,51,0.00,M,M
1999-09-04,72,59,0.00,M,M
1999-09-05,71,63,0.00,M,M
1999-09-06,72,64,0.00,M,M
1999-09-07,73,56,0.00,M,M
