date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1985-05-12,83,63,T,0.0,0
1985-05-13,82,62,M,0.0,M
1985-05-14,75,56,0.98,0.0,M
1985-05-15,84,45,M,0.0,M
1985-05-16,84,50,M,0.0,M
1985-05-17,80,56,M,0.0,M
1985-05-18,78,49,M,0.0,M
1985-05-19,79,50,M,0.0,M
1985-05-20,80,59,0.19,0.0,M
1985-05-21,M,59,1.19,0.0,M
1985-05-22,79,60,0.81,0.0,M
1985-05-23,79,56,M,0.0,M
1985-05-24,83,49,M,0.0,M
1985-05-25,85,54,M,0.0,M
1985-05-26,M,58,M,0.0,M
1985-05-27,82,62,0.40,0.0,M
1985-05-28,79,67,0.87,0.0,M
1985-05-29,84,68,M,0.0,M
1985-05-30,90,67,M,0.0,M
1985-05-31,92,66,M,0.0,M
1985-06-01,92,68,0.00,0.0,0
1985-06-02,M,64,0.00,0.0,0
1985-06-03,89,67,0.00,0.0,0
1985-06-04,89,70,0.00,0.0,0
1985-06-05,M,70,0.00,0.0,0
1985-06-06,81,66,1.76,0.0,0
1985-06-07,87,63,0.15,0.0,0
1985-06-08,90,61,0.00,0.0,0
1985-06-09,92,66,0.00,0.0,0
1985-06-10,M,68,0.00,0.0,0
1985-06-11,85,65,0.25,0.0,0
1985-06-12,M,58,0.00,0.0,0
1985-06-13,79,47,0.00,0.0,0
1985-06-14,83,52,0.00,0.0,0
1985-06-15,91,64,T,0.0,0
1985-06-16,94,66,0.00,0.0,0
1985-06-17,94,70,0.00,0.0,0
1985-06-18,93,64,1.90,0.0,0
1985-06-19,85,55,0.09,0.0,0
1985-06-20,84,54,0.00,0.0,0
1985-06-21,86,61,0.00,0.0,0
1985-06-22,M,M,S,0.0,0
1985-06-23,89,67,0.07A,0.0,0
1985-06-24,89,67,0.00,0.0,0
1985-06-25,90,65,0.00,0.0,0
1985-06-26,87,65,0.00,0.0,0
1985-06-27,83,65,0.00,0.0,0
1985-06-28,83,54,0.00,0.0,0
1985-06-29,88,52,0.00,0.0,0
1985-06-30,93,57,0.00,0.0,0
1985-07-01,91,61,0.00,0.0,0
1985-07-02,M,65,0.15,0.0,0
1985-07-03,82,65,0.50,0.0,0
1985-07-04,88,63,0.00,0.0,0
1985-07-05,90,66,0.00,0.0,0
1985-07-06,89,58,0.00,0.0,0
1985-07-07,90,61,0.00,0.0,0
1985-07-08,92,65,0.00,0.0,0
1985-07-09,94,65,0.00,0.0,0
1985-07-10,96,67,0.00,0.0,0
1985-07-11,96,67,0.00,0.0,0
1985-07-12,96,68,0.00,0.0,0
1985-07-13,96,67,0.00,0.0,0
1985-07-14,95,66,0.00,0.0,0
1985-07-15,98,66,0.00,0.0,0
1985-07-16,95,68,0.00,0.0,0
1985-07-17,90,68,0.31,0.0,0
1985-07-18,93,65,0.00,0.0,0
1985-07-19,96,63,0.00,0.0,0
1985-07-20,95,71,0.00,0.0,0
1985-07-21,M,M,0.13,0.0,0
1985-07-22,M,M,0.58,0.0,0
1985-07-23,M,M,S,0.0,0
1985-07-24,M,M,M,0.0,0
1985-07-25,M,M,M,0.0,0
1985-07-26,M,M,0.30A,0.0,0
1985-07-27,M,M,0.00,0.0,0
1985-07-28,M,M,0.00,0.0,0
1985-07-29,M,M,0.00,0.0,0
1985-07-30,M,M,0.00,0.0,0
1985-07-31,97,M,0.00,0.0,0
1985-08-01,99,69,0.00,0.0,0
1985-08-02,M,74,0.00,0.0,0
1985-08-03,91,71,0.00,0.0,0
1985-08-04,96,71,0.00,0.0,0
1985-08-05,98,70,1.20,0.0,0
1985-08-06,90,72,0.00,0.0,0
1985-08-07,98,73,0.00,0.0,0
1985-08-08,93,69,0.16,0.0,0
1985-08-09,95,71,0.00,0.0,0
1985-08-10,99,68,0.00,0.0,0
1985-08-11,99,69,0.00,0.0,0
1985-08-12,97,69,0.00,0.0,0
1985-08-13,93,69,0.00,0.0,0
1985-08-14,93,68,0.00,0.0,0
1985-08-15,90,71,0.83,0.0,0
1985-08-16,93,67,0.04,0.0,0
1985-08-17,99,69,0.00,0.0,0
1985-08-18,M,M,0.00,0.0,0
1985-08-19,100,70,T,0.0,0
1985-08-20,89,70,0.10,0.0,0
1985-08-21,94,71,0.00,0.0,0
1985-08-22,98,70,0.00,0.0,0
1985-08-23,101,68,0.00,0.0,0
1985-08-24,M,67,0.64,0.0,0
1985-08-25,M,62,0.00,0.0,0
1985-08-26,88,54,0.00,0.0,0
1985-08-27,91,59,0.00,0.0,0
1985-08-28,93,60,0.00,0.0,0
1985-08-29,94,62,0.00,0.0,0
1985-08-30,98,61,0.00,0.0,0
1985-08-31,104,63,0.00,0.0,0
1985-09-01,106,63,0.00,0.0,0
1985-09-02,103,65,0.00,0.0,0
1985-09-03,97,69,0.00,0.0,0
1985-09-04,101,70,0.00,0.0,0
1985-09-05,100,70,0.00,0.0,0
1985-09-06,96,74,T,0.0,0
1985-09-07,94,72,T,0.0,0
1985-09-08,100,68,0.20,0.0,0
1985-09-09,96,69,0.00,0.0,0
1985-09-10,91,65,0.31,0.0,0
1985-09-11,91,68,0.00,0.0,0
1985-09-12,82,69,0.91,0.0,0
1985-09-13,79,66,0.04,0.0,0
1985-09-14,78,61,0.00,0.0,0
1985-09-15,78,63,0.00,0.0,0
1985-09-16,82,59,0.00,0.0,0
1985-09-17,87,61,0.00,0.0,0
1985-09-18,89,71,0.00,0.0,0
1985-09-19,89,61,0.00,0.0,0
