date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1983-01-01,M,M,0.40,0.0,0
1983-01-02,M,M,0.50,0.0,0
1983-01-03,M,M,T,0.0,0
1983-01-04,M,M,0.00,0.0,0
1983-01-05,M,M,0.00,0.0,0
1983-01-06,M,M,0.00,0.0,0
1983-01-07,M,M,0.00,0.0,0
1983-01-08,M,M,T,0.0,0
1983-01-09,M,M,0.00,0.0,0
1983-01-10,M,M,0.00,0.0,0
1983-01-11,M,M,0.00,0.0,0
1983-01-12,M,M,0.00,0.0,0
1983-01-13,M,M,0.00,0.0,0
1983-01-14,M,M,0.00,0.0,0
1983-01-15,M,M,0.00,0.0,0
1983-01-16,M,M,0.00,0.0,0
1983-01-17,M,M,0.00,0.0,0
1983-01-18,M,M,0.00,0.0,0
1983-01-19,M,M,0.31,0.0,0
1983-01-20,M,M,0.07,0.0,0
1983-01-21,M,M,0.01,0.0,0
1983-01-22,M,M,0.04,0.0,0
1983-01-23,M,M,0.00,0.0,0
1983-01-24,M,M,0.00,0.0,0
1983-01-25,M,M,0.03,0.0,0
1983-01-26,M,M,0.00,0.0,0
1983-01-27,M,M,0.00,0.0,0
1983-01-28,M,M,0.00,0.0,0
1983-01-29,M,M,0.23,0.0,0
1983-01-30,M,M,0.00,0.0,0
1983-01-31,M,M,0.00,0.0,0
1983-02-01,M,M,0.73,0.0,0
1983-02-02,M,M,0.00,0.0,0
1983-02-03,M,M,0.00,0.0,0
1983-02-04,M,M,0.00,0.0,0
1983-02-05,M,M,0.36,0.0,0
1983-02-06,M,M,0.70,0.0,0
1983-02-07,M,M,0.00,0.0,0
1983-02-08,M,M,0.00,0.0,0
1983-02-09,M,M,0.10,0.0,0
1983-02-10,M,M,0.82,0.0,0
1983-02-11,M,M,0.02,0.0,0
1983-02-12,M,M,0.00,0.0,0
1983-02-13,M,M,0.00,0.0,0
1983-02-14,M,M,0.00,0.0,0
1983-02-15,M,M,0.00,0.0,0
1983-02-16,M,M,0.00,0.0,0
1983-02-17,M,M,0.00,0.0,0
1983-02-18,M,M,0.00,0.0,0
1983-02-19,M,M,0.00,0.0,0
1983-02-20,M,M,0.00,0.0,0
1983-02-21,M,M,1.20,0.0,0
1983-02-22,M,M,0.01,0.0,0
1983-02-23,M,M,0.01,0.0,0
1983-02-24,M,M,0.00,0.0,0
1983-02-25,M,M,0.00,0.0,0
1983-02-26,M,M,0.00,0.0,0
1983-02-27,M,M,0.00,0.0,0
1983-02-28,M,M,0.00,0.0,0
1983-03-01,M,M,0.00,0.0,0
1983-03-02,M,M,0.00,0.0,0
1983-03-03,M,M,0.00,0.0,0
1983-03-04,M,M,0.02,0.0,0
1983-03-05,M,M,0.78,0.0,0
1983-03-06,M,M,0.00,0.0,0
1983-03-07,M,M,0.00,0.0,0
1983-03-08,M,M,0.00,0.0,0
1983-03-09,M,M,0.00,0.0,0
1983-03-10,M,M,0.00,0.0,0
1983-03-11,M,M,0.00,0.0,0
1983-03-12,M,M,0.00,0.0,0
1983-03-13,M,M,0.00,0.0,0
1983-03-14,M,M,0.00,0.0,0
1983-03-15,M,M,0.00,0.0,0
1983-03-16,M,M,0.00,0.0,0
1983-03-17,M,M,0.01,0.0,0
1983-03-18,M,M,0.00,0.0,0
1983-03-19,M,M,0.00,0.0,0
1983-03-20,M,M,0.78,0.0,0
1983-03-21,M,M,0.00,0.0,0
1983-03-22,M,M,0.00,0.0,0
1983-03-23,M,M,0.25,0.0,0
1983-03-24,M,M,0.00,0.0,0
1983-03-25,M,M,1.92,0.0,0
1983-03-26,M,M,1.79,0.0,0
1983-03-27,M,M,0.00,0.0,0
1983-03-28,M,M,0.01,0.0,0
1983-03-29,M,M,0.00,0.0,0
1983-03-30,M,M,0.00,0.0,0
1983-03-31,M,M,0.00,0.0,0
1983-04-01,M,M,0.00,0.0,0
1983-04-02,M,M,0.00,0.0,0
1983-04-03,M,M,0.03,0.0,0
1983-04-04,M,M,0.00,0.0,0
1983-04-05,M,M,0.29,0.0,0
1983-04-06,M,M,0.01,0.0,0
1983-04-07,M,M,0.05,0.0,0
1983-04-08,M,M,0.02,0.0,0
1983-04-09,M,M,0.00,0.0,0
1983-04-10,M,M,0.00,0.0,0
1983-04-11,M,M,0.00,0.0,0
1983-04-12,M,M,0.00,0.0,0
1983-04-13,M,M,0.07,0.0,0
1983-04-14,M,M,0.00,0.0,0
1983-04-15,M,M,0.00,0.0,0
1983-04-16,M,M,0.00,0.0,0
1983-04-17,M,M,0.00,0.0,0
1983-04-18,M,M,0.00,0.0,0
1983-04-19,M,M,0.00,0.0,0
1983-04-20,M,M,0.00,0.0,0
1983-04-21,M,M,0.00,0.0,0
1983-04-22,M,M,0.00,0.0,0
1983-04-23,M,M,0.00,0.0,0
1983-04-24,M,M,0.00,0.0,0
1983-04-25,M,M,0.00,0.0,0
1983-04-26,M,M,0.00,0.0,0
1983-04-27,M,M,0.00,0.0,0
1983-04-28,M,M,0.00,0.0,0
1983-04-29,M,M,0.00,0.0,0
1983-04-30,M,M,0.00,0.0,0
1983-05-01,M,M,0.02,0.0,0
1983-05-02,M,M,0.00,0.0,0
1983-05-03,M,M,0.30,0.0,0
1983-05-04,M,M,0.00,0.0,0
1983-05-05,M,M,0.00,0.0,0
1983-05-06,M,M,0.00,0.0,0
1983-05-07,M,M,0.02,0.0,0
1983-05-08,M,M,0.00,0.0,0
1983-05-09,M,M,0.00,0.0,0
1983-05-10,M,M,0.06,0.0,0
1983-05-11,M,M,1.63,0.0,0
1983-05-12,M,M,0.60,0.0,0
1983-05-13,M,M,0.01,0.0,0
1983-05-14,M,M,0.14,0.0,0
1983-05-15,M,M,0.00,0.0,0
1983-05-16,M,M,0.38,0.0,0
1983-05-17,M,M,0.00,0.0,0
1983-05-18,M,M,0.09,0.0,0
1983-05-19,M,M,0.17,0.0,0
1983-05-20,M,M,1.83,0.0,0
1983-05-21,M,M,1.23,0.0,0
1983-05-22,M,M,0.02,0.0,0
1983-05-23,M,M,0.00,0.0,0
1983-05-24,M,M,0.00,0.0,0
1983-05-25,M,M,0.00,0.0,0
1983-05-26,M,M,0.00,0.0,0
1983-05-27,M,M,0.00,0.0,0
1983-05-28,M,M,0.00,0.0,0
1983-05-29,M,M,0.00,0.0,0
1983-05-30,M,M,0.00,0.0,0
1983-05-31,M,M,0.70,0.0,0
1983-06-01,M,M,0.02,0.0,0
1983-06-02,M,M,0.00,0.0,0
1983-06-03,M,M,0.00,0.0,0
1983-06-04,M,M,0.00,0.0,0
1983-06-05,M,M,0.00,0.0,0
1983-06-06,M,M,1.80,0.0,0
1983-06-07,M,M,0.47,0.0,0
1983-06-08,M,M,0.00,0.0,0
1983-06-09,M,M,0.00,0.0,0
1983-06-10,M,M,0.00,0.0,0
1983-06-11,M,M,0.00,0.0,0
1983-06-12,M,M,0.00,0.0,0
1983-06-13,M,M,0.00,0.0,0
1983-06-14,M,M,0.00,0.0,0
1983-06-15,M,M,0.00,0.0,0
1983-06-16,M,M,0.00,0.0,0
1983-06-17,M,M,0.14,0.0,0
1983-06-18,M,M,0.02,0.0,0
1983-06-19,M,M,0.00,0.0,0
