date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1972-01-01,81,66,0.12,0.0,0
1972-01-02,80,70,0.10,0.0,0
1972-01-03,84,71,0.00,0.0,0
1972-01-04,83,72,0.14,0.0,0
1972-01-05,80,66,0.08,0.0,0
1972-01-06,79,67,0.02,0.0,0
1972-01-07,85,70,0.00,0.0,0
1972-01-08,86,67,0.03,0.0,0
1972-01-09,85,72,0.00,0.0,0
1972-01-10,83,70,0.06,0.0,0
1972-01-11,83,69,0.06,0.0,0
1972-01-12,83,73,0.06,0.0,0
1972-01-13,83,71,0.33,0.0,0
1972-01-14,82,65,0.09,0.0,0
1972-01-15,81,68,0.75,0.0,0
1972-01-16,84,73,0.11,0.0,0
1972-01-17,83,70,0.03,0.0,0
1972-01-18,83,69,0.13,0.0,0
1972-01-19,84,69,0.03,0.0,0
1972-01-20,84,68,0.01,0.0,0
1972-01-21,83,66,T,0.0,0
1972-01-22,83,67,0.00,0.0,0
1972-01-23,83,67,0.04,0.0,0
1972-01-24,83,68,0.01,0.0,0
1972-01-25,85,69,0.07,0.0,0
1972-01-26,83,73,0.00,0.0,0
1972-01-27,84,64,0.02,0.0,0
1972-01-28,83,74,0.01,0.0,0
1972-01-29,82,68,0.39,0.0,0
1972-01-30,82,69,0.91,0.0,0
1972-01-31,82,68,0.00,0.0,0
1972-02-01,83,67,0.08,0.0,0
1972-02-02,83,68,0.00,0.0,0
1972-02-03,84,70,0.10,0.0,0
1972-02-04,84,72,0.10,0.0,0
1972-02-05,85,69,0.33,0.0,0
1972-02-06,80,70,0.37,0.0,0
1972-02-07,82,68,T,0.0,0
1972-02-08,83,69,0.00,0.0,0
1972-02-09,84,66,0.00,0.0,0
1972-02-10,83,70,0.00,0.0,0
1972-02-11,83,67,0.03,0.0,0
1972-02-12,85,66,0.04,0.0,0
1972-02-13,84,63,0.03,0.0,0
1972-02-14,81,67,0.05,0.0,0
1972-02-15,84,68,0.00,0.0,0
1972-02-16,85,66,0.02,0.0,0
1972-02-17,85,68,0.00,0.0,0
1972-02-18,83,65,0.00,0.0,0
1972-02-19,85,67,0.00,0.0,0
1972-02-20,85,65,0.00,0.0,0
1972-02-21,83,71,0.00,0.0,0
1972-02-22,88,69,0.45,0.0,0
1972-02-23,85,69,0.11,0.0,0
1972-02-24,86,70,0.05,0.0,0
1972-02-25,86,71,0.04,0.0,0
1972-02-26,85,70,0.49,0.0,0
1972-02-27,80,71,0.50,0.0,0
1972-02-28,84,71,T,0.0,0
1972-02-29,84,70,0.02,0.0,0
1972-03-01,83,70,0.65,0.0,0
1972-03-02,80,70,1.81,0.0,0
1972-03-03,81,74,0.13,0.0,0
1972-03-04,83,68,0.02,0.0,0
1972-03-05,82,69,0.08,0.0,0
1972-03-06,83,68,0.00,0.0,0
1972-03-07,83,67,0.00,0.0,0
1972-03-08,83,68,0.00,0.0,0
1972-03-09,84,69,0.03,0.0,0
1972-03-10,85,67,0.00,0.0,0
1972-03-11,86,65,0.00,0.0,0
1972-03-12,83,67,0.00,0.0,0
1972-03-13,83,66,0.81,0.0,0
1972-03-14,81,67,0.08,0.0,0
1972-03-15,81,66,0.00,0.0,0
1972-03-16,81,65,0.15,0.0,0
1972-03-17,82,64,0.00,0.0,0
1972-03-18,82,67,0.00,0.0,0
1972-03-19,84,67,0.07,0.0,0
1972-03-20,81,70,0.36,0.0,0
1972-03-21,82,69,0.00,0.0,0
1972-03-22,82,69,0.95,0.0,0
1972-03-23,83,70,0.03,0.0,0
1972-03-24,79,68,0.05,0.0,0
1972-03-25,84,68,0.02,0.0,0
1972-03-26,85,69,0.02,0.0,0
1972-03-27,85,70,0.00,0.0,0
1972-03-28,86,69,0.00,0.0,0
1972-03-29,86,69,0.01,0.0,0
1972-03-30,87,70,0.00,0.0,0
1972-03-31,87,71,0.00,0.0,0
1972-04-01,87,73,0.00,0.0,0
1972-04-02,86,74,0.00,0.0,0
1972-04-03,86,71,0.11,0.0,0
1972-04-04,85,68,0.01,0.0,0
1972-04-05,85,68,0.01,0.0,0
1972-04-06,86,68,T,0.0,0
1972-04-07,85,68,0.01,0.0,0
1972-04-08,87,70,0.00,0.0,0
1972-04-09,88,68,0.00,0.0,0
1972-04-10,88,69,0.14,0.0,0
1972-04-11,88,70,1.56,0.0,0
1972-04-12,83,71,0.50,0.0,0
1972-04-13,84,71,0.10,0.0,0
1972-04-14,84,72,0.00,0.0,0
1972-04-15,85,74,0.06,0.0,0
1972-04-16,85,73,0.00,0.0,0
1972-04-17,85,68,0.00,0.0,0
1972-04-18,85,69,0.00,0.0,0
1972-04-19,86,69,0.01,0.0,0
1972-04-20,85,69,0.00,0.0,0
1972-04-21,85,70,0.05,0.0,0
1972-04-22,86,68,0.00,0.0,0
1972-04-23,84,70,0.00,0.0,0
1972-04-24,84,72,0.11,0.0,0
1972-04-25,85,71,0.10,0.0,0
1972-04-26,85,70,0.04,0.0,0
1972-04-27,86,71,0.80,0.0,0
1972-04-28,86,70,0.00,0.0,0
1972-04-29,86,72,0.00,0.0,0
1972-04-30,85,70,0.00,0.0,0
1972-05-01,84,74,0.02,0.0,0
