date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2004-12-01,83,67,0.01,0.0,M
2004-12-02,76,67,0.42,0.0,0
2004-12-03,83,70,0.05,0.0,0
2004-12-04,84,70,0.00,0.0,0
2004-12-05,84,71,0.34,0.0,0
2004-12-06,83,71,0.10,0.0,0
2004-12-07,85,72,0.20,0.0,0
2004-12-08,85,71,0.65,0.0,0
2004-12-09,81,72,0.21,0.0,0
2004-12-10,84,72,0.14,0.0,0
2004-12-11,79,73,0.00,0.0,0
2004-12-12,89,74,0.00,0.0,0
2004-12-13,89,72,0.00,0.0,0
2004-12-14,89,72,0.34,0.0,0
2004-12-15,83,72,0.96,0.0,0
2004-12-16,84,71,0.01,0.0,0
2004-12-17,85,72,1.62,0.0,0
2004-12-18,85,72,0.00,0.0,0
2004-12-19,85,71,0.02,0.0,0
2004-12-20,84,71,0.04,0.0,0
2004-12-21,M,M,M,0.0,0
2004-12-22,M,M,M,0.0,0
2004-12-23,M,M,M,0.0,0
2004-12-24,M,M,M,0.0,0
2004-12-25,M,M,M,0.0,0
2004-12-26,M,M,M,0.0,0
2004-12-27,M,M,M,0.0,0
2004-12-28,M,M,M,0.0,0
2004-12-29,M,M,M,0.0,0
2004-12-30,M,M,M,0.0,0
2004-12-31,M,M,M,0.0,0
2005-01-01,83,72,0.28,0.0,0
2005-01-02,79,71,0.08,0.0,0
2005-01-03,80,67,0.04,0.0,0
2005-01-04,80,68,0.00,0.0,0
2005-01-05,82,71,0.04,0.0,0
2005-01-06,83,71,0.40,0.0,0
2005-01-07,81,72,0.39,0.0,0
2005-01-08,83,71,0.65,0.0,0
2005-01-09,80,72,0.30,0.0,0
2005-01-10,82,72,0.51,0.0,0
2005-01-11,82,72,0.13,0.0,0
2005-01-12,83,71,0.36,0.0,0
2005-01-13,82,72,0.59,0.0,0
2005-01-14,82,71,1.48,0.0,0
2005-01-15,82,72,0.32,0.0,0
2005-01-16,83,69,0.08,0.0,0
2005-01-17,83,67,0.32,0.0,0
2005-01-18,82,67,0.21,0.0,0
2005-01-19,82,70,0.53,0.0,0
2005-01-20,81,69,1.18,0.0,0
2005-01-21,75,67,0.32,0.0,0
2005-01-22,78,64,0.02,0.0,0
2005-01-23,79,63,0.00,0.0,0
2005-01-24,85,63,0.00,0.0,0
