date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1962-08-01,M,M,0.00,0.0,0
1962-08-02,M,M,0.00,0.0,0
1962-08-03,M,M,0.00,0.0,0
1962-08-04,M,M,0.00,0.0,0
1962-08-05,M,M,0.00,0.0,0
1962-08-06,M,M,0.00,0.0,0
1962-08-07,M,M,0.00,0.0,0
1962-08-08,96,67,0.01,0.0,0
1962-08-09,94,72,0.01,0.0,0
1962-08-10,100,66,0.00,0.0,0
1962-08-11,103,68,0.00,0.0,0
1962-08-12,104,67,0.00,0.0,0
1962-08-13,102,65,0.00,0.0,0
1962-08-14,106,68,0.00,0.0,0
1962-08-15,105,73,0.00,0.0,0
1962-08-16,107,73,0.00,0.0,0
1962-08-17,98,73,0.00,0.0,0
1962-08-18,94,69,0.00,0.0,0
1962-08-19,92,72,0.00,0.0,0
1962-08-20,98,66,0.01,0.0,0
1962-08-21,91,62,0.00,0.0,0
1962-08-22,90,58,0.24,0.0,0
1962-08-23,94,58,0.00,0.0,0
1962-08-24,90,59,0.00,0.0,0
1962-08-25,95,55,0.00,0.0,0
1962-08-26,98,56,0.00,0.0,0
1962-08-27,100,69,0.00,0.0,0
1962-08-28,99,63,0.00,0.0,0
1962-08-29,98,63,0.00,0.0,0
1962-08-30,94,58,0.00,0.0,0
1962-08-31,86,55,0.00,0.0,0
1962-09-01,98,57,0.00,0.0,0
1962-09-02,M,M,0.00,0.0,0
1962-09-03,96,52,0.00,0.0,0
1962-09-04,93,60,0.00,0.0,0
1962-09-05,94,61,0.00,0.0,0
1962-09-06,90,65,0.01,0.0,0
1962-09-07,94,52,0.00,0.0,0
1962-09-08,92,55,0.00,0.0,0
1962-09-09,M,M,0.00,0.0,0
1962-09-10,89,48,0.00,0.0,0
1962-09-11,92,57,0.00,0.0,0
1962-09-12,92,57,0.00,0.0,0
1962-09-13,92,62,0.00,0.0,0
1962-09-14,90,60,0.03,0.0,0
1962-09-15,96,M,0.00,0.0,0
1962-09-16,M,M,0.00,0.0,0
1962-09-17,96,63,0.00,0.0,0
1962-09-18,99,63,0.00,0.0,0
1962-09-19,93,67,0.00,0.0,0
1962-09-20,87,63,0.04,0.0,0
1962-09-21,86,58,0.01,0.0,0
1962-09-22,98,50,0.00,0.0,0
1962-09-23,M,M,0.00,0.0,0
1962-09-24,85,55,0.00,0.0,0
1962-09-25,85,56,0.00,0.0,0
1962-09-26,82,54,0.00,0.0,0
1962-09-27,78,57,0.16,0.0,0
1962-09-28,74,57,0.20,0.0,0
1962-09-29,80,54,0.00,0.0,0
1962-09-30,81,51,0.00,0.0,0
1962-10-01,78,51,0.00,0.0,0
1962-10-02,78,47,0.00,0.0,0
1962-10-03,83,48,0.00,0.0,0
1962-10-04,86,52,0.00,0.0,0
1962-10-05,81,52,0.00,0.0,0
1962-10-06,83,46,0.00,0.0,0
1962-10-07,83,45,0.00,0.0,0
1962-10-08,78,45,0.00,0.0,0
1962-10-09,81,48,0.00,0.0,0
1962-10-10,80,52,0.00,0.0,0
1962-10-11,79,45,0.00,0.0,0
1962-10-12,79,49,0.00,0.0,0
1962-10-13,M,M,0.00,0.0,0
1962-10-14,84,47,0.00,0.0,0
