date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1893-01-01,47,12,M,M,M
1893-01-02,48,11,M,M,M
1893-01-03,58,15,M,M,M
1893-01-04,57,8,M,M,M
1893-01-05,54,11,M,M,M
1893-01-06,56,6,M,M,M
1893-01-07,53,1,M,M,M
1893-01-08,53,1,M,M,M
1893-01-09,57,8,M,M,M
1893-01-10,56,12,M,M,M
1893-01-11,30,-0,M,M,M
1893-01-12,44,5,M,M,M
1893-01-13,46,9,M,M,M
1893-01-14,41,25,M,M,M
1893-01-15,45,20,M,0.2,M
1893-01-16,42,17,M,0.2,M
1893-01-17,35,-6,M,M,M
1893-01-18,31,-4,M,M,M
1893-01-19,33,M,M,M,M
1893-01-20,33,M,M,M,M
1893-01-21,37,-3,M,M,M
1893-01-22,39,-0,M,M,M
1893-01-23,40,3,M,M,M
1893-01-24,46,11,M,M,M
1893-01-25,47,14,M,M,M
1893-01-26,46,30,M,T,M
1893-01-27,45,25,M,0.1,M
1893-01-28,39,13,M,M,M
1893-01-29,40,16,M,M,M
1893-01-30,46,34,M,T,M
1893-01-31,54,22,M,T,M
1893-02-01,40,17,M,1.0,M
1893-02-02,33,7,M,M,M
1893-02-03,43,17,M,M,M
1893-02-04,44,29,M,M,M
1893-02-05,45,6,M,0.8,M
1893-02-06,33,1,M,M,M
1893-02-07,37,22,M,M,M
1893-02-08,44,26,M,2.0,M
1893-02-09,50,4,M,4.0,M
1893-02-10,55,22,M,T,M
1893-02-11,42,10,M,M,M
1893-02-12,48,11,M,T,M
1893-02-13,20,-6,M,M,M
1893-02-14,26,-13,M,M,M
1893-02-15,29,-1,M,M,M
1893-02-16,46,4,M,M,M
1893-02-17,43,-2,M,M,M
1893-02-18,46,3,M,M,M
1893-02-19,48,18,M,M,M
1893-02-20,39,7,M,M,M
1893-02-21,44,25,M,M,M
1893-02-22,34,1,M,M,M
1893-02-23,36,13,M,T,M
1893-02-24,28,-1,M,M,M
1893-02-25,38,16,M,M,M
1893-02-26,44,-0,M,3.5,M
1893-02-27,31,-5,M,M,M
1893-02-28,34,2,M,M,M
1893-03-01,42,11,M,M,M
1893-03-02,48,13,M,M,M
1893-03-03,48,13,M,M,M
1893-03-04,48,25,M,M,M
1893-03-05,49,28,M,M,3
1893-03-06,55,20,M,M,2
1893-03-07,46,11,M,M,M
1893-03-08,48,22,M,M,1
1893-03-09,40,13,M,M,M
1893-03-10,27,8,M,M,M
1893-03-11,47,18,M,M,T
1893-03-12,27,2,M,M,M
1893-03-13,27,7,M,M,M
1893-03-14,37,8,M,M,M
1893-03-15,35,10,M,M,1
1893-03-16,40,6,M,M,M
1893-03-17,42,24,M,M,M
1893-03-18,49,26,M,M,M
1893-03-19,51,26,M,M,M
1893-03-20,52,33,M,M,M
1893-03-21,45,26,M,M,M
1893-03-22,35,24,M,M,M
1893-03-23,39,23,M,M,M
1893-03-24,49,28,M,M,M
1893-03-25,41,20,M,M,M
1893-03-26,52,29,M,M,M
1893-03-27,55,24,M,M,M
1893-03-28,62,25,M,M,M
1893-03-29,66,33,M,M,M
1893-03-30,72,44,M,M,M
1893-03-31,60,32,M,M,M
1893-04-01,60,27,M,M,M
1893-04-02,65,32,M,M,M
1893-04-03,65,38,M,M,M
1893-04-04,64,31,M,M,M
1893-04-05,64,35,M,M,M
1893-04-06,56,23,M,M,M
1893-04-07,44,17,M,M,M
1893-04-08,48,23,M,M,M
1893-04-09,51,33,M,M,M
1893-04-10,42,20,M,M,M
1893-04-11,41,21,M,M,M
1893-04-12,44,22,M,M,M
1893-04-13,57,13,M,M,M
1893-04-14,51,15,M,M,M
1893-04-15,56,18,M,M,M
1893-04-16,61,21,M,M,M
1893-04-17,65,19,M,M,M
1893-04-18,41,26,M,M,M
1893-04-19,65,27,M,M,M
1893-04-20,66,28,M,M,M
1893-04-21,61,32,M,M,M
1893-04-22,70,31,M,M,M
1893-04-23,63,21,M,M,M
1893-04-24,60,25,M,M,M
1893-04-25,46,23,M,M,M
1893-04-26,60,27,M,M,M
1893-04-27,65,34,M,M,M
1893-04-28,65,28,M,M,M
1893-04-29,42,20,M,M,M
1893-04-30,57,30,M,M,M
1893-05-01,55,23,0.00,M,M
1893-05-02,59,31,0.00,M,M
1893-05-03,65,28,0.00,M,M
1893-05-04,64,36,0.00,M,M
1893-05-05,60,31,0.00,M,M
1893-05-06,49,30,0.00,M,M
1893-05-07,66,28,0.00,M,M
1893-05-08,69,32,0.00,M,M
1893-05-09,70,33,0.00,M,M
1893-05-10,68,25,0.00,M,M
1893-05-11,72,34,0.00,M,M
1893-05-12,74,48,0.00,M,M
1893-05-13,75,40,0.00,M,M
1893-05-14,83,41,0.00,M,M
1893-05-15,83,44,0.00,M,M
1893-05-16,80,42,0.00,M,M
1893-05-17,80,M,0.00,M,M
1893-05-18,M,24,M,T,M
1893-05-19,66,33,0.00,M,M
1893-05-20,71,36,0.00,M,M
1893-05-21,46,25,0.00,M,M
1893-05-22,66,30,0.00,M,M
1893-05-23,70,35,0.00,M,M
1893-05-24,73,37,M,T,M
1893-05-25,57,26,0.00,M,M
1893-05-26,63,26,0.00,M,M
1893-05-27,67,30,0.00,M,M
1893-05-28,70,34,0.00,M,M
1893-05-29,76,40,0.00,M,M
1893-05-30,70,34,0.00,M,M
1893-05-31,78,44,0.00,M,M
1893-06-01,64,40,0.00,M,M
1893-06-02,75,41,0.00,M,M
1893-06-03,62,28,0.00,M,M
1893-06-04,62,20,0.00,M,M
1893-06-05,78,40,0.00,M,M
1893-06-06,80,42,0.00,M,M
1893-06-07,88,40,0.00,M,M
1893-06-08,87,41,0.00,M,M
1893-06-09,86,43,0.00,M,M
1893-06-10,89,43,0.00,M,M
1893-06-11,85,43,0.00,M,M
1893-06-12,83,36,0.00,M,M
1893-06-13,75,41,0.00,M,M
1893-06-14,72,32,0.00,M,M
1893-06-15,83,40,0.00,M,M
1893-06-16,80,44,0.00,M,M
1893-06-17,89,40,0.00,M,M
1893-06-18,82,41,0.00,M,M
1893-06-19,85,41,0.00,M,M
1893-06-20,85,36,0.00,M,M
1893-06-21,84,42,0.00,M,M
1893-06-22,83,47,0.00,M,M
1893-06-23,80,30,0.00,M,M
1893-06-24,83,45,0.00,M,M
1893-06-25,85,44,0.00,M,M
1893-06-26,86,42,0.00,M,M
1893-06-27,86,41,0.00,M,M
1893-06-28,84,38,0.00,M,M
1893-06-29,84,39,0.00,M,M
1893-06-30,88,42,0.00,M,M
1893-07-01,90,41,M,M,M
1893-07-02,89,47,M,M,M
1893-07-03,80,47,M,M,M
1893-07-04,88,50,M,M,M
1893-07-05,87,43,M,M,M
1893-07-06,84,43,M,M,M
1893-07-07,84,46,M,M,M
