date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2018-08-01,M,M,M,0.0,0
2018-08-02,M,M,M,0.0,0
2018-08-03,M,M,M,0.0,0
2018-08-04,M,M,M,0.0,0
2018-08-05,M,M,M,0.0,0
2018-08-06,80,37,0.00,0.0,0
2018-08-07,80,38,0.00,0.0,0
2018-08-08,84,M,0.00,0.0,0
2018-08-09,84,M,0.00,0.0,0
2018-08-10,87,M,0.00,0.0,0
2018-08-11,89,M,0.00,0.0,0
2018-08-12,90,M,0.00,0.0,0
2018-08-13,90,M,0.00,0.0,0
2018-08-14,85,47,T,0.0,0
2018-08-15,86,40,T,0.0,0
2018-08-16,86,40,T,0.0,0
2018-08-17,82,44,0.00,0.0,0
2018-08-18,86,40,0.07,0.0,0
2018-08-19,86,35,T,0.0,0
2018-08-20,76,36,0.00,0.0,0
2018-08-21,80,36,0.18,0.0,0
2018-08-22,80,36,T,0.0,0
2018-08-23,71,44,0.55,0.0,0
2018-08-24,74,35,0.00,0.0,0
2018-08-25,81,36,0.04,0.0,0
2018-08-26,74,40,0.00,0.0,0
2018-08-27,78,42,0.00,0.0,0
2018-08-28,68,29,0.00,0.0,0
2018-08-29,72,26,0.00,0.0,0
2018-08-30,80,27,0.00,0.0,0
2018-08-31,81,41,0.00,0.0,0
2018-09-01,79,30,0.00,0.0,0
2018-09-02,78,31,0.00,0.0,0
2018-09-03,80,30,0.00,0.0,0
2018-09-04,82,32,0.00,0.0,0
2018-09-05,82,31,0.00,0.0,0
2018-09-06,81,38,0.00,0.0,0
2018-09-07,83,39,0.00,0.0,0
2018-09-08,82,34,T,0.0,0
2018-09-09,77,35,0.02,0.0,0
2018-09-10,81,31,0.00,0.0,0
2018-09-11,85,31,0.00,0.0,0
2018-09-12,85,M,0.00,0.0,0
2018-09-13,81,32,0.00,0.0,0
2018-09-14,M,25,0.00,0.0,0
2018-09-15,M,25,0.00,0.0,0
2018-09-16,84,33,0.00,0.0,0
2018-09-17,84,33,0.00,0.0,0
2018-09-18,81,34,0.00,0.0,0
2018-09-19,82,27,0.00,0.0,0
2018-09-20,81,23,0.00,0.0,0
2018-09-21,67,17,0.00,0.0,0
2018-09-22,76,17,0.00,0.0,0
2018-09-23,79,M,0.00,0.0,0
2018-09-24,77,28,0.00,0.0,0
2018-09-25,67,15,0.00,0.0,0
2018-09-26,67,15,0.00,0.0,0
2018-09-27,69,M,0.00,0.0,0
2018-09-28,74,M,0.00,0.0,0
2018-09-29,77,32,0.00,0.0,0
2018-09-30,79,38,0.00,0.0,0
2018-10-01,79,27,0.00,0.0,0
2018-10-02,71,27,0.00,0.0,0
2018-10-03,78,42,0.28,0.0,0
2018-10-04,M,42,0.10,0.0,0
2018-10-05,61,38,0.10,0.0,0
2018-10-06,M,22,0.00,0.0,0
2018-10-07,M,M,0.25,0.0,0
2018-10-08,40,32,0.35,T,0
2018-10-09,35,18,0.25,3.0,3
2018-10-10,43,25,0.20,2.0,2
2018-10-11,42,15,0.20,3.0,2
2018-10-12,47,15,0.00,0.0,0
2018-10-13,55,15,0.00,0.0,0
2018-10-14,57,17,0.10,2.0,2
2018-10-15,32,9,0.00,0.0,1
2018-10-16,47,12,0.00,0.0,0
2018-10-17,51,13,0.00,0.0,0
2018-10-18,M,M,0.00,0.0,0
2018-10-19,58,19,0.00,0.0,0
2018-10-20,62,19,0.00,0.0,0
2018-10-21,64,22,0.00,0.0,0
2018-10-22,65,22,0.00,0.0,0
2018-10-23,63,25,0.04,0.0,0
2018-10-24,62,25,0.00,0.0,0
2018-10-25,62,24,T,0.0,0
2018-10-26,M,M,0.00,0.0,0
2018-10-27,60,27,0.00,0.0,0
2018-10-28,67,26,0.00,0.0,0
2018-10-29,70,24,0.00,0.0,0
2018-10-30,70,9,0.00,0.0,0
2018-10-31,46,6,0.00,0.0,0
2018-11-01,46,7,0.00,0.0,0
2018-11-02,50,6,0.00,0.0,0
2018-11-03,56,27,0.00,0.0,0
2018-11-04,56,23,0.00,0.0,0
2018-11-05,45,28,T,0.0,0
2018-11-06,56,10,0.00,0.0,0
2018-11-07,56,10,T,T,T
2018-11-08,42,3,0.00,0.0,0
2018-11-09,42,1,0.00,0.0,0
2018-11-10,46,2,0.00,0.0,0
2018-11-11,47,7,0.02,1.0,1
2018-11-12,47,-1,T,T,T
2018-11-13,32,5,0.00,0.0,0
2018-11-14,47,5,0.00,0.0,0
2018-11-15,57,5,0.00,0.0,0
2018-11-16,53,14,0.00,0.0,0
2018-11-17,54,14,T,T,T
2018-11-18,31,-4,0.05,2.0,1
2018-11-19,42,-4,0.00,0.0,0
2018-11-20,50,3,0.00,0.0,0
2018-11-21,47,-1,0.00,0.0,0
2018-11-22,49,-2,0.00,0.0,0
2018-11-23,36,21,0.00,0.0,0
2018-11-24,44,23,0.06,0.6,M
2018-11-25,44,5,0.00,0.0,M
2018-11-26,31,-0,0.00,0.0,M
2018-11-27,39,4,0.00,0.0,M
2018-11-28,40,21,T,T,1
2018-11-29,40,2,0.40,6.0,6
2018-11-30,41,3,0.02,1.5,7
2018-12-01,34,14,T,T,7
2018-12-02,34,-2,0.00,0.0,7
2018-12-03,16,9,0.02,1.0,8
2018-12-04,22,-4,0.00,0.0,7
2018-12-05,21,-17,0.00,0.0,7
2018-12-06,M,M,0.02,0.2,8
2018-12-07,22,3,0.00,0.0,8
2018-12-08,26,7,0.00,0.0,7
2018-12-09,35,-2,0.00,0.0,7
2018-12-10,30,-13,0.00,0.0,7
2018-12-11,30,-12,0.00,0.0,7
2018-12-12,29,5,0.00,0.0,7
2018-12-13,32,-0,T,T,7
2018-12-14,32,-6,0.00,0.0,7
2018-12-15,20,-6,0.00,0.0,7
2018-12-16,36,M,0.00,0.0,7
2018-12-17,29,-5,0.00,0.0,7
2018-12-18,32,-5,0.00,0.0,6
2018-12-19,38,M,0.00,0.0,5
2018-12-20,34,5,T,T,4
2018-12-21,35,3,0.00,0.0,4
2018-12-22,38,3,0.15,4.0,8
2018-12-23,37,-6,0.00,0.0,8
2018-12-24,37,-6,0.03,0.3,8
2018-12-25,32,4,T,0.1,8
2018-12-26,28,10,M,3.0,11
2018-12-27,28,-3,0.00,0.0,10
2018-12-28,15,-6,0.02,1.0,11
2018-12-29,12,-12,0.00,0.0,10
2018-12-30,25,M,0.00,0.0,10
2018-12-31,31,-3,0.02,2.0,11
2019-01-01,10,-30,0.00,0.0,11
2019-01-02,6,-28,0.00,0.0,11
2019-01-03,23,-5,0.00,0.0,10
2019-01-04,38,-3,0.00,0.0,10
2019-01-05,38,-9,0.00,0.0,9
2019-01-06,18,-4,0.00,0.0,9
2019-01-07,32,-1,T,T,9
2019-01-08,32,10,0.09,2.0,11
2019-01-10,29,-2,0.00,0.0,11
2019-01-11,30,-2,0.01,0.5,11
2019-01-12,37,-9,T,T,11
2019-01-13,37,-12,T,T,11
2019-01-14,8,-28,T,T,11
