date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1916-04-01,M,33,M,M,M
1916-04-02,65,39,M,M,M
1916-04-03,59,39,M,M,M
1916-04-04,61,32,M,M,M
1916-04-05,62,37,M,M,M
1916-04-06,49,28,M,M,M
1916-04-07,50,28,M,M,M
1916-04-08,57,27,M,M,M
1916-04-09,67,35,M,M,M
1916-04-10,71,40,M,M,M
1916-04-11,81,45,M,M,M
1916-04-12,64,39,M,M,M
1916-04-13,56,31,M,M,M
1916-04-14,59,30,M,M,M
1916-04-15,67,38,M,M,M
1916-04-16,66,38,M,M,M
1916-04-17,75,45,M,M,M
1916-04-18,77,42,M,M,M
1916-04-19,50,29,T,T,T
1916-04-20,41,27,M,M,M
1916-04-21,59,36,M,M,M
1916-04-22,66,38,M,M,M
1916-04-23,71,36,M,M,M
1916-04-24,75,42,M,M,M
1916-04-25,83,45,M,M,M
1916-04-26,82,45,M,M,M
1916-04-27,83,43,M,M,M
1916-04-28,85,46,M,M,M
1916-04-29,77,40,M,M,M
1916-04-30,52,32,M,T,T
1916-05-01,M,29,M,M,M
1916-05-02,67,38,M,M,M
1916-05-03,64,32,M,M,M
1916-05-04,76,44,M,M,M
1916-05-05,83,49,M,M,M
1916-05-06,84,49,M,M,M
1916-05-07,87,47,M,M,M
1916-05-08,66,38,M,M,M
1916-05-09,85,54,M,M,M
1916-05-10,79,29,M,M,M
1916-05-11,61,33,M,M,M
1916-05-12,60,29,M,M,M
1916-05-13,63,30,M,M,M
1916-05-14,57,30,M,M,M
1916-05-15,51,30,M,M,M
1916-05-16,62,33,M,M,M
1916-05-17,72,42,M,M,M
1916-05-18,76,43,M,M,M
1916-05-19,76,48,M,M,M
1916-05-20,68,43,T,M,M
1916-05-21,61,44,M,M,M
1916-12-01,M,M,0.00,0.0,M
1916-12-02,M,M,0.00,0.0,M
1916-12-03,M,M,0.00,0.0,M
1916-12-04,M,M,0.00,0.0,M
1916-12-05,M,M,0.00,0.0,M
1916-12-06,M,M,0.00,0.0,M
1916-12-07,M,M,0.00,0.0,M
1916-12-08,M,M,0.00,0.0,M
1916-12-09,M,M,0.00,0.0,M
1916-12-10,M,M,0.00,0.0,M
1916-12-11,M,M,0.00,0.0,M
1916-12-12,M,M,0.00,0.0,M
1916-12-13,M,M,M,8.5,M
1916-12-14,M,M,0.00,0.0,M
1916-12-15,44,-5,1.80,0.0,9
1916-12-16,40,-2,0.00,0.0,M
1916-12-17,33,19,0.00,0.0,M
1916-12-18,40,5,0.00,0.0,M
1916-12-19,37,22,0.00,0.0,M
1916-12-20,35,23,0.00,8.0,16
1916-12-21,32,18,1.10,0.0,M
1916-12-22,36,23,0.30,4.0,20
1916-12-23,36,22,0.00,0.0,M
1916-12-24,36,30,0.00,0.0,M
1916-12-25,39,24,0.00,0.0,M
1916-12-26,25,11,0.00,6.0,M
1916-12-27,21,-10,1.46,0.0,M
1916-12-28,16,-18,0.00,0.0,16
1916-12-29,16,-11,0.00,0.0,M
1916-12-30,24,-10,0.00,0.0,M
1916-12-31,15,-4,0.00,0.0,16
1917-01-01,M,5,0.00,0.0,M
1917-01-02,31,7,0.00,0.0,M
1917-01-03,34,25,0.00,0.0,M
1917-01-04,33,20,0.11,2.0,M
1917-01-05,33,-0,0.00,0.0,M
1917-01-06,31,3,0.00,0.0,M
1917-01-07,32,-5,0.00,0.0,M
1917-01-08,23,-7,0.00,0.0,M
1917-01-09,21,-4,0.00,0.0,M
1917-01-10,23,-2,0.00,0.0,M
1917-01-11,25,-0,0.00,0.0,M
1917-01-12,28,-3,0.00,0.0,M
1917-01-13,24,-8,0.00,0.0,M
1917-01-14,22,-0,0.00,0.0,M
1917-01-15,20,-12,0.00,0.0,M
1917-01-16,16,-14,0.00,0.0,M
1917-01-17,16,-10,0.00,0.0,M
1917-01-18,16,-16,0.00,0.0,M
1917-01-19,15,-10,0.00,0.0,M
1917-01-20,19,3,M,8.0,M
1917-01-21,21,-0,M,2.0,18
1917-01-22,29,-12,M,2.0,M
1917-01-23,23,10,M,6.0,M
1917-01-24,27,5,1.00,5.0,M
1917-01-25,29,13,0.00,0.0,M
1917-01-26,33,10,0.00,0.0,M
1917-01-27,35,3,0.00,0.0,M
1917-01-28,41,13,0.00,0.0,M
1917-01-29,41,35,0.00,0.0,26
1917-01-30,42,36,0.00,0.0,M
1917-01-31,39,-8,0.00,0.0,M
1917-02-01,M,-17,0.00,0.0,0
1917-02-02,18,10,0.00,0.0,0
1917-02-03,25,8,0.00,0.0,0
1917-02-04,35,5,0.00,0.0,0
1917-02-05,35,5,0.00,0.0,0
1917-02-06,35,22,0.00,0.0,0
1917-02-07,32,8,0.00,0.0,0
