date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1915-07-03,M,M,0.41,M,M
1915-08-01,M,M,0.00,M,M
1915-08-02,M,M,0.00,M,M
1915-08-03,M,M,0.00,M,M
1915-08-04,M,M,0.00,M,M
1915-08-05,M,M,0.00,M,M
1915-08-06,M,M,0.00,M,M
1915-08-07,M,M,0.44,M,M
1915-08-08,M,M,0.00,M,M
1915-08-09,M,M,0.00,M,M
1915-08-10,M,M,0.00,M,M
1915-08-11,M,M,0.00,M,M
1915-08-12,M,M,0.00,M,M
1915-08-13,M,M,0.00,M,M
1915-08-14,M,M,0.00,M,M
1915-08-15,M,M,0.00,M,M
1915-08-16,M,M,0.00,M,M
1915-08-17,M,M,0.00,M,M
1915-08-18,M,M,0.00,M,M
1915-08-19,M,M,0.00,M,M
1915-08-20,M,M,0.00,M,M
1915-08-21,M,M,0.00,M,M
1915-08-22,M,M,0.00,M,M
1915-08-23,M,M,0.00,M,M
1915-08-24,M,M,0.06,M,M
1915-08-25,M,M,0.00,M,M
1915-08-26,M,M,0.00,M,M
1915-08-27,M,M,0.00,M,M
1915-08-28,M,M,0.00,M,M
1915-08-29,M,M,0.00,M,M
1915-08-30,M,M,0.00,M,M
1915-08-31,M,M,0.00,M,M
1915-09-03,M,M,0.06,M,M
1915-09-04,M,M,0.76,M,M
1915-09-05,M,M,0.15,M,M
1915-09-07,M,M,0.08,M,M
1915-09-10,M,M,1.90,M,M
1915-09-11,M,M,0.74,M,M
1915-09-25,M,M,1.37,M,M
1915-09-26,M,M,T,M,M
1915-09-27,M,M,0.09,M,M
1915-10-04,M,M,1.05,M,M
1915-10-05,M,M,T,M,M
1915-10-08,M,M,T,M,M
1915-10-14,M,M,T,M,M
1915-11-07,M,M,1.04,M,M
1915-11-09,M,M,0.69,M,M
1915-11-14,M,M,0.64,M,M
1915-11-16,M,M,0.82,M,M
1915-11-22,M,M,0.32,M,M
1915-12-15,M,M,1.34,M,30
1915-12-22,M,M,0.24,M,32
1915-12-30,M,M,2.42,M,42
1916-01-14,M,M,3.84,7.7,54
1916-01-31,M,M,5.84,9.7,82
1916-02-12,M,M,M,7.1,86
1916-02-23,M,M,0.34,4.2,83
1916-02-29,M,M,2.64,6.5,86
1916-03-01,M,M,0.00,M,M
1916-03-02,M,M,0.00,M,M
1916-03-03,M,M,0.00,M,M
1916-03-04,M,M,0.00,M,M
1916-03-05,M,M,0.00,M,M
1916-03-06,M,M,0.00,M,M
1916-03-07,M,M,0.00,M,M
1916-03-08,M,M,0.00,M,M
1916-03-09,M,M,0.00,M,M
1916-03-10,M,M,2.23,6.1,90
1916-03-11,M,M,0.00,M,M
1916-03-12,M,M,0.00,M,M
1916-03-13,M,M,0.00,M,M
1916-03-14,M,M,0.00,M,M
1916-03-15,M,M,0.00,M,M
1916-03-16,M,M,0.00,M,M
1916-03-17,M,M,0.00,M,M
1916-03-18,M,M,0.00,M,M
1916-03-19,M,M,0.00,M,M
1916-03-20,M,M,0.00,M,M
1916-03-21,M,M,0.00,M,M
1916-03-22,M,M,3.37,7.2,84
1916-03-23,M,M,0.00,M,M
1916-03-24,M,M,0.00,M,M
1916-03-25,M,M,0.00,M,M
1916-03-26,M,M,0.00,M,M
1916-03-27,M,M,0.00,M,M
1916-03-28,M,M,0.00,M,M
1916-03-29,M,M,0.00,M,M
1916-03-30,M,M,0.00,M,M
1916-03-31,M,M,1.13,5.0,80
1916-04-01,M,M,0.00,M,M
1916-04-02,M,M,0.00,M,M
1916-04-03,M,M,0.00,M,M
1916-04-04,M,M,0.00,M,M
1916-04-05,M,M,0.00,M,M
1916-04-06,M,M,0.00,M,M
1916-04-07,M,M,0.00,M,M
1916-04-08,M,M,0.00,M,M
1916-04-09,M,M,0.00,M,M
1916-04-10,M,M,0.00,M,M
1916-04-11,M,M,0.00,M,M
1916-04-12,M,M,0.00,M,M
1916-04-13,M,M,0.00,M,M
1916-04-14,M,M,0.00,M,M
1916-04-15,M,M,0.00,M,M
1916-04-16,M,M,0.00,M,M
1916-04-17,M,M,0.00,M,M
1916-04-18,M,M,0.00,M,M
1916-04-19,M,M,0.00,M,M
1916-04-20,M,M,0.00,M,M
1916-04-21,M,M,M,M,78
1916-04-22,M,M,0.00,M,M
1916-04-23,M,M,0.00,M,M
1916-04-24,M,M,0.00,M,M
1916-04-25,M,M,0.00,M,M
1916-04-26,M,M,0.00,M,M
1916-04-27,M,M,0.00,M,M
1916-04-28,M,M,0.00,M,M
1916-04-29,M,M,0.00,M,M
1916-04-30,M,M,0.06,M,70
1916-05-01,M,M,0.00,M,M
1916-05-02,M,M,0.00,M,M
1916-05-03,M,M,0.00,M,M
1916-05-04,M,M,0.00,M,M
1916-05-05,M,M,0.00,M,M
1916-05-06,M,M,0.00,M,M
1916-05-07,M,M,0.00,M,M
1916-05-08,M,M,0.00,M,M
1916-05-09,M,M,0.00,M,M
1916-05-10,M,M,0.00,M,M
1916-05-11,M,M,0.00,M,M
1916-05-12,M,M,0.00,M,M
1916-05-13,M,M,0.00,M,M
1916-05-14,M,M,0.00,M,M
1916-05-15,M,M,0.00,M,M
1916-05-16,M,M,0.00,M,M
1916-05-17,M,M,0.00,M,M
1916-05-18,M,M,0.00,M,M
1916-05-19,M,M,0.00,M,M
1916-05-20,M,M,0.00,M,M
1916-05-21,M,M,0.25,M,181
1916-05-22,M,M,0.00,M,M
1916-05-23,M,M,0.00,M,M
1916-05-24,M,M,0.00,M,M
1916-05-25,M,M,0.00,M,M
1916-05-26,M,M,0.00,M,M
1916-05-27,M,M,0.00,M,M
1916-05-28,M,M,0.00,M,M
1916-05-29,M,M,0.00,M,M
1916-05-30,M,M,0.00,M,M
1916-05-31,M,M,0.00,M,M
1916-06-01,M,M,0.00,0.0,M
1916-06-02,M,M,0.00,0.0,M
1916-06-03,M,M,0.00,0.0,M
1916-06-04,M,M,0.00,0.0,M
1916-06-05,M,M,0.00,0.0,M
1916-06-06,M,M,0.00,0.0,M
1916-06-07,M,M,0.00,0.0,M
1916-06-08,M,M,0.00,0.0,M
1916-06-09,M,M,0.00,0.0,M
1916-06-10,M,M,0.00,0.0,M
1916-06-11,M,M,0.00,0.0,M
1916-06-12,M,M,0.00,0.0,M
1916-06-13,M,M,0.00,0.0,M
1916-06-14,M,M,0.00,0.0,M
1916-06-15,M,M,0.00,0.0,M
1916-06-16,M,M,0.00,0.0,M
1916-06-17,M,M,0.00,0.0,M
1916-06-18,M,M,0.00,0.0,M
1916-06-19,M,M,0.00,0.0,M
1916-06-20,M,M,0.00,0.0,M
1916-06-21,M,M,0.00,0.0,M
1916-06-22,M,M,0.00,0.0,M
1916-06-23,M,M,0.05,0.5,M
1916-06-24,M,M,0.00,0.0,M
1916-06-25,M,M,0.00,0.0,M
1916-06-26,M,M,0.00,0.0,M
1916-06-27,M,M,0.00,0.0,M
1916-06-28,M,M,0.00,0.0,M
1916-06-29,M,M,0.00,0.0,M
1916-06-30,M,M,0.00,0.0,M
1916-07-01,M,M,0.00,M,M
1916-07-02,M,M,0.00,M,M
1916-07-03,M,M,0.00,M,M
1916-07-04,M,M,0.00,M,M
1916-07-05,M,M,0.00,M,M
1916-07-06,M,M,0.00,M,M
1916-07-07,M,M,0.00,M,M
1916-07-08,M,M,0.00,M,M
1916-07-09,M,M,0.00,M,M
1916-07-10,M,M,0.00,M,M
1916-07-11,M,M,0.00,M,M
1916-07-12,M,M,0.00,M,M
1916-07-13,M,M,0.00,M,M
1916-07-14,M,M,0.00,M,M
1916-07-15,M,M,0.00,M,M
1916-07-16,M,M,0.00,M,M
1916-07-17,M,M,0.04,M,M
1916-07-18,M,M,0.00,M,M
1916-07-19,M,M,0.00,M,M
1916-07-20,M,M,0.00,M,M
1916-07-21,M,M,0.00,M,M
1916-07-22,M,M,0.00,M,M
1916-07-23,M,M,0.00,M,M
1916-07-24,M,M,0.00,M,M
1916-07-25,M,M,0.00,M,M
1916-07-26,M,M,0.00,M,M
1916-07-27,M,M,0.00,M,M
1916-07-28,M,M,0.00,M,M
1916-07-29,M,M,0.34,M,M
1916-07-30,M,M,0.00,M,M
1916-07-31,M,M,0.00,M,M
1916-08-02,M,M,T,M,M
1916-08-05,M,M,1.34,M,M
1916-08-08,M,M,0.64,M,M
1916-08-16,M,M,0.21,M,M
1916-09-01,M,M,0.00,M,M
1916-09-02,M,M,0.00,M,M
1916-09-03,M,M,0.00,M,M
1916-09-04,M,M,0.00,M,M
1916-09-05,M,M,0.00,M,M
1916-09-06,M,M,0.00,M,M
1916-09-07,M,M,0.00,M,M
1916-09-08,M,M,0.00,M,M
1916-09-09,M,M,0.00,M,M
1916-09-10,M,M,1.99,M,M
1916-09-11,M,M,0.00,M,M
1916-09-12,M,M,0.00,M,M
1916-09-13,M,M,0.00,M,M
1916-09-14,M,M,0.00,M,M
1916-09-15,M,M,0.00,M,M
1916-09-16,M,M,0.00,M,M
1916-09-17,M,M,0.00,M,M
1916-09-18,M,M,0.00,M,M
1916-09-19,M,M,0.00,M,M
1916-09-20,M,M,0.00,M,M
1916-09-21,M,M,0.00,M,M
1916-09-22,M,M,0.40,M,M
1916-09-23,M,M,0.00,M,M
1916-09-24,M,M,0.00,M,M
1916-09-25,M,M,0.00,M,M
1916-09-26,M,M,0.00,M,M
1916-09-27,M,M,0.00,M,M
1916-09-28,M,M,0.00,M,M
1916-09-29,M,M,0.00,M,M
1916-09-30,M,M,0.00,M,M
1916-10-01,M,M,0.00,M,M
1916-10-02,M,M,0.00,M,M
1916-10-03,M,M,0.00,M,M
1916-10-04,M,M,0.00,M,M
1916-10-05,M,M,0.00,M,M
1916-10-06,M,M,0.00,M,M
1916-10-07,M,M,0.00,M,M
1916-10-08,M,M,0.00,M,M
1916-10-09,M,M,0.00,M,M
1916-10-10,M,M,0.00,M,M
1916-10-11,M,M,0.00,M,M
1916-10-13,M,M,0.00,M,M
1916-10-14,M,M,0.00,M,M
1916-10-15,M,M,0.00,M,M
1916-10-16,M,M,0.00,M,M
1916-10-17,M,M,0.00,M,M
1916-10-18,M,M,0.00,M,M
1916-10-19,M,M,0.00,M,M
1916-10-20,M,M,0.00,M,M
1916-10-21,M,M,0.00,M,M
1916-10-22,M,M,0.00,M,M
