date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1969-01-01,82,58,0.00,0.0,0
1969-01-02,65,42,0.00,0.0,0
1969-01-03,68,46,0.00,0.0,0
1969-01-04,72,57,0.18,0.0,0
1969-01-05,68,48,0.28,0.0,0
1969-01-06,53,47,0.43,0.0,0
1969-01-07,63,31,0.00,0.0,0
1969-01-08,68,35,0.00,0.0,0
1969-01-09,72,41,0.00,0.0,0
1969-01-10,76,52,0.00,0.0,0
1969-01-11,74,54,0.00,0.0,0
1969-01-12,70,52,0.16,0.0,0
1969-01-13,61,48,0.00,0.0,0
1969-01-14,62,46,0.00,0.0,0
1969-01-15,66,46,0.00,0.0,0
1969-01-16,68,46,0.00,0.0,0
1969-01-17,73,44,0.00,0.0,0
1969-01-18,74,57,0.00,0.0,0
1969-01-19,76,58,0.00,0.0,0
1969-01-20,68,62,0.21,0.0,0
1969-01-21,76,46,0.00,0.0,0
1969-01-22,58,43,0.00,0.0,0
1969-01-23,71,47,0.00,0.0,0
1969-01-24,75,50,0.00,0.0,0
1969-01-25,78,53,0.00,0.0,0
1969-01-26,78,46,0.00,0.0,0
1969-01-27,74,50,0.00,0.0,0
1969-01-28,71,55,0.00,0.0,0
1969-01-29,75,55,0.00,0.0,0
1969-01-30,78,53,0.00,0.0,0
1969-01-31,76,44,0.00,0.0,0
1969-02-01,78,45,0.00,0.0,0
1969-02-02,80,50,0.00,0.0,0
1969-02-03,77,53,0.00,0.0,0
1969-02-04,79,44,0.00,0.0,0
1969-02-05,59,38,0.00,0.0,0
1969-02-06,69,36,0.00,0.0,0
1969-02-07,76,52,0.00,0.0,0
1969-02-08,81,46,0.00,0.0,0
1969-02-09,75,52,0.32,0.0,0
1969-02-10,72,38,0.00,0.0,0
1969-02-11,70,45,0.00,0.0,0
1969-02-12,76,53,0.00,0.0,0
1969-02-13,75,38,0.00,0.0,0
1969-02-14,72,44,0.00,0.0,0
1969-02-15,74,59,0.00,0.0,0
