date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1899-02-01,70,45,0.45,M,M
1899-02-02,72,50,T,M,M
1899-02-03,69,45,0.10,M,M
1899-02-04,82,47,T,M,M
1899-02-05,82,62,T,M,M
1899-02-06,83,64,T,M,M
1899-02-07,83,68,T,M,M
1899-02-08,83,43,T,M,M
1899-02-09,53,28,T,M,M
1899-02-10,50,30,T,M,M
1899-02-11,50,33,T,M,M
1899-02-12,74,32,T,M,M
1899-02-13,71,M,0.45,M,M
1899-02-14,M,18,T,M,M
1899-02-15,46,18,T,M,M
1899-02-16,62,44,1.80,M,M
1899-02-17,68,47,T,M,M
1899-02-18,69,49,0.80,M,M
1899-02-19,62,47,0.40,M,M
1899-02-20,66,36,T,M,M
1899-02-21,70,41,T,M,M
1899-02-22,71,57,0.50,M,M
1899-02-23,67,62,2.15,M,M
1899-02-24,73,46,T,M,M
1899-02-25,62,45,T,M,M
1899-02-26,75,60,T,M,M
1899-02-27,83,59,T,M,M
1899-02-28,81,45,T,M,M
1899-03-01,71,44,0.00,M,M
1899-03-02,70,50,0.00,M,M
1899-03-03,82,50,0.00,M,M
1899-03-04,88,53,0.00,M,M
1899-03-05,87,59,0.00,M,M
1899-03-06,72,41,0.00,M,M
1899-03-07,63,37,0.00,M,M
1899-03-08,58,31,0.00,M,M
1899-03-09,74,36,0.00,M,M
1899-03-10,76,38,0.00,M,M
1899-03-11,81,50,0.00,M,M
1899-03-12,84,61,0.00,M,M
1899-03-13,86,60,0.00,M,M
1899-03-14,86,64,0.00,M,M
1899-03-15,88,62,0.00,M,M
1899-03-16,87,63,0.00,M,M
1899-03-17,80,57,0.00,M,M
1899-03-18,82,59,0.00,M,M
1899-03-19,86,64,0.60,M,M
1899-03-20,72,47,0.00,M,M
1899-03-21,72,48,0.00,M,M
1899-03-22,77,53,0.00,M,M
1899-03-23,82,59,0.22,M,M
1899-03-24,79,56,0.00,M,M
1899-03-25,76,55,0.00,M,M
1899-03-26,84,59,0.00,M,M
1899-03-27,86,64,0.00,M,M
1899-03-28,88,65,0.00,M,M
1899-03-29,88,49,0.00,M,M
1899-03-30,70,51,0.00,M,M
1899-03-31,82,59,0.00,M,M
1899-04-01,84,73,T,M,M
1899-04-02,74,53,0.95,M,M
1899-04-03,74,52,T,M,M
1899-04-04,78,57,0.10,M,M
1899-04-05,76,51,T,M,M
1899-04-06,70,52,T,M,M
1899-04-07,78,59,1.13,M,M
1899-04-08,78,57,0.15,M,M
1899-04-09,65,48,T,M,M
1899-04-10,62,44,T,M,M
1899-04-11,65,41,T,M,M
1899-04-12,73,47,T,M,M
1899-04-13,79,50,T,M,M
1899-04-14,82,53,T,M,M
1899-04-15,79,54,T,M,M
1899-04-16,82,58,T,M,M
1899-04-17,80,58,T,M,M
1899-04-18,81,60,1.30,M,M
1899-04-19,78,64,0.03,M,M
1899-04-20,79,64,T,M,M
1899-04-21,82,63,T,M,M
1899-04-22,80,63,T,M,M
1899-04-23,84,64,T,M,M
1899-04-24,78,62,T,M,M
1899-04-25,83,61,T,M,M
1899-04-26,82,61,T,M,M
1899-04-27,82,61,T,M,M
1899-04-28,87,58,T,M,M
1899-04-29,87,63,T,M,M
1899-04-30,87,64,T,M,M
1899-05-01,83,64,T,M,M
1899-05-02,87,64,T,M,M
1899-05-03,88,61,T,M,M
1899-05-04,89,61,T,M,M
1899-05-05,89,64,T,M,M
1899-05-06,90,67,T,M,M
1899-05-07,87,65,T,M,M
1899-05-08,87,71,T,M,M
1899-05-09,85,75,T,M,M
1899-05-10,92,63,T,M,M
1899-05-11,89,64,T,M,M
1899-05-12,90,66,T,M,M
1899-05-13,92,66,T,M,M
1899-05-14,92,68,T,M,M
1899-05-15,93,71,T,M,M
1899-05-16,92,64,T,M,M
1899-05-17,90,61,T,M,M
1899-05-18,92,63,T,M,M
1899-05-19,95,68,T,M,M
1899-05-20,91,71,T,M,M
1899-05-21,92,70,0.30,M,M
1899-05-22,90,68,T,M,M
1899-05-23,90,64,T,M,M
1899-05-24,88,68,T,M,M
1899-05-25,83,68,T,M,M
1899-05-26,81,66,1.17,M,M
1899-05-27,84,65,T,M,M
1899-05-28,86,65,T,M,M
1899-05-29,89,66,T,M,M
1899-05-30,90,68,T,M,M
1899-05-31,92,70,T,M,M
1899-06-01,93,72,0.00,M,M
1899-06-02,91,72,0.00,M,M
1899-06-03,91,69,0.00,M,M
1899-06-04,90,66,1.05,M,M
1899-06-05,87,70,0.02,M,M
1899-06-06,87,71,0.00,M,M
1899-06-07,91,71,0.19,M,M
1899-06-08,90,67,0.00,M,M
1899-06-09,91,70,0.00,M,M
1899-06-10,92,73,0.00,M,M
1899-06-11,92,72,0.25,M,M
1899-06-12,91,75,0.00,M,M
1899-06-13,93,72,0.00,M,M
1899-06-14,93,72,0.00,M,M
1899-06-15,95,74,0.00,M,M
1899-06-16,97,71,0.65,M,M
1899-06-17,94,71,1.41,M,M
1899-06-18,90,70,1.10,M,M
1899-06-19,73,64,0.09,M,M
1899-06-20,82,61,0.00,M,M
1899-06-21,86,63,0.00,M,M
1899-06-22,91,71,0.00,M,M
1899-06-23,91,70,0.00,M,M
1899-06-24,92,72,0.00,M,M
1899-06-25,90,70,0.00,M,M
1899-06-26,91,71,0.00,M,M
1899-06-27,87,72,0.16,M,M
1899-06-28,89,72,0.00,M,M
1899-06-29,90,70,2.00,M,M
1899-06-30,81,71,1.05,M,M
1899-07-01,84,71,T,M,M
1899-07-02,85,70,0.45,M,M
1899-07-03,85,70,T,M,M
1899-07-04,88,71,T,M,M
1899-07-05,91,71,T,M,M
1899-07-06,85,72,T,M,M
1899-07-07,90,70,0.25,M,M
1899-07-08,89,70,T,M,M
1899-07-09,89,73,T,M,M
1899-07-10,83,72,T,M,M
1899-07-11,83,69,T,M,M
1899-07-12,90,72,0.35,M,M
1899-07-13,90,73,0.25,M,M
1899-07-14,92,73,T,M,M
1899-07-15,92,72,T,M,M
1899-07-16,91,74,T,M,M
1899-07-17,91,75,T,M,M
1899-07-18,93,76,T,M,M
1899-07-19,88,72,1.50,M,M
1899-07-20,88,72,1.05,M,M
1899-07-21,85,74,0.53,M,M
1899-07-22,88,74,T,M,M
1899-07-23,84,74,0.80,M,M
1899-07-24,82,72,2.00,M,M
1899-07-25,79,73,0.15,M,M
1899-07-26,85,72,T,M,M
1899-07-27,90,71,T,M,M
1899-07-28,92,72,T,M,M
1899-07-29,92,78,T,M,M
1899-07-30,81,75,T,M,M
1899-07-31,87,75,0.50,M,M
1899-08-01,87,75,0.45,M,M
1899-08-02,89,74,0.40,M,M
1899-08-03,93,73,0.00,M,M
1899-08-04,93,73,0.00,M,M
