date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2023-02-01,M,M,M,0.0,0
2023-02-02,81,65,0.00,0.0,0
2023-02-03,78,67,0.09,0.0,0
2023-02-04,76,50,0.00,0.0,0
2023-02-05,81,59,0.00,0.0,0
2023-02-06,79,62,0.00,0.0,0
2023-02-07,80,57,0.00,0.0,0
2023-02-08,81,58,0.00,0.0,0
2023-02-09,84,60,0.00,0.0,0
2023-02-10,85,64,0.00,0.0,0
2023-02-11,81,66,0.00,0.0,0
2023-02-12,82,62,0.06,0.0,0
2023-02-13,66,52,0.00,0.0,0
2023-02-14,72,46,0.00,0.0,0
2023-02-15,78,46,0.00,0.0,0
2023-02-16,82,46,0.00,0.0,0
2023-02-17,83,60,0.01,0.0,0
2023-02-18,84,57,0.00,0.0,0
2023-02-19,84,56,0.00,0.0,0
2023-02-20,80,55,0.00,0.0,0
2023-02-21,84,56,0.00,0.0,0
2023-02-22,82,61,0.01,0.0,0
2023-02-23,84,67,0.00,0.0,0
2023-02-24,86,65,0.00,0.0,0
2023-02-25,88,65,0.00,0.0,0
2023-02-26,86,60,0.00,0.0,0
2023-02-27,83,61,0.00,0.0,0
2023-02-28,80,61,0.00,0.0,0
2023-03-01,81,60,0.00,0.0,0
2023-03-02,82,60,0.00,0.0,0
2023-03-03,83,60,0.01,0.0,0
2023-03-04,83,72,0.00,0.0,0
2023-03-05,84,67,0.00,0.0,0
2023-03-06,85,67,0.00,0.0,0
2023-03-07,87,66,0.00,0.0,0
2023-03-08,85,65,0.00,0.0,0
2023-03-09,87,63,0.00,0.0,0
2023-03-10,81,62,0.02,0.0,0
2023-03-11,81,60,0.00,0.0,0
2023-03-12,82,58,0.00,0.0,0
2023-03-13,81,58,0.00,0.0,0
2023-03-14,81,59,0.25,0.0,0
2023-03-15,78,54,0.00,0.0,0
2023-03-16,78,51,0.00,0.0,0
2023-03-17,80,54,0.00,0.0,0
2023-03-18,82,67,0.00,0.0,0
2023-03-19,84,53,0.00,0.0,0
2023-03-20,63,49,0.00,0.0,0
2023-03-21,75,44,0.00,0.0,0
2023-03-22,80,54,0.00,0.0,0
2023-03-23,85,59,0.00,0.0,0
2023-03-24,88,59,0.00,0.0,0
2023-03-25,85,68,0.00,0.0,0
2023-03-26,86,68,0.00,0.0,0
2023-03-27,87,69,0.00,0.0,0
2023-03-28,86,70,0.00,0.0,0
2023-03-29,86,68,0.00,0.0,0
2023-03-30,86,65,0.00,0.0,0
2023-03-31,86,62,0.00,0.0,0
2023-04-01,85,68,0.00,0.0,0
2023-04-02,87,65,0.00,0.0,0
2023-04-03,93,68,0.00,0.0,0
2023-04-04,91,64,0.00,0.0,0
2023-04-05,89,68,0.00,0.0,0
2023-04-06,89,68,0.00,0.0,0
2023-04-07,91,68,0.00,0.0,0
2023-04-08,90,67,0.00,0.0,0
2023-04-09,89,66,0.09,0.0,0
2023-04-10,89,65,0.07,0.0,0
2023-04-11,84,63,0.00,0.0,0
2023-04-12,80,66,0.10,0.0,0
2023-04-13,83,67,0.00,0.0,0
2023-04-14,86,69,0.00,0.0,0
2023-04-15,88,68,0.00,0.0,0
2023-04-16,87,67,0.00,0.0,0
2023-04-17,90,70,0.00,0.0,0
2023-04-18,91,68,0.00,0.0,0
2023-04-19,90,65,0.00,0.0,0
2023-04-20,89,66,0.00,0.0,0
2023-04-21,91,54,0.00,0.0,0
2023-04-22,84,66,0.00,0.0,0
2023-04-23,90,68,0.70,0.0,0
2023-04-24,84,68,0.00,0.0,0
2023-04-25,86,68,0.00,0.0,0
2023-04-26,88,65,0.00,0.0,0
2023-04-27,89,67,0.00,0.0,0
2023-04-28,89,69,0.00,0.0,0
2023-04-29,89,68,0.00,0.0,0
2023-04-30,89,68,0.85,0.0,0
2023-05-01,79,64,0.00,0.0,0
2023-05-02,79,65,0.00,0.0,0
2023-05-03,81,65,0.00,0.0,0
2023-05-04,83,59,0.00,0.0,0
2023-05-05,84,60,0.00,0.0,0
2023-05-06,88,60,0.00,0.0,0
2023-05-07,88,62,0.04,0.0,0
2023-05-08,88,62,0.00,0.0,0
2023-05-09,87,68,0.00,0.0,0
2023-05-10,89,66,0.00,0.0,0
2023-05-11,92,69,0.00,0.0,0
2023-05-12,94,69,0.00,0.0,0
2023-05-13,93,70,0.00,0.0,0
2023-05-14,92,69,0.04,0.0,0
2023-05-15,92,67,0.00,0.0,0
2023-05-16,92,67,0.00,0.0,0
2023-05-17,88,71,0.00,0.0,0
2023-05-18,87,70,0.00,0.0,0
2023-05-19,89,69,0.00,0.0,0
2023-05-20,92,70,0.00,0.0,0
2023-05-21,91,72,0.58,0.0,0
2023-05-22,88,71,0.00,0.0,0
2023-05-23,90,70,0.00,0.0,0
2023-05-24,91,69,0.33,0.0,0
2023-05-25,85,66,0.45,0.0,0
2023-05-26,88,67,0.47,0.0,0
2023-05-27,88,64,1.05,0.0,0
2023-05-28,88,65,0.00,0.0,0
2023-05-29,88,65,0.00,0.0,0
2023-05-30,89,67,0.00,0.0,0
2023-05-31,91,71,0.00,0.0,0
2023-06-01,89,69,0.25,0.0,0
2023-06-02,88,69,0.00,0.0,0
2023-06-03,89,69,0.03,0.0,0
2023-06-04,88,68,0.13,0.0,0
2023-06-05,89,67,1.20,0.0,0
2023-06-06,87,67,0.05,0.0,0
2023-06-07,90,71,0.16,0.0,0
2023-06-08,86,71,0.03,0.0,0
2023-06-09,86,73,0.00,0.0,0
2023-06-10,88,72,0.00,0.0,0
2023-06-11,89,72,0.00,0.0,0
2023-06-12,89,74,0.00,0.0,0
2023-06-13,90,74,0.00,0.0,0
2023-06-14,91,76,0.00,0.0,0
2023-06-15,91,75,0.00,0.0,0
2023-06-16,93,75,0.00,0.0,0
2023-06-17,90,77,0.15,0.0,0
2023-06-18,90,72,3.83,0.0,0
2023-06-19,89,74,0.50,0.0,0
2023-06-20,90,78,0.05,0.0,0
2023-06-21,89,73,0.08,0.0,0
2023-06-22,89,71,0.60,0.0,0
2023-06-23,92,78,0.00,0.0,0
2023-06-24,93,74,0.00,0.0,0
2023-06-25,92,74,0.00,0.0,0
2023-06-26,90,74,0.00,0.0,0
2023-06-27,90,73,0.20,0.0,0
2023-06-28,90,76,0.00,0.0,0
2023-06-29,91,75,0.03,0.0,0
2023-06-30,93,76,0.12,0.0,0
2023-07-01,92,72,0.25,0.0,0
2023-07-02,94,75,0.00,0.0,0
2023-07-03,95,77,0.00,0.0,0
2023-07-04,93,75,0.00,0.0,0
2023-07-05,96,77,0.00,0.0,0
2023-07-06,95,74,0.85,0.0,0
2023-07-07,92,78,0.00,0.0,0
2023-07-08,91,79,0.00,0.0,0
2023-07-09,91,80,0.00,0.0,0
2023-07-10,93,76,0.00,0.0,0
2023-07-11,92,76,0.00,0.0,0
2023-07-12,94,76,0.00,0.0,0
2023-07-13,94,76,0.00,0.0,0
2023-07-14,95,74,0.00,0.0,0
2023-07-15,95,74,0.07,0.0,0
2023-07-16,94,78,0.00,0.0,0
2023-07-17,93,78,0.00,0.0,0
2023-07-18,93,77,0.08,0.0,0
2023-07-19,95,74,1.94,0.0,0
2023-07-20,95,74,0.16,0.0,0
2023-07-21,96,75,0.04,0.0,0
2023-07-22,95,77,0.08,0.0,0
2023-07-23,93,76,0.02,0.0,0
2023-07-24,92,77,0.01,0.0,0
2023-07-25,93,75,0.00,0.0,0
2023-07-26,95,75,0.00,0.0,0
2023-07-27,96,73,0.00,0.0,0
2023-07-28,96,73,0.00,0.0,0
2023-07-29,90,74,1.62,0.0,0
2023-07-30,92,77,0.00,0.0,0
2023-07-31,93,76,0.15,0.0,0
2023-08-01,92,74,0.06,0.0,0
2023-08-02,92,76,0.04,0.0,0
2023-08-03,92,74,2.05,0.0,0
2023-08-04,93,75,0.00,0.0,0
2023-08-05,94,75,0.00,0.0,0
2023-08-06,94,75,0.85,0.0,0
2023-08-07,95,75,0.80,0.0,0
2023-08-08,95,78,0.81,0.0,0
2023-08-09,95,78,0.41,0.0,0
2023-08-10,96,80,0.00,0.0,0
2023-08-11,94,79,0.00,0.0,0
2023-08-12,95,79,0.00,0.0,0
2023-08-13,97,74,2.09,0.0,0
2023-08-14,95,76,1.70,0.0,0
2023-08-15,95,76,0.02,0.0,0
2023-08-16,92,77,0.00,0.0,0
2023-08-17,93,75,1.20,0.0,0
2023-08-18,90,76,0.40,0.0,0
2023-08-19,90,76,0.12,0.0,0
2023-08-20,94,76,0.01,0.0,0
2023-08-21,89,74,0.40,0.0,0
2023-08-22,93,76,0.25,0.0,0
2023-08-23,93,75,0.00,0.0,0
2023-08-24,94,76,0.00,0.0,0
2023-08-25,96,73,0.02,0.0,0
2023-08-26,93,71,0.06,0.0,0
2023-08-27,93,74,0.00,0.0,0
2023-08-28,92,76,0.60,0.0,0
2023-08-29,93,78,0.10,0.0,0
2023-08-30,93,75,3.47,0.0,0
2023-08-31,94,79,0.02,0.0,0
2023-09-01,89,78,0.00,0.0,0
2023-09-02,92,78,0.00,0.0,0
2023-09-03,91,71,0.00,0.0,0
2023-09-04,91,71,0.00,0.0,0
2023-09-05,92,74,0.00,0.0,0
2023-09-06,92,74,0.00,0.0,0
2023-09-07,92,73,0.00,0.0,0
2023-09-08,92,74,1.04,0.0,0
2023-09-09,89,70,0.00,0.0,0
2023-09-10,92,74,0.00,0.0,0
2023-09-11,91,73,0.10,0.0,0
2023-09-12,93,73,0.00,0.0,0
2023-09-13,92,75,0.00,0.0,0
2023-09-14,92,74,0.00,0.0,0
2023-09-15,91,74,0.00,0.0,0
2023-09-16,92,74,0.23,0.0,0
2023-09-17,92,75,0.00,0.0,0
2023-09-18,91,77,0.08,0.0,0
2023-09-19,89,74,0.47,0.0,0
2023-09-20,89,73,0.00,0.0,0
2023-09-21,91,71,2.00,0.0,0
2023-09-22,86,70,1.75,0.0,0
2023-09-23,88,68,0.00,0.0,0
2023-09-24,88,70,0.00,0.0,0
2023-09-25,89,71,0.25,0.0,0
2023-09-26,87,73,0.00,0.0,0
2023-09-27,88,76,0.00,0.0,0
2023-09-28,91,75,0.00,0.0,0
2023-09-29,89,76,0.02,0.0,0
2023-09-30,93,75,0.11,0.0,0
2023-10-01,91,74,2.50,0.0,0
2023-10-02,87,73,0.52,0.0,0
2023-10-03,88,70,0.00,0.0,0
2023-10-04,86,70,0.00,0.0,0
2023-10-05,90,72,1.00,0.0,0
2023-10-06,90,74,0.00,0.0,0
2023-10-07,90,74,0.00,0.0,0
2023-10-08,89,70,0.00,0.0,0
2023-10-09,80,64,0.00,0.0,0
2023-10-10,83,67,0.00,0.0,0
2023-10-11,88,72,0.00,0.0,0
2023-10-12,90,78,0.01,0.0,0
2023-10-13,89,77,1.05,0.0,0
2023-10-14,87,77,0.00,0.0,0
2023-10-15,84,70,0.00,0.0,0
2023-10-16,80,64,0.01,0.0,0
2023-10-17,74,54,0.00,0.0,0
2023-10-18,73,52,0.00,0.0,0
2023-10-19,80,61,0.00,0.0,0
2023-10-20,82,61,0.00,0.0,0
2023-10-21,82,65,0.05,0.0,0
2023-10-22,86,64,0.01,0.0,0
2023-10-23,86,63,0.01,0.0,0
2023-10-24,87,63,0.00,0.0,0
2023-10-25,86,64,0.00,0.0,0
2023-10-26,88,67,0.00,0.0,0
2023-10-27,87,65,0.00,0.0,0
2023-10-28,87,66,0.00,0.0,0
2023-10-29,87,66,0.00,0.0,0
2023-10-30,87,65,0.00,0.0,0
2023-10-31,87,65,0.00,0.0,0
2023-11-01,87,64,0.00,0.0,0
2023-11-02,78,54,0.00,0.0,0
2023-11-03,80,58,0.00,0.0,0
2023-11-04,84,60,0.00,0.0,0
2023-11-05,81,57,0.00,0.0,0
2023-11-06,81,51,0.00,0.0,0
2023-11-07,82,56,0.00,0.0,0
2023-11-08,86,61,0.00,0.0,0
2023-11-09,87,64,0.00,0.0,0
2023-11-10,87,68,0.00,0.0,0
2023-11-11,89,67,0.00,0.0,0
2023-11-12,89,70,0.00,0.0,0
2023-11-13,89,69,0.00,0.0,0
2023-11-14,82,68,0.03,0.0,0
2023-11-15,82,68,0.62,0.0,0
2023-11-16,74,66,0.63,0.0,0
2023-11-17,77,66,0.00,0.0,0
2023-11-18,76,67,0.00,0.0,0
2023-11-19,79,61,0.10,0.0,0
2023-11-20,85,62,0.00,0.0,0
2023-11-21,84,60,0.00,0.0,0
2023-11-22,84,67,0.00,0.0,0
2023-11-23,80,62,0.08,0.0,0
2023-11-24,82,56,0.00,0.0,0
2023-11-25,77,59,0.00,0.0,0
2023-11-26,80,65,0.20,0.0,0
2023-11-27,81,50,0.00,0.0,0
2023-11-28,81,50,0.10,0.0,0
2023-11-29,67,49,0.00,0.0,0
2023-11-30,79,52,0.00,0.0,0
2023-12-01,82,48,0.00,0.0,0
2023-12-02,84,68,0.00,0.0,0
2023-12-03,84,68,0.01,0.0,0
2023-12-04,83,61,0.00,0.0,0
2023-12-05,79,57,0.00,0.0,0
2023-12-06,80,44,0.00,0.0,0
2023-12-07,75,45,0.00,0.0,0
2023-12-08,79,55,0.00,0.0,0
2023-12-09,81,55,0.00,0.0,0
2023-12-10,83,64,0.00,0.0,0
2023-12-11,81,50,0.00,0.0,0
2023-12-12,83,45,0.00,0.0,0
2023-12-13,77,55,0.00,0.0,0
2023-12-14,73,61,0.00,0.0,0
2023-12-15,75,60,0.00,0.0,0
2023-12-16,73,66,0.23,0.0,0
2023-12-17,73,64,1.45,0.0,0
2023-12-18,69,56,0.00,0.0,0
2023-12-19,66,46,0.00,0.0,0
2023-12-20,67,45,0.00,0.0,0
2023-12-21,74,55,0.00,0.0,0
2023-12-22,73,55,0.00,0.0,0
2023-12-23,77,57,0.00,0.0,0
2023-12-24,77,54,0.00,0.0,0
2023-12-25,74,58,0.60,0.0,0
