date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2023-05-01,M,M,M,0.0,0
2023-05-02,M,M,M,0.0,0
2023-05-03,M,M,M,0.0,0
2023-05-04,M,M,M,0.0,0
2023-05-05,M,M,M,0.0,0
2023-05-06,M,M,M,0.0,0
2023-05-07,M,M,M,0.0,0
2023-05-08,M,M,M,0.0,0
2023-05-09,M,M,M,0.0,0
2023-05-10,M,M,M,0.0,0
2023-05-11,M,M,M,0.0,0
2023-05-12,M,M,M,0.0,0
2023-05-13,M,M,M,0.0,0
2023-05-14,M,M,M,0.0,0
2023-05-15,M,M,M,0.0,0
2023-05-16,86,73,0.00,0.0,0
2023-05-17,85,72,0.00,0.0,0
2023-05-18,85,70,0.00,0.0,0
2023-05-19,87,70,0.01,0.0,0
2023-05-20,89,72,0.00,0.0,0
2023-05-21,88,76,0.00,0.0,0
2023-05-22,90,74,0.00,0.0,0
2023-05-23,86,72,0.00,0.0,0
2023-05-24,87,69,0.72,0.0,0
2023-05-25,84,69,0.38,0.0,0
2023-05-26,86,68,T,0.0,0
2023-05-27,82,64,0.00,0.0,0
2023-05-28,84,68,0.00,0.0,0
2023-05-29,85,66,0.00,0.0,0
2023-05-30,87,67,0.00,0.0,0
2023-05-31,87,69,2.32,0.0,0
2023-06-01,87,72,0.12,0.0,0
2023-06-02,86,72,0.01,0.0,0
2023-06-03,88,71,T,0.0,0
2023-06-04,86,70,0.01,0.0,0
2023-06-05,88,70,0.00,0.0,0
2023-06-06,90,72,0.00,0.0,0
2023-06-07,85,72,0.00,0.0,0
2023-06-08,86,77,0.00,0.0,0
2023-06-09,86,75,0.00,0.0,0
2023-06-10,87,73,0.00,0.0,0
2023-06-11,87,75,0.00,0.0,0
2023-06-12,88,78,0.00,0.0,0
2023-06-13,90,78,0.00,0.0,0
2023-06-14,90,78,0.00,0.0,0
2023-06-15,90,74,0.01,0.0,0
2023-06-16,88,77,0.01,0.0,0
2023-06-17,90,81,0.01,0.0,0
2023-06-18,90,70,0.36,0.0,0
2023-06-19,90,79,0.00,0.0,0
2023-06-20,90,82,0.00,0.0,0
2023-06-21,86,69,2.39,0.0,0
2023-06-22,89,73,0.04,0.0,0
2023-06-23,90,78,T,0.0,0
2023-06-24,90,75,0.01,0.0,0
2023-06-25,91,78,0.00,0.0,0
2023-06-26,91,75,0.00,0.0,0
2023-06-27,90,79,0.00,0.0,0
2023-06-28,90,82,0.00,0.0,0
2023-06-29,91,78,0.99,0.0,0
2023-06-30,94,76,0.00,0.0,0
2023-07-01,92,75,0.00,0.0,0
2023-07-02,92,79,0.00,0.0,0
2023-07-03,92,79,0.00,0.0,0
2023-07-04,95,77,0.00,0.0,0
2023-07-05,93,81,0.00,0.0,0
2023-07-06,93,78,0.00,0.0,0
2023-07-07,91,80,0.03,0.0,0
2023-07-08,91,76,0.17,0.0,0
2023-07-09,90,82,T,0.0,0
2023-07-10,91,77,0.29,0.0,0
2023-07-11,88,79,0.01,0.0,0
2023-07-12,91,80,0.00,0.0,0
2023-07-13,92,78,0.00,0.0,0
2023-07-14,92,78,0.00,0.0,0
2023-07-15,91,79,0.00,0.0,0
2023-07-16,91,82,0.00,0.0,0
2023-07-17,93,84,0.00,0.0,0
2023-07-18,92,77,0.20,0.0,0
2023-07-19,94,78,0.03,0.0,0
2023-07-20,92,78,0.00,0.0,0
2023-07-21,94,80,0.00,0.0,0
2023-07-22,93,76,0.17,0.0,0
2023-07-23,92,78,0.06,0.0,0
2023-07-24,90,79,0.01,0.0,0
2023-07-25,93,78,0.00,0.0,0
2023-07-26,91,73,0.68,0.0,0
2023-07-27,90,76,T,0.0,0
2023-07-28,93,76,0.23,0.0,0
2023-07-29,89,75,1.41,0.0,0
2023-07-30,92,77,1.38,0.0,0
2023-07-31,90,77,0.03,0.0,0
2023-08-01,92,76,0.18,0.0,0
2023-08-02,93,77,0.57,0.0,0
2023-08-03,93,78,T,0.0,0
2023-08-04,91,77,0.01,0.0,0
2023-08-05,94,78,0.00,0.0,0
2023-08-06,93,79,0.00,0.0,0
2023-08-07,95,80,0.00,0.0,0
2023-08-08,94,80,0.00,0.0,0
2023-08-09,95,80,0.00,0.0,0
2023-08-10,95,80,0.00,0.0,0
2023-08-11,94,80,0.00,0.0,0
2023-08-12,93,79,0.61,0.0,0
2023-08-13,94,77,1.37,0.0,0
2023-08-14,92,79,0.43,0.0,0
2023-08-15,93,79,0.00,0.0,0
2023-08-16,92,78,0.30,0.0,0
2023-08-17,93,77,0.31,0.0,0
2023-08-18,92,75,1.19,0.0,0
2023-08-19,94,77,0.00,0.0,0
2023-08-20,93,77,0.10,0.0,0
2023-08-21,95,77,0.00,0.0,0
2023-08-22,95,78,0.00,0.0,0
2023-08-23,94,76,0.33,0.0,0
2023-08-24,93,77,T,0.0,0
2023-08-25,94,74,0.00,0.0,0
2023-08-26,93,75,0.69,0.0,0
2023-08-27,94,75,T,0.0,0
2023-08-28,91,79,0.00,0.0,0
2023-08-29,87,77,1.33,0.0,0
2023-08-30,88,77,0.88,0.0,0
2023-08-31,91,79,0.05,0.0,0
2023-09-01,93,79,0.00,0.0,0
2023-09-02,91,77,0.00,0.0,0
2023-09-03,91,73,0.00,0.0,0
2023-09-04,90,72,0.00,0.0,0
2023-09-05,93,76,0.00,0.0,0
2023-09-06,91,76,0.00,0.0,0
2023-09-07,90,75,0.00,0.0,0
2023-09-08,84,69,1.95,0.0,0
2023-09-09,89,71,0.00,0.0,0
2023-09-10,91,75,0.00,0.0,0
2023-09-11,92,76,0.00,0.0,0
2023-09-12,93,76,0.00,0.0,0
2023-09-13,93,77,0.00,0.0,0
2023-09-14,92,75,0.00,0.0,0
2023-09-15,91,77,0.00,0.0,0
2023-09-16,92,77,0.00,0.0,0
2023-09-17,92,78,0.00,0.0,0
