date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1986-05-01,M,M,0.00,0.0,0
1986-05-02,M,M,0.00,0.0,0
1986-05-03,M,M,T,0.0,0
1986-05-04,M,M,0.11,0.0,0
1986-05-05,M,M,0.49,0.0,0
1986-05-06,M,M,0.05,0.0,0
1986-05-07,M,M,T,0.0,0
1986-05-08,M,M,0.04,0.0,0
1986-05-09,M,M,0.12,0.0,0
1986-05-10,M,M,0.02,0.0,0
1986-05-11,M,M,0.10,0.0,0
1986-05-12,M,M,0.29,T,0
1986-05-13,M,M,0.00,0.0,0
1986-05-14,M,M,0.00,0.0,0
1986-05-15,M,M,0.01,T,0
1986-05-16,M,M,0.01,T,0
1986-05-17,M,M,0.00,0.0,0
1986-05-18,M,M,0.00,0.0,0
1986-05-19,M,M,T,0.0,0
1986-05-20,M,M,0.00,0.0,0
1986-05-21,M,M,0.01,0.0,0
1986-05-22,M,M,0.28,0.0,0
1986-05-23,M,M,0.13,0.0,0
1986-05-24,M,M,T,0.0,0
1986-05-25,M,M,0.00,0.0,0
1986-05-26,M,M,0.00,0.0,0
1986-05-27,M,M,0.00,0.0,0
1986-05-28,M,M,0.00,0.0,0
1986-05-29,M,M,0.00,0.0,0
1986-05-30,M,M,0.00,0.0,0
1986-05-31,M,M,0.00,0.0,0
1986-06-01,M,M,0.00,0.0,0
1986-06-02,M,M,0.00,0.0,0
1986-06-03,M,M,0.00,0.0,0
1986-06-04,M,M,0.00,0.0,0
1986-06-05,M,M,1.15,0.0,0
1986-06-06,M,M,0.12,0.0,0
1986-06-07,M,M,0.00,0.0,0
1986-06-08,M,M,0.00,0.0,0
1986-06-09,M,M,0.55,0.0,0
1986-06-10,M,M,0.00,0.0,0
1986-06-11,M,M,0.00,0.0,0
1986-06-12,M,M,0.00,0.0,0
1986-06-13,M,M,0.00,0.0,0
1986-06-14,M,M,0.34,0.0,0
1986-06-15,M,M,0.00,0.0,0
1986-06-16,M,M,0.00,0.0,0
1986-06-17,M,M,0.00,0.0,0
1986-06-18,M,M,0.01,0.0,0
1986-06-19,M,M,0.01,0.0,0
1986-06-20,M,M,T,0.0,0
1986-06-21,M,M,0.00,0.0,0
1986-06-22,M,M,0.00,0.0,0
1986-06-23,M,M,0.00,0.0,0
1986-06-24,M,M,0.00,0.0,0
1986-06-25,M,M,0.00,0.0,0
1986-06-26,M,M,0.00,0.0,0
1986-06-27,M,M,0.00,0.0,0
1986-06-28,M,M,0.00,0.0,0
1986-06-29,M,M,0.37,0.0,0
1986-06-30,M,M,0.12,0.0,0
1986-07-01,M,M,0.00,0.0,0
1986-07-02,M,M,0.00,0.0,0
1986-07-03,M,M,T,0.0,0
1986-07-04,M,M,0.00,0.0,0
1986-07-05,M,M,0.03,0.0,0
1986-07-06,M,M,0.03,0.0,0
1986-07-07,M,M,0.00,0.0,0
1986-07-08,M,M,0.00,0.0,0
1986-07-09,M,M,0.14,0.0,0
1986-07-10,M,M,0.00,0.0,0
1986-07-11,M,M,0.00,0.0,0
1986-07-12,M,M,0.00,0.0,0
1986-07-13,M,M,0.00,0.0,0
1986-07-14,M,M,0.00,0.0,0
1986-07-15,M,M,0.00,0.0,0
1986-07-16,M,M,0.00,0.0,0
1986-07-17,M,M,0.35,0.0,0
1986-07-18,M,M,0.00,0.0,0
1986-07-19,M,M,0.00,0.0,0
1986-07-20,M,M,0.00,0.0,0
1986-07-21,M,M,0.01,0.0,0
1986-07-22,M,M,0.00,0.0,0
1986-07-23,M,M,0.00,0.0,0
1986-07-24,M,M,0.00,0.0,0
1986-07-25,M,M,0.00,0.0,0
1986-07-26,M,M,T,0.0,0
1986-07-27,M,M,0.00,0.0,0
1986-07-28,M,M,0.00,0.0,0
1986-07-29,M,M,0.00,0.0,0
1986-07-30,M,M,0.00,0.0,0
1986-07-31,M,M,0.00,0.0,0
1986-08-01,M,M,0.00,0.0,0
1986-08-02,M,M,0.00,0.0,0
1986-08-03,M,M,0.00,0.0,0
1986-08-04,M,M,T,0.0,0
1986-08-05,M,M,0.00,0.0,0
1986-08-06,M,M,0.00,0.0,0
1986-08-07,M,M,0.00,0.0,0
1986-08-08,M,M,0.00,0.0,0
1986-08-09,M,M,0.01,0.0,0
1986-08-10,M,M,0.00,0.0,0
1986-08-11,M,M,T,0.0,0
1986-08-12,M,M,0.00,0.0,0
1986-08-13,M,M,0.08,0.0,0
1986-08-14,M,M,0.00,0.0,0
1986-08-15,M,M,0.00,0.0,0
1986-08-16,M,M,0.00,0.0,0
1986-08-17,M,M,0.00,0.0,0
1986-08-18,M,M,0.16,0.0,0
1986-08-19,M,M,0.00,0.0,0
1986-08-20,M,M,0.00,0.0,0
1986-08-21,M,M,0.00,0.0,0
1986-08-22,M,M,0.00,0.0,0
1986-08-23,M,M,0.01,0.0,0
1986-08-24,M,M,0.00,0.0,0
1986-08-25,M,M,0.00,0.0,0
1986-08-26,M,M,0.00,0.0,0
1986-08-27,M,M,0.00,0.0,0
1986-08-28,M,M,0.00,0.0,0
1986-08-29,M,M,0.00,0.0,0
1986-08-30,M,M,0.05,0.0,0
1986-08-31,M,M,0.32,0.0,0
1986-09-01,M,M,0.65,0.0,0
