date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2010-06-01,64,41,0.10,0.0,M
2010-06-02,66,41,0.00,0.0,0
2010-06-03,65,50,0.00,0.0,0
2010-06-04,66,45,0.00,0.0,0
2010-06-05,67,39,0.00,0.0,0
2010-06-06,69,38,0.00,0.0,0
2010-06-07,69,49,0.00,0.0,0
2010-06-08,69,37,0.00,0.0,0
2010-06-09,66,46,0.00,0.0,0
2010-06-10,63,41,0.00,0.0,0
2010-06-11,56,42,0.00,0.0,0
2010-06-12,65,31,0.00,0.0,0
2010-06-13,76,40,0.00,0.0,0
2010-06-14,76,44,0.00,0.0,0
2010-06-15,67,50,0.38,0.0,0
2010-06-16,57,45,0.88,0.0,0
2010-06-17,48,45,0.47,0.0,0
2010-06-18,58,41,0.12,0.0,0
2010-06-19,70,37,0.00,0.0,0
2010-06-20,68,45,0.00,0.0,0
2010-06-21,62,47,0.13,0.0,0
2010-06-22,70,45,T,0.0,0
2010-06-23,76,44,0.00,0.0,0
2010-06-24,82,49,0.00,0.0,0
2010-06-25,79,54,0.00,0.0,0
2010-06-26,79,50,0.00,0.0,0
2010-06-27,78,47,0.00,0.0,0
2010-06-28,86,52,0.00,0.0,0
2010-06-29,88,56,0.12,0.0,0
2010-06-30,88,57,0.31,0.0,0
2010-07-01,76,45,0.00,0.0,0
2010-07-02,69,47,0.35,0.0,0
2010-07-03,69,47,0.00,0.0,0
2010-07-04,69,44,0.00,0.0,0
2010-07-05,67,43,0.03,0.0,0
2010-07-06,68,47,0.00,0.0,0
2010-07-07,76,41,0.00,0.0,0
2010-07-08,81,45,0.00,0.0,0
2010-07-09,87,48,0.00,0.0,0
2010-07-10,80,53,0.02,0.0,0
2010-07-11,80,53,0.03,0.0,0
2010-07-12,83,54,0.00,0.0,0
2010-07-13,67,49,0.00,0.0,0
2010-07-14,77,50,0.00,0.0,0
2010-07-15,86,47,0.00,0.0,0
2010-07-16,90,47,0.00,0.0,0
2010-07-17,80,47,0.00,0.0,0
2010-07-18,M,M,M,0.0,0
2010-07-19,80,46,0.14A,0.0,0
2010-07-20,80,44,0.06,0.0,0
2010-07-21,71,49,T,0.0,0
2010-07-22,77,48,T,0.0,0
2010-07-23,71,52,0.12,0.0,0
2010-07-24,85,46,0.00,0.0,0
2010-07-25,89,47,0.00,0.0,0
2010-07-26,88,52,0.00,0.0,0
2010-07-27,72,57,0.00,0.0,0
2010-07-28,86,47,0.00,0.0,0
2010-07-29,87,47,0.00,0.0,0
2010-07-30,86,49,0.00,0.0,0
2010-07-31,87,49,T,0.0,0
2010-08-01,78,53,0.02,0.0,0
2010-08-02,80,49,0.36,0.0,0
2010-08-03,66,60,0.00,0.0,0
2010-08-04,72,54,0.00,0.0,0
2010-08-05,83,49,0.00,0.0,0
2010-08-06,86,60,0.00,0.0,0
2010-08-07,88,55,0.00,0.0,0
2010-08-08,82,50,0.00,0.0,0
2010-08-09,84,48,0.38,0.0,0
2010-08-10,78,52,0.00,0.0,0
2010-08-11,80,55,0.37,0.0,0
2010-08-12,77,53,0.00,0.0,0
2010-08-13,70,49,0.28,0.0,0
2010-08-14,66,52,0.14,0.0,0
2010-08-15,75,43,0.00,0.0,0
2010-08-16,81,43,0.00,0.0,0
2010-08-17,78,49,0.00,0.0,0
2010-08-18,87,45,0.00,0.0,0
2010-08-19,87,45,0.00,0.0,0
2010-08-20,87,45,0.00,0.0,0
2010-08-21,82,45,0.00,0.0,0
2010-08-22,75,53,T,0.0,0
2010-08-23,70,45,0.00,0.0,0
2010-08-24,78,40,0.00,0.0,0
2010-08-25,89,42,0.00,0.0,0
2010-08-26,95,51,0.00,0.0,0
2010-08-27,86,55,0.00,0.0,0
2010-08-28,66,45,0.00,0.0,0
2010-08-29,57,44,0.40,0.0,0
2010-08-30,56,43,0.00,0.0,0
2010-08-31,63,40,0.00,0.0,0
2010-09-01,63,40,0.00,0.0,0
2010-09-02,72,37,0.00,0.0,0
2010-09-03,82,34,0.00,0.0,0
2010-09-04,82,35,0.00,0.0,0
2010-09-05,63,42,0.47,0.0,0
2010-09-06,63,35,0.02,0.0,0
2010-09-07,67,35,0.00,0.0,0
2010-09-08,63,42,0.00,0.0,0
2010-09-09,52,46,0.78,0.0,0
2010-09-10,62,44,0.05,0.0,0
2010-09-11,70,41,0.00,0.0,0
2010-09-12,76,35,0.00,0.0,0
2010-09-13,71,40,0.00,0.0,0
2010-09-14,69,40,0.02,0.0,0
2010-09-15,72,40,0.03,0.0,0
2010-09-16,66,M,0.00,0.0,0
2010-09-17,44,33,0.36,0.0,0
2010-09-18,66,33,0.02,0.0,0
2010-09-19,57,39,0.00,0.0,0
2010-09-20,64,45,0.05,0.0,0
2010-09-21,49,38,0.06,0.0,0
2010-09-22,49,40,0.02,0.0,0
2010-09-23,63,30,T,0.0,0
2010-09-24,64,46,0.00,0.0,0
2010-09-25,81,45,0.00,0.0,0
2010-09-26,83,45,0.00,0.0,0
2010-09-27,79,41,0.00,0.0,0
2010-09-28,84,41,0.00,0.0,0
2010-09-29,73,41,0.00,0.0,0
2010-09-30,M,39,0.00,0.0,0
2010-10-01,69,40,0.00,0.0,0
2010-10-02,85,38,0.00,0.0,0
2010-10-03,77,45,0.00,0.0,0
2010-10-04,74,44,0.16,0.0,0
2010-10-05,55,44,0.04,0.0,0
2010-10-06,72,38,0.01,0.0,0
2010-10-07,76,44,0.00,0.0,0
2010-10-08,66,41,0.00,0.0,0
2010-10-09,71,44,0.00,0.0,0
2010-10-10,74,47,0.00,0.0,0
2010-10-11,61,38,0.01,0.0,0
2010-10-12,61,34,0.00,0.0,0
2010-10-13,74,40,0.00,0.0,0
2010-10-14,77,37,0.00,0.0,0
2010-10-15,63,34,0.00,0.0,0
2010-10-16,50,21,0.00,0.0,0
2010-10-17,56,21,0.00,0.0,0
2010-10-18,61,20,0.00,0.0,0
2010-10-19,68,37,0.00,0.0,0
2010-10-20,68,29,0.00,0.0,0
2010-10-21,75,36,0.00,0.0,0
2010-10-22,75,33,0.00,0.0,0
2010-10-23,55,32,0.00,0.0,0
2010-10-24,56,38,0.00,0.0,0
2010-10-25,51,36,0.00,0.0,0
2010-10-26,44,30,0.00,0.0,0
2010-10-27,50,24,0.00,0.0,0
2010-10-28,55,21,0.00,0.0,0
2010-10-29,56,33,0.00,0.0,0
2010-10-30,60,25,0.00,0.0,0
2010-10-31,58,38,0.00,0.0,0
2010-11-01,58,29,0.00,0.0,0
2010-11-02,62,41,0.00,0.0,0
2010-11-03,55,21,0.00,0.0,0
2010-11-04,70,19,0.00,0.0,0
2010-11-05,74,42,0.00,0.0,0
2010-11-06,70,42,0.00,0.0,0
2010-11-07,67,43,0.00,0.0,0
2010-11-08,48,33,0.06,0.0,0
2010-11-09,43,22,0.00,0.0,0
2010-11-10,37,13,0.00,0.0,0
2010-11-11,43,15,0.00,0.0,0
2010-11-12,46,15,0.00,0.0,0
2010-11-13,47,22,0.00,0.0,0
2010-11-14,49,29,0.00,0.0,0
2010-11-15,49,29,0.00,0.0,0
2010-11-16,42,16,0.12,M,1
2010-11-17,16,7,0.08,2.0,2
2010-11-18,16,-5,M,1.0,M
2010-11-19,-0,-19,0.06,M,3
2010-11-20,3,-1,0.12,1.0,4
2010-11-21,3,-17,0.00,0.0,M
2010-11-22,-2,-12,T,1.0,4
2010-11-23,-7,-20,0.00,0.0,M
2010-11-24,5,-23,0.00,0.0,M
2010-11-25,29,4,0.00,0.0,M
2010-11-26,40,27,0.00,0.0,M
2010-11-27,35,21,0.00,0.0,M
2010-11-28,26,18,0.21,1.0,4
2010-11-29,31,2,0.00,0.0,M
2010-11-30,37,M,0.00,0.0,M
2010-12-01,43,22,0.00,0.0,M
