date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1951-05-24,M,M,0.02,M,M
1951-05-25,M,M,0.00,M,M
1951-05-26,M,M,0.00,M,M
1951-05-27,M,M,0.00,M,M
1951-05-28,M,M,0.00,M,M
1951-05-29,M,M,0.00,M,M
1951-05-30,M,M,0.05,M,M
1951-05-31,M,M,0.00,M,M
1951-06-01,M,M,0.00,M,M
1951-06-02,M,M,0.00,M,M
1951-06-03,M,M,0.09,M,M
1951-06-04,M,M,0.19,M,M
1951-06-05,M,M,1.10,M,M
1951-06-06,M,M,0.58,M,M
1951-06-07,M,M,0.00,M,M
1951-06-08,M,M,0.00,M,M
1951-06-09,M,M,0.05,M,M
1951-06-10,M,M,0.02,M,M
1951-06-11,M,M,0.00,M,M
1951-06-12,M,M,0.00,M,M
1951-06-13,M,M,0.00,M,M
1951-06-14,M,M,0.00,M,M
1951-06-15,M,M,0.29,M,M
1951-06-16,M,M,0.01,M,M
1951-06-17,M,M,0.00,M,M
1951-06-18,M,M,0.22,M,M
1951-06-19,M,M,0.30,M,M
1951-06-20,M,M,0.10,M,M
1951-06-21,M,M,0.05,M,M
1951-06-22,M,M,0.20,M,M
1951-06-23,M,M,0.64,M,M
1951-06-24,M,M,3.06,M,M
1951-06-25,M,M,0.02,M,M
1951-06-26,M,M,0.12,M,M
1951-06-27,M,M,0.05,M,M
1951-06-28,M,M,0.00,M,M
1951-06-29,M,M,0.00,M,M
1951-06-30,M,M,0.02,M,M
1951-07-01,M,M,0.13,M,M
1951-07-02,M,M,0.02,M,M
1951-07-03,M,M,0.00,M,M
1951-07-04,M,M,0.00,M,M
1951-07-05,M,M,0.40,M,M
1951-07-06,M,M,0.00,M,M
1951-07-07,M,M,0.00,M,M
1951-07-08,M,M,0.34,M,M
1951-07-09,M,M,0.71,M,M
1951-07-10,M,M,0.00,M,M
1951-07-11,M,M,0.00,M,M
1951-07-12,M,M,0.00,M,M
1951-07-13,M,M,0.00,M,M
1951-07-14,M,M,0.00,M,M
1951-07-15,M,M,0.00,M,M
1951-07-16,M,M,0.00,M,M
1951-07-17,M,M,0.00,M,M
1951-07-18,M,M,0.00,M,M
1951-07-19,M,M,0.00,M,M
1951-07-20,M,M,0.00,M,M
1951-07-21,M,M,0.00,M,M
1951-07-22,M,M,0.00,M,M
1951-07-23,M,M,0.00,M,M
1951-07-24,M,M,0.00,M,M
1951-07-25,M,M,0.19,M,M
1951-07-26,M,M,0.00,M,M
1951-07-27,M,M,0.00,M,M
1951-07-28,M,M,0.00,M,M
1951-07-29,M,M,0.00,M,M
1951-07-30,M,M,0.00,M,M
1951-07-31,M,M,0.00,M,M
1951-08-01,M,M,0.00,M,M
1951-08-02,M,M,0.00,M,M
1951-08-03,M,M,0.00,M,M
1951-08-04,M,M,0.00,M,M
1951-08-05,M,M,0.00,M,M
1951-08-06,M,M,0.00,M,M
1951-08-07,M,M,0.00,M,M
1951-08-08,M,M,0.26,M,M
1951-08-09,M,M,0.10,M,M
1951-08-10,M,M,0.00,M,M
1951-08-11,M,M,0.09,M,M
1951-08-12,M,M,0.05,M,M
1951-08-13,M,M,0.04,M,M
1951-08-14,M,M,0.00,M,M
1951-08-15,M,M,0.00,M,M
1951-08-16,M,M,0.00,M,M
1951-08-17,M,M,0.00,M,M
1951-08-18,M,M,0.00,M,M
1951-08-19,M,M,0.00,M,M
1951-08-20,M,M,0.00,M,M
1951-08-21,M,M,0.00,M,M
1951-08-22,M,M,0.03,M,M
1951-08-23,M,M,0.05,M,M
1951-08-24,M,M,0.00,M,M
1951-08-25,M,M,0.02,M,M
1951-08-26,M,M,0.23,M,M
1951-08-27,M,M,0.39,M,M
1951-08-28,M,M,1.01,M,M
1951-08-29,M,M,0.31,M,M
1951-08-30,M,M,0.87,M,M
1951-08-31,M,M,0.05,M,M
1951-09-01,M,M,0.29,M,M
1951-09-02,M,M,0.14,M,M
1951-09-03,M,M,0.02,M,M
1951-09-04,M,M,0.00,M,M
1951-09-05,M,M,0.00,M,M
1951-09-06,M,M,0.00,M,M
1951-09-07,M,M,0.00,M,M
1951-09-08,M,M,0.04,M,M
1951-09-09,M,M,0.00,M,M
1951-09-10,M,M,0.26,M,M
1951-09-11,M,M,0.12,M,M
1951-09-12,M,M,0.00,M,M
1951-09-13,M,M,0.00,M,M
1951-09-14,M,M,0.00,M,M
1951-09-15,M,M,0.00,M,M
1951-09-16,M,M,0.00,M,M
1951-09-17,M,M,0.00,M,M
1951-09-18,M,M,0.00,M,M
1951-09-19,M,M,0.18,M,M
1951-09-20,M,M,0.33,M,M
1951-09-21,M,M,0.05,M,M
1951-09-22,M,M,0.07,M,M
1951-09-23,M,M,S,M,M
1951-09-26,M,M,0.63A,M,M
1951-09-27,M,M,0.00,M,M
1951-09-28,M,M,0.00,M,M
1951-09-29,M,M,0.00,M,M
1951-09-30,M,M,0.00,M,M
1951-10-01,M,M,0.09,M,M
1951-10-02,M,M,0.13,M,M
1951-10-03,M,M,0.65,M,M
1951-10-04,M,M,0.00,M,M
1951-10-05,M,M,0.00,M,M
1951-10-06,M,M,0.00,M,M
1951-10-07,M,M,0.00,M,M
1951-10-08,M,M,0.00,M,M
1951-10-09,M,M,0.00,M,M
1951-10-10,M,M,0.00,M,M
1951-10-11,M,M,0.00,M,M
1951-10-12,M,M,0.05,M,M
1951-10-13,M,M,0.00,M,M
1951-10-14,M,M,0.07,M,M
1951-10-15,M,M,0.00,M,M
1951-10-16,M,M,S,M,M
1951-10-19,M,M,0.63A,M,M
1951-10-20,M,M,0.01,M,M
1951-10-21,M,M,0.05,M,M
1951-10-22,M,M,0.00,M,M
1951-10-23,M,M,0.05,M,M
1951-10-24,M,M,0.00,M,M
1951-10-25,M,M,0.00,M,M
1951-10-26,M,M,0.00,M,M
1951-10-27,M,M,0.00,M,M
1951-10-28,M,M,0.10,M,M
1951-10-29,M,M,0.27,M,M
1951-10-30,M,M,0.03,M,M
1951-10-31,M,M,0.00,M,M
1951-11-01,M,M,0.00,M,M
1951-11-02,M,M,0.00,M,M
1951-11-03,M,M,0.12,M,M
1951-11-04,M,M,0.00,M,M
1951-11-05,M,M,0.00,M,M
1951-11-06,M,M,0.00,M,M
1951-11-07,M,M,0.00,M,M
1951-11-08,M,M,0.00,M,M
1951-11-09,M,M,0.00,M,M
1951-11-10,M,M,0.00,M,M
1951-11-11,M,M,0.00,M,M
1951-11-12,M,M,0.00,M,M
1951-11-13,M,M,0.00,M,M
1951-11-14,M,M,0.00,M,M
1951-11-15,M,M,0.04,M,M
1951-11-16,M,M,0.00,M,M
1951-11-17,M,M,0.00,M,M
1951-11-18,M,M,0.00,M,M
1951-11-19,M,M,0.00,M,M
1951-11-20,M,M,0.00,M,M
1951-11-21,M,M,0.03,M,M
1951-11-22,M,M,0.00,M,M
1951-11-23,M,M,0.00,M,M
1951-11-24,M,M,0.00,M,M
1951-11-25,M,M,0.00,M,M
1951-11-26,M,M,0.00,M,M
1951-11-27,M,M,0.00,M,M
1951-11-28,M,M,0.02,M,M
1951-11-29,M,M,0.00,M,M
