date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2001-06-01,79,39,0.00,0.0,M
2001-06-02,73,52,0.00,0.0,0
2001-06-03,75,46,0.20,0.0,0
2001-06-04,62,47,0.23,0.0,0
2001-06-05,55,46,0.48,0.0,0
2001-06-06,56,46,0.21,0.0,0
2001-06-07,69,44,0.02,0.0,0
2001-06-08,76,45,0.00,0.0,0
2001-06-09,82,51,0.07,0.0,0
2001-06-10,80,50,0.34,0.0,0
2001-06-11,83,48,0.00,0.0,0
2001-06-12,83,48,0.04,0.0,0
2001-06-13,83,47,0.30,0.0,0
2001-06-14,60,42,0.14,0.0,0
2001-06-15,69,48,0.13,0.0,0
2001-06-16,70,46,0.00,0.0,0
2001-06-17,73,46,0.00,0.0,0
2001-06-18,76,50,0.12,0.0,0
2001-06-19,76,51,0.02,0.0,0
2001-06-20,75,43,0.00,0.0,0
2001-06-21,81,46,0.00,0.0,0
2001-06-22,89,64,0.00,0.0,0
2001-06-23,94,57,0.00,0.0,0
2001-06-24,90,55,0.00,0.0,0
2001-06-25,87,55,T,0.0,0
2001-06-26,83,45,0.00,0.0,0
2001-06-27,77,59,T,0.0,0
2001-06-28,77,59,0.40,0.0,0
2001-06-29,88,59,0.00,0.0,0
2001-06-30,87,53,0.00,0.0,0
2001-07-01,79,55,0.00,0.0,0
2001-07-02,87,55,0.00,0.0,0
2001-07-03,87,52,0.00,0.0,0
2001-07-04,90,58,0.00,0.0,0
2001-07-05,96,67,0.00,0.0,0
2001-07-06,96,50,0.00,0.0,0
2001-07-07,91,51,0.04,0.0,0
2001-07-08,94,55,0.00,0.0,0
2001-07-09,98,53,0.00,0.0,0
2001-07-10,97,68,0.00,0.0,0
2001-07-11,72,58,0.19,0.0,0
2001-07-12,91,57,0.00,0.0,0
2001-07-13,86,55,1.18,0.0,0
2001-07-14,86,59,T,0.0,0
2001-07-15,90,58,0.00,0.0,0
2001-07-16,89,55,0.02,0.0,0
2001-07-17,86,56,0.22,0.0,0
2001-07-18,79,55,0.60,0.0,0
2001-07-19,82,53,0.00,0.0,0
2001-07-20,82,56,T,0.0,0
2001-07-21,84,59,0.31,0.0,0
2001-07-22,87,54,0.70,0.0,0
2001-07-23,87,55,0.00,0.0,0
2001-07-24,89,53,0.00,0.0,0
2001-07-25,85,53,0.00,0.0,0
2001-07-26,86,50,0.00,0.0,0
2001-07-27,74,51,0.00,0.0,0
2001-07-28,87,64,0.00,0.0,0
2001-07-29,96,54,0.00,0.0,0
2001-07-30,96,54,0.00,0.0,0
2001-07-31,74,54,0.25,0.0,0
2001-08-01,67,48,0.16,0.0,0
2001-08-02,81,55,0.00,0.0,0
2001-08-03,91,55,0.00,0.0,0
2001-08-04,99,65,0.00,0.0,0
2001-08-05,98,58,0.03,0.0,0
2001-08-06,89,56,0.00,0.0,0
2001-08-07,98,64,0.00,0.0,0
2001-08-08,109,63,0.00,0.0,0
2001-08-09,76,41,0.00,0.0,0
2001-08-10,75,43,0.00,0.0,0
2001-08-11,88,53,0.00,0.0,0
2001-08-12,90,48,0.00,0.0,0
2001-08-13,93,57,0.00,0.0,0
2001-08-14,101,62,0.00,0.0,0
2001-08-15,93,55,0.00,0.0,0
2001-08-16,84,51,0.00,0.0,0
2001-08-17,93,49,0.00,0.0,0
2001-08-18,91,49,0.00,0.0,0
2001-08-19,96,59,T,0.0,0
2001-08-20,89,45,0.00,0.0,0
2001-08-21,90,52,0.00,0.0,0
2001-08-22,90,51,0.00,0.0,0
2001-08-23,98,64,0.00,0.0,0
2001-08-24,100,66,0.00,0.0,0
2001-08-25,87,43,0.00,0.0,0
2001-08-26,89,45,0.00,0.0,0
2001-08-27,91,48,0.00,0.0,0
2001-08-28,97,53,0.00,0.0,0
2001-08-29,95,60,0.00,0.0,0
2001-08-30,83,43,0.00,0.0,0
2001-08-31,85,49,0.00,0.0,0
2001-09-01,95,53,0.00,0.0,0
2001-09-02,95,56,0.00,0.0,0
2001-09-03,78,44,0.00,0.0,0
2001-09-04,98,48,0.00,0.0,0
2001-09-05,93,56,0.00,0.0,0
2001-09-06,78,50,0.09,0.0,0
2001-09-07,67,47,0.00,0.0,0
2001-09-08,63,45,0.06,0.0,0
2001-09-09,70,43,0.00,0.0,0
2001-09-10,68,34,0.00,0.0,0
2001-09-11,74,42,0.00,0.0,0
2001-09-12,69,37,0.00,0.0,0
2001-09-13,72,37,0.00,0.0,0
