date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-06-09,85,51,0.00,0.0,0
2000-06-10,75,40,0.00,0.0,0
2000-06-11,73,42,T,0.0,0
2000-06-12,65,42,T,0.0,0
2000-06-13,67,43,0.18,0.0,0
2000-06-14,72,43,0.10,0.0,0
2000-06-16,64,45,T,0.0,0
2000-06-17,60,37,T,0.0,0
2000-06-18,69,45,0.00,0.0,0
2000-06-19,79,45,0.00,0.0,0
2000-06-20,67,46,0.08,0.0,0
2000-06-21,71,45,0.00,0.0,0
2000-06-22,81,49,0.00,0.0,0
2000-06-23,81,49,0.00,0.0,0
2000-06-24,72,46,0.00,0.0,0
2000-06-25,70,47,0.10,0.0,0
2000-06-27,68,38,0.00,0.0,0
2000-06-28,74,41,0.00,0.0,0
2000-06-29,82,52,0.00,0.0,0
2000-06-30,82,50,0.00,0.0,0
2000-07-01,91,53,0.00,0.0,0
2000-07-02,85,55,0.00,0.0,0
2000-07-03,83,52,T,0.0,0
2000-07-04,73,48,0.21,0.0,0
2000-07-05,77,46,0.00,0.0,0
2000-07-06,74,55,0.03,0.0,0
2000-07-07,79,46,0.00,0.0,0
2000-07-08,80,45,0.00,0.0,0
2000-07-09,84,54,0.07,0.0,0
2000-07-10,77,55,0.08,0.0,0
2000-07-11,83,47,0.00,0.0,0
2000-07-12,85,48,0.00,0.0,0
2000-07-13,93,48,0.00,0.0,0
2000-07-14,99,61,0.00,0.0,0
2000-07-15,99,60,0.00,0.0,0
2000-07-16,79,46,0.00,0.0,0
2000-07-17,81,61,0.00,0.0,0
2000-07-18,82,54,0.00,0.0,0
2000-07-19,85,59,0.00,0.0,0
2000-07-20,85,58,T,0.0,0
2000-07-21,86,56,0.21,0.0,0
2000-07-22,89,54,0.00,0.0,0
2000-07-23,94,58,0.00,0.0,0
2000-07-24,94,52,0.00,0.0,0
2000-07-25,84,51,0.00,0.0,0
2000-07-26,87,52,0.00,0.0,0
2000-07-27,93,60,0.00,0.0,0
2000-07-28,95,56,0.00,0.0,0
2000-07-29,M,M,0.00,0.0,0
2000-07-30,97,58,0.00,0.0,0
2000-07-31,97,76,0.00,0.0,0
2000-08-01,94,68,0.00,0.0,0
2000-08-02,97,61,0.00,0.0,0
2000-08-03,86,58,0.00,0.0,0
2000-08-04,90,58,0.00,0.0,0
2000-08-05,78,54,0.17,0.0,0
2000-08-06,84,54,0.00,0.0,0
2000-08-08,82,54,0.00,0.0,0
2000-08-09,87,55,0.00,0.0,0
2000-08-10,98,55,0.00,0.0,0
2000-08-11,98,62,0.00,0.0,0
2000-08-12,79,46,0.40,0.0,0
2000-08-13,83,50,0.00,0.0,0
2000-08-14,84,39,0.00,0.0,0
2000-08-15,76,42,0.00,0.0,0
2000-08-16,89,34,0.00,0.0,0
2000-08-17,77,41,0.00,0.0,0
2000-08-18,82,47,0.00,0.0,0
2000-08-19,89,47,0.00,0.0,0
2000-08-20,80,53,0.00,0.0,0
2000-08-21,74,40,0.00,0.0,0
2000-08-22,76,40,0.00,0.0,0
2000-08-23,83,46,0.00,0.0,0
2000-08-24,90,48,0.00,0.0,0
2000-08-25,M,M,0.00,0.0,0
2000-08-26,88,51,0.00,0.0,0
2000-08-27,92,43,0.00,0.0,0
2000-08-28,73,47,0.11,0.0,0
2000-08-29,73,35,0.00,0.0,0
2000-08-30,78,50,0.00,0.0,0
2000-08-31,60,38,0.00,0.0,0
2000-09-01,75,41,0.00,0.0,0
2000-09-02,75,41,0.00,0.0,0
