date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1981-05-01,71,41,0.12,M,M
1981-05-02,62,42,0.00,M,M
1981-05-03,55,32,0.00,M,M
1981-05-04,50,28,0.26,M,M
1981-05-05,50,28,0.08,M,M
1981-05-06,45,32,0.47,M,M
1981-05-07,45,33,0.39,M,M
1981-05-08,42,31,0.21,M,M
1981-05-09,54,31,0.00,M,M
1981-05-10,50,32,0.30,M,M
1981-05-11,44,34,0.01,M,M
1981-05-12,52,31,0.01,M,M
1981-05-13,62,31,0.00,M,M
1981-05-14,63,44,0.00,M,M
1981-05-15,62,35,3.17,M,M
1981-05-16,38,33,0.30,M,M
1981-05-17,60,33,0.02,M,M
1981-05-18,67,34,0.03,M,M
1981-05-19,66,36,0.06,M,M
1981-05-20,62,34,0.16,M,M
1981-05-21,58,46,0.29,M,M
1981-05-22,65,44,0.41,M,M
1981-05-23,65,45,0.33,M,M
1981-05-24,71,44,T,M,M
1981-05-25,71,38,T,M,M
1981-05-26,66,47,0.13,M,M
1981-05-27,68,38,0.00,M,M
1981-05-28,66,40,0.00,M,M
1981-05-29,74,37,0.00,M,M
1981-05-30,74,38,0.00,M,M
1981-05-31,71,48,0.00,M,M
1981-06-01,58,40,0.08,0.0,0
1981-06-02,70,35,T,0.0,0
1981-06-03,64,34,T,0.0,0
1981-06-04,60,43,0.10,0.0,0
1981-06-05,68,44,0.00,0.0,0
1981-06-06,66,44,0.13,0.0,0
1981-06-07,56,43,T,0.0,0
1981-06-08,58,38,0.02,0.0,0
1981-06-09,57,39,0.18,0.0,0
1981-06-10,59,43,0.01,0.0,0
1981-06-11,63,36,0.07,0.0,0
1981-06-12,60,39,0.47,0.0,0
1981-06-13,44,38,0.26,0.0,0
1981-06-14,58,32,1.40,1.0,0
1981-06-15,63,44,0.00,0.0,0
1981-06-16,57,45,0.05,0.0,0
1981-06-17,55,38,0.05,0.0,0
1981-06-18,54,40,T,0.0,0
1981-06-19,60,41,0.03,0.0,0
1981-06-20,61,42,0.00,0.0,0
1981-06-21,61,40,0.00,0.0,0
1981-06-22,57,43,0.29,0.0,0
1981-06-23,59,34,0.05,0.0,0
1981-06-24,69,41,0.00,0.0,0
1981-06-25,82,44,0.00,0.0,0
1981-06-26,81,M,0.00,0.0,0
1981-06-27,78,47,0.00,0.0,0
1981-06-28,66,39,0.12,0.0,0
1981-06-29,74,40,0.00,0.0,0
1981-06-30,84,46,0.00,0.0,0
1981-07-01,83,52,0.00,0.0,0
1981-07-02,78,37,0.00,0.0,0
1981-07-03,80,43,0.00,0.0,0
1981-07-04,84,59,0.00,0.0,0
1981-07-05,88,49,0.00,0.0,0
1981-07-06,86,57,T,0.0,0
1981-07-07,66,40,0.05,0.0,0
1981-07-08,65,39,0.05,0.0,0
1981-07-09,80,37,0.00,0.0,0
1981-07-10,71,42,0.00,0.0,0
1981-07-11,78,43,0.02,0.0,0
1981-07-12,82,38,0.00,0.0,0
1981-07-13,76,50,0.03,0.0,0
1981-07-14,66,46,0.02,0.0,0
1981-07-15,72,51,0.00,0.0,0
1981-07-16,73,45,0.00,0.0,0
1981-07-17,82,54,0.00,0.0,0
1981-07-18,83,45,0.00,0.0,0
1981-07-19,M,M,0.00,0.0,0
1981-07-20,65,49,T,0.0,0
1981-07-21,63,45,T,0.0,0
1981-07-22,74,48,T,0.0,0
1981-07-23,78,48,0.23,0.0,0
1981-07-24,58,48,0.39,0.0,0
1981-07-25,55,47,0.57,0.0,0
