date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1985-10-01,59,27,0.00,0.0,M
1985-10-02,59,35,0.02,0.0,M
1985-10-03,57,38,T,0.0,M
1985-10-04,54,29,0.00,0.0,M
1985-10-05,58,29,0.00,0.0,M
1985-10-06,57,33,0.10,M,M
1985-10-07,33,22,M,M,M
1985-10-08,26,16,M,M,M
1985-10-09,25,6,0.05,4.0,M
1985-10-10,44,17,0.00,0.0,M
1985-10-11,56,32,0.00,0.0,M
1985-10-12,56,33,0.00,0.0,M
1985-10-13,55,30,0.00,0.0,M
1985-10-14,55,31,0.00,0.0,M
1985-10-15,47,35,0.22,0.0,M
1985-10-16,55,34,T,0.0,M
1985-10-17,60,30,T,0.0,M
1985-10-18,60,31,0.00,0.0,M
1985-10-19,68,38,0.00,0.0,M
1985-10-20,67,43,0.00,0.0,M
1985-10-21,65,40,0.00,0.0,M
1985-10-22,60,43,0.00,0.0,M
1985-10-23,53,37,0.00,0.0,M
1985-10-24,54,30,0.00,0.0,M
1985-10-25,64,30,T,0.0,M
1985-10-26,61,22,0.00,0.0,M
1985-10-27,69,34,0.00,0.0,M
1985-10-28,66,42,0.00,0.0,M
1985-10-29,51,23,0.00,0.0,M
1985-10-30,58,32,0.00,0.0,M
1985-10-31,54,26,0.00,0.0,M
1985-11-01,48,22,0.00,0.0,M
1985-11-02,50,32,0.00,0.0,M
1985-11-03,60,31,0.00,0.0,M
1985-11-04,58,40,0.00,0.0,M
1985-11-05,55,29,0.07,3.0,M
1985-11-06,42,25,0.00,0.0,M
1985-11-07,38,22,0.00,0.0,M
1985-11-08,25,17,0.00,0.0,M
1985-11-09,22,14,0.12,3.0,M
1985-11-10,15,-4,0.04,1.5,M
1985-11-11,13,8,0.04,2.5,M
1985-11-12,12,-6,0.00,0.0,M
1985-11-13,22,-2,0.00,0.0,M
1985-11-14,30,10,0.00,0.0,M
1985-11-15,37,10,0.00,0.0,M
1985-11-16,38,22,0.00,0.0,M
1985-11-17,32,6,0.00,0.0,M
1985-11-18,6,1,0.37,3.0,M
1985-11-19,3,1,0.10,1.5,M
1985-11-20,2,-17,T,T,M
1985-11-21,-3,-15,0.03,0.5,M
1985-11-22,-4,-25,T,T,M
1985-11-23,-0,-27,0.00,0.0,M
