date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2007-04-01,36,14,0.08,1.0,10
2007-04-02,43,27,0.48,4.0,12
2007-04-03,36,6,0.00,0.0,12
2007-04-04,41,23,0.00,0.0,11
2007-04-05,50,24,0.00,0.0,8
2007-04-06,53,22,0.00,0.0,8
2007-04-07,57,17,0.00,0.0,6
2007-04-08,59,19,0.00,0.0,6
2007-04-09,59,19,0.00,0.0,0
2007-04-10,47,29,0.14,T,0
2007-04-11,47,28,0.00,0.0,0
2007-04-12,43,24,0.00,0.0,0
2007-04-13,46,23,0.00,0.0,0
2007-04-14,55,15,0.00,0.0,0
2007-04-15,57,14,0.00,0.0,0
2007-04-16,62,33,0.00,0.0,0
2007-04-17,60,33,0.00,0.0,0
2007-04-18,62,23,0.17,0.0,0
2007-04-19,M,19,0.00,0.0,0
2007-04-20,M,19,0.52,2.0,0
2007-04-21,44,M,0.14,1.0,M
2007-04-22,M,34,0.00,0.0,M
2007-04-23,51,37,0.08,0.0,0
2007-04-24,50,31,0.00,0.0,0
2007-04-25,61,32,0.00,0.0,0
2007-04-26,61,32,0.07,0.0,0
2007-04-27,58,34,0.00,0.0,0
2007-04-28,62,33,0.00,0.0,0
2007-04-29,73,36,0.00,0.0,0
2007-04-30,M,M,0.00,0.0,0
2007-05-01,74,33,0.00,0.0,0
2007-05-02,74,33,0.00,0.0,0
2007-05-03,70,39,0.00,0.0,0
2007-05-04,45,30,0.09,M,T
2007-05-05,48,34,0.02,M,T
2007-05-06,52,33,0.00,0.0,0
2007-05-07,59,29,0.00,0.0,0
2007-05-08,66,33,0.00,0.0,0
2007-05-09,72,33,0.00,0.0,0
2007-05-10,74,35,0.00,0.0,0
2007-05-11,75,37,0.00,0.0,0
2007-05-12,78,38,0.00,0.0,0
2007-05-13,79,35,0.00,0.0,0
2007-05-14,73,36,0.00,0.0,0
2007-05-15,73,31,0.00,0.0,0
2007-05-16,69,33,0.00,0.0,0
2007-05-17,75,33,0.00,0.0,0
2007-05-18,78,41,0.00,0.0,0
2007-05-19,78,37,0.00,0.0,0
2007-05-20,78,37,0.00,0.0,0
2007-05-21,74,45,0.00,0.0,0
2007-05-22,49,34,0.00,0.0,0
2007-05-23,41,33,0.00,0.0,0
2007-05-24,68,29,0.00,0.0,0
2007-05-25,75,41,0.00,0.0,0
2007-05-26,63,32,0.00,0.0,0
2007-05-27,65,M,0.00,0.0,0
2007-05-28,M,M,0.00,0.0,0
2007-05-29,M,M,0.00,0.0,0
2007-05-30,M,M,0.00,0.0,0
2007-05-31,68,24,0.00,0.0,0
2007-06-01,70,30,0.00,0.0,0
2007-06-02,74,31,0.00,0.0,0
2007-06-03,78,36,0.26,0.0,0
2007-06-04,76,37,0.00,0.0,0
2007-06-05,76,37,0.00,0.0,0
2007-06-06,71,45,0.11,0.0,0
2007-06-07,49,M,0.41,0.0,0
2007-06-08,53,33,0.01,0.0,0
2007-06-09,62,33,0.00,0.0,0
2007-06-10,69,43,0.00,0.0,0
2007-06-11,70,48,0.02,0.0,0
2007-06-12,72,38,0.00,0.0,0
2007-06-13,M,M,0.00,0.0,0
2007-06-14,71,35,0.00,0.0,0
2007-06-15,74,35,0.00,0.0,0
2007-06-16,M,M,T,0.0,0
2007-06-17,82,39,T,0.0,0
2007-06-18,60,34,0.00,0.0,0
2007-06-19,M,33,0.00,0.0,0
2007-06-20,79,38,0.00,0.0,0
2007-06-21,86,38,0.00,0.0,0
2007-06-22,87,40,0.00,0.0,0
2007-06-23,M,M,0.00,0.0,0
2007-06-24,80,38,0.00,0.0,0
2007-06-25,80,43,0.00,0.0,0
2007-06-26,72,33,0.00,0.0,0
2007-06-27,79,36,0.00,0.0,0
2007-06-28,89,41,0.00,0.0,0
2007-06-29,M,41,0.00,0.0,0
2007-06-30,M,43,0.00,0.0,0
2007-07-01,86,43,0.00,0.0,0
2007-07-02,87,40,0.00,0.0,0
2007-07-03,89,43,0.00,0.0,0
2007-07-04,85,45,0.00,0.0,0
2007-07-05,M,M,0.00,0.0,0
2007-07-06,90,52,0.00,0.0,0
2007-07-07,M,M,M,0.0,0
2007-07-08,89,47,0.02A,0.0,0
2007-07-09,85,45,0.00,0.0,0
2007-07-10,M,M,0.00,0.0,0
2007-07-11,88,41,0.00,0.0,0
2007-07-12,88,46,0.00,0.0,0
2007-07-13,88,51,1.30,0.0,0
2007-07-14,89,51,0.40,0.0,0
2007-07-15,87,44,0.00,0.0,0
2007-07-16,93,47,0.00,0.0,0
2007-07-17,89,56,0.00,0.0,0
2007-07-18,89,48,0.00,0.0,0
2007-07-19,92,54,0.00,0.0,0
2007-07-20,92,41,0.00,0.0,0
2007-07-21,92,42,0.00,0.0,0
2007-07-22,92,42,0.00,0.0,0
2007-07-23,94,46,0.00,0.0,0
2007-07-24,89,56,0.00,0.0,0
2007-07-25,M,M,M,0.0,0
2007-07-26,88,50,0.51A,0.0,0
2007-07-27,83,54,0.77,0.0,0
2007-07-28,M,M,0.00,0.0,0
2007-07-29,M,M,0.00,0.0,0
2007-07-30,85,45,0.00,0.0,0
2007-07-31,92,54,0.00,0.0,0
2007-08-01,84,49,0.00,0.0,0
2007-08-02,89,47,0.00,0.0,0
2007-08-03,89,47,0.40,0.0,0
2007-08-04,89,44,0.10,0.0,0
2007-08-05,89,41,0.03,0.0,0
2007-08-06,74,44,0.29,0.0,0
2007-08-07,82,47,T,0.0,0
2007-08-08,82,40,0.03,0.0,0
2007-08-09,86,39,0.00,0.0,0
2007-08-10,83,40,0.00,0.0,0
2007-08-11,M,M,0.00,0.0,0
2007-08-12,M,42,0.00,0.0,0
2007-08-13,M,M,0.00,0.0,0
2007-08-14,89,45,0.00,0.0,0
2007-08-15,89,41,0.00,0.0,0
2007-08-16,M,M,M,0.0,0
2007-08-17,85,40,0.18A,0.0,0
2007-08-18,68,43,0.17,0.0,0
2007-08-19,72,40,0.04,0.0,0
2007-08-20,79,47,0.02,0.0,0
2007-08-21,68,47,0.03,0.0,0
2007-08-22,71,41,0.00,0.0,0
2007-08-23,M,M,M,0.0,0
2007-08-24,72,36,0.09A,0.0,0
2007-08-25,72,35,0.00,0.0,0
2007-08-26,80,40,0.00,0.0,0
2007-08-27,83,40,0.00,0.0,0
2007-08-28,79,40,0.00,0.0,0
2007-08-29,78,36,0.00,0.0,0
2007-08-30,84,36,0.00,0.0,0
2007-08-31,87,52,0.03,0.0,0
2007-09-01,87,40,0.00,0.0,0
2007-09-02,86,46,0.00,0.0,0
2007-09-03,87,39,0.00,0.0,0
2007-09-04,75,47,0.39,0.0,0
2007-09-05,64,47,0.00,0.0,0
2007-09-06,M,M,0.00,0.0,0
2007-09-07,M,M,0.00,0.0,0
2007-09-08,M,M,0.00,0.0,0
2007-09-09,M,M,0.00,0.0,0
2007-09-10,71,27,0.00,0.0,0
2007-09-11,M,M,0.00,0.0,0
2007-09-12,75,M,0.00,0.0,0
2007-09-13,77,28,0.00,0.0,0
2007-09-14,73,33,0.00,0.0,0
2007-09-15,79,33,0.00,0.0,0
2007-09-16,79,31,0.00,0.0,0
2007-09-17,73,33,0.00,0.0,0
2007-09-18,70,41,0.09,0.0,0
2007-09-19,M,M,0.01,M,0
2007-09-20,67,33,0.00,0.0,0
2007-09-21,67,44,0.00,0.0,0
2007-09-22,67,34,0.00,0.0,0
2007-09-23,63,46,0.24,0.0,0
2007-09-24,51,37,0.41,0.0,0
2007-09-25,48,35,T,0.0,0
2007-09-26,54,34,0.00,0.0,0
2007-09-27,59,30,0.00,0.0,0
2007-09-28,65,32,0.00,0.0,0
2007-09-29,66,38,0.08,0.0,0
2007-09-30,42,34,0.01,0.0,0
2007-10-01,56,30,0.00,0.0,0
2007-10-02,55,32,0.32,M,M
2007-10-03,50,39,0.00,0.0,M
2007-10-04,52,35,0.04,0.0,M
2007-10-05,52,37,0.65,0.0,M
2007-10-06,41,37,0.50,0.0,0
2007-10-07,40,31,0.09,0.0,0
2007-10-08,47,35,T,0.0,0
2007-10-09,48,34,0.00,0.0,0
2007-10-10,66,33,0.00,0.0,0
2007-10-11,67,M,0.00,0.0,0
2007-10-12,53,30,0.00,0.0,0
2007-10-13,60,30,0.00,0.0,0
2007-10-14,53,29,0.00,0.0,0
2007-10-15,60,29,0.00,0.0,0
2007-10-16,59,29,0.00,0.0,0
2007-10-17,57,35,0.03,0.0,0
2007-10-18,44,30,0.12,1.0,M
2007-10-19,36,29,0.18,3.0,M
2007-10-20,45,29,1.04,0.0,M
2007-10-21,40,28,0.02,0.0,M
2007-10-22,42,32,0.00,0.0,M
2007-10-23,49,34,0.00,0.0,0
2007-10-24,54,30,0.00,0.0,0
2007-10-25,62,30,0.00,0.0,0
2007-10-26,61,31,0.00,0.0,0
2007-10-27,46,29,0.00,0.0,0
2007-10-28,56,27,0.00,0.0,0
2007-10-29,57,27,0.00,0.0,0
2007-10-30,60,38,0.05,0.0,0
2007-10-31,44,30,0.00,0.0,0
2007-11-01,43,29,0.00,0.0,0
2007-11-02,42,30,0.00,0.0,0
2007-11-03,45,31,0.00,0.0,0
2007-11-04,49,32,0.00,0.0,0
2007-11-05,48,27,0.00,0.0,0
