date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1978-12-01,33,10,0.02,M,2
1978-12-02,11,-8,0.00,0.0,2
1978-12-03,30,-5,0.00,0.0,2
1978-12-04,40,22,0.13,2.0,4
1978-12-05,22,6,0.07,4.0,6
1978-12-06,13,-8,0.01,1.0,7
1978-12-07,8,-13,0.00,0.0,7
1978-12-08,22,-10,0.00,0.0,M
1978-12-09,30,20,0.00,0.0,M
1978-12-10,32,20,0.00,0.0,M
1978-12-11,36,20,0.00,0.0,M
1978-12-12,27,23,0.00,0.0,M
1978-12-13,37,1,0.00,0.0,M
1978-12-14,34,18,0.00,0.0,M
1978-12-15,35,18,0.01,M,M
1978-12-16,28,13,0.00,0.0,M
1978-12-17,37,13,0.00,0.0,M
1978-12-18,35,19,T,0.0,M
1978-12-19,33,8,0.00,0.0,M
1978-12-20,30,18,0.00,0.0,M
1978-12-21,36,20,T,0.0,M
1978-12-22,35,22,0.00,0.0,M
1978-12-23,38,18,0.00,0.0,M
1978-12-24,36,15,0.05,1.0,9
1978-12-25,M,16,0.00,0.0,M
1978-12-26,23,3,0.01,M,M
1978-12-27,28,8,0.01,M,M
1978-12-28,8,-12,0.09,2.0,M
1978-12-29,-8,-34,0.00,0.0,M
1978-12-30,-9,-33,0.00,0.0,M
1978-12-31,-8,-26,0.00,0.0,M
1979-01-01,2,-17,0.00,0.0,M
1979-01-02,16,-3,0.07,1.0,10
1979-01-03,15,-8,T,T,M
1979-01-04,6,-10,T,T,M
1979-01-05,4,-31,0.00,0.0,M
1979-01-06,11,-20,0.00,0.0,M
1979-01-07,10,-11,0.00,0.0,M
1979-01-08,14,-10,0.00,0.0,M
1979-01-09,10,-10,T,T,M
1979-01-10,23,3,T,1.5,8
1979-01-11,32,8,0.02,0.5,9
1979-01-12,10,-4,0.08,0.5,9
1979-01-13,1,-7,0.05,1.0,10
1979-01-14,-0,-19,0.02,0.5,11
1979-01-15,26,-4,0.05,0.5,11
1979-01-16,27,10,0.00,0.0,M
1979-01-17,27,4,0.00,0.0,M
1979-01-18,29,6,0.00,0.0,M
1979-01-19,33,8,0.00,0.0,M
1979-01-20,33,12,0.00,0.0,M
1979-01-21,36,19,0.02,1.0,M
1979-01-22,23,4,0.00,0.0,M
1979-01-23,23,7,0.00,0.0,M
1979-01-24,22,13,0.00,0.0,M
1979-01-25,23,-6,T,0.5,M
1979-01-26,11,-11,0.00,0.0,M
1979-01-27,21,-11,0.03,0.5,M
1979-01-28,14,-10,T,T,M
1979-01-29,7,-16,0.00,0.0,M
1979-01-30,6,-20,0.00,0.0,M
1979-01-31,12,-15,0.00,0.0,M
1979-02-01,10,-8,0.00,0.0,M
1979-02-02,12,-19,0.00,0.0,M
1979-02-03,26,5,T,T,12
1979-02-04,26,6,T,T,12
1979-02-05,35,18,0.00,0.0,8
1979-02-06,34,14,0.00,0.0,M
1979-02-07,35,25,T,T,M
1979-02-08,27,3,0.00,0.0,M
1979-02-09,40,18,0.00,0.0,M
1979-02-10,40,32,0.00,0.0,M
1979-02-11,42,32,0.00,0.0,M
1979-02-12,44,33,0.00,0.0,M
1979-02-13,46,34,T,T,2
1979-02-14,42,-8,0.32,2.0,4
1979-02-15,5,-12,0.05,2.0,6
1979-02-16,26,-12,0.00,0.0,M
1979-02-17,37,12,0.00,0.0,5
1979-02-18,41,25,0.00,0.0,3
1979-02-19,43,19,0.00,0.0,3
1979-02-20,40,20,0.00,0.0,3
1979-02-21,35,15,T,T,3
1979-02-22,27,-1,0.00,0.0,3
1979-02-23,17,-8,0.00,0.0,3
1979-02-24,34,1,T,T,3
1979-02-25,41,27,0.00,0.0,M
1979-02-26,45,30,0.00,0.0,2
1979-02-27,40,17,0.00,0.0,M
1979-02-28,41,21,0.00,0.0,M
1979-03-01,31,15,0.15,0.5,3
1979-03-02,33,10,T,T,2
1979-03-03,31,12,0.00,0.0,2
1979-03-04,38,19,0.00,0.0,2
1979-03-05,46,34,0.00,0.0,0
1979-03-06,48,36,0.00,0.0,0
1979-03-07,50,32,0.00,0.0,0
1979-03-08,40,26,0.00,0.0,0
1979-03-09,M,16,0.00,0.0,0
1979-03-10,M,M,0.00,0.0,0
1979-03-11,53,32,0.00,0.0,0
1979-03-12,48,35,0.00,0.0,0
1979-03-13,46,18,0.00,0.0,0
1979-03-14,54,21,0.00,0.0,0
1979-03-15,56,26,0.00,0.0,0
1979-03-16,55,32,0.00,0.0,0
1979-03-17,49,23,0.14,2.0,0
1979-03-18,50,26,T,0.0,0
1979-03-19,42,25,0.00,0.0,0
1979-03-20,38,19,0.00,0.0,0
1979-03-21,46,18,0.00,0.0,0
1979-03-22,41,26,0.00,0.0,0
1979-03-23,49,21,0.00,0.0,0
1979-03-24,59,28,0.00,0.0,0
1979-03-25,52,15,T,T,T
1979-03-26,33,12,0.01,0.5,T
1979-03-27,25,14,0.23,3.0,3
1979-03-28,47,11,0.00,0.0,M
1979-03-29,42,28,T,0.0,0
1979-03-30,45,20,0.00,0.0,0
1979-03-31,38,18,T,0.0,0
1979-04-01,40,16,T,0.0,0
