date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1982-03-01,74,43,0.00,0.0,0
1982-03-02,77,55,0.00,0.0,0
1982-03-03,65,45,T,0.0,0
1982-03-04,68,38,0.00,0.0,0
1982-03-05,70,39,0.00,0.0,0
1982-03-06,61,32,0.00,0.0,0
1982-03-07,60,35,0.00,0.0,0
1982-03-08,72,M,0.00,0.0,0
1982-03-09,74,41,0.00,0.0,0
1982-03-10,78,46,0.00,0.0,0
1982-03-11,77,M,0.00,0.0,0
1982-03-12,80,50,0.00,0.0,0
1982-03-13,67,48,0.57,0.0,0
1982-03-14,65,38,0.02,0.0,0
1982-03-15,59,M,0.01,0.0,0
1982-03-16,59,41,0.00,0.0,0
1982-03-17,65,40,0.00,0.0,0
1982-03-18,68,M,0.00,0.0,0
1982-03-19,63,32,0.01,0.0,0
1982-03-20,64,30,0.00,0.0,0
1982-03-21,66,34,0.00,0.0,0
1982-03-22,67,38,0.00,0.0,0
1982-03-23,72,38,0.00,0.0,0
1982-03-24,72,38,0.00,0.0,0
1982-03-25,72,42,0.00,0.0,0
1982-03-26,77,M,T,0.0,0
1982-03-27,62,40,T,0.0,0
1982-03-28,71,44,0.00,0.0,0
1982-03-29,75,44,0.00,0.0,0
1982-03-30,61,37,0.00,0.0,0
1982-03-31,69,38,0.00,0.0,0
1982-04-01,73,45,0.00,0.0,0
1982-04-02,76,40,0.00,0.0,0
1982-04-03,70,40,0.00,0.0,0
1982-04-04,77,42,0.00,0.0,0
1982-04-05,77,41,0.00,0.0,0
1982-04-06,78,49,0.00,0.0,0
1982-04-07,78,49,0.05,0.0,0
1982-04-08,78,40,0.01,0.0,0
1982-04-09,74,42,0.00,0.0,0
1982-04-10,80,52,0.00,0.0,0
1982-04-11,79,45,0.00,0.0,0
1982-04-12,84,52,0.00,0.0,0
1982-04-13,84,60,T,0.0,0
1982-04-14,84,54,0.00,0.0,0
1982-04-15,89,42,0.01,0.0,0
1982-04-16,77,46,0.00,0.0,0
1982-04-17,77,45,0.00,0.0,0
1982-04-18,80,45,0.00,0.0,0
1982-04-19,79,51,0.00,0.0,0
1982-04-20,81,50,0.00,0.0,0
1982-04-21,80,50,0.00,0.0,0
1982-04-22,74,42,0.00,0.0,0
1982-04-23,M,M,0.00,0.0,0
1982-04-24,M,M,0.00,0.0,0
1982-04-25,75,41,0.00,0.0,0
1982-04-26,77,49,0.00,0.0,0
1982-04-27,83,49,0.00,0.0,0
1982-04-28,84,52,0.00,0.0,0
1982-04-29,87,52,0.00,0.0,0
1982-04-30,70,51,0.02,0.0,0
1982-05-01,86,M,0.00,0.0,0
1982-05-02,83,53,0.26,0.0,0
1982-05-03,80,M,0.00,0.0,0
1982-05-04,80,56,0.00,0.0,0
1982-05-05,76,45,0.04,0.0,0
1982-05-06,67,45,0.00,0.0,0
1982-05-07,76,45,0.00,0.0,0
1982-05-08,82,53,0.00,0.0,0
1982-05-09,81,53,0.00,0.0,0
1982-05-10,78,53,0.00,0.0,0
1982-05-11,75,47,0.00,0.0,0
1982-05-12,74,44,0.00,0.0,0
1982-05-13,65,44,0.00,0.0,0
1982-05-14,73,44,0.00,0.0,0
1982-05-15,83,52,0.00,0.0,0
1982-05-16,81,51,0.00,0.0,0
1982-05-17,82,54,0.00,0.0,0
1982-05-18,87,54,0.00,0.0,0
1982-05-19,86,55,0.00,0.0,0
1982-05-20,85,52,0.00,0.0,0
1982-05-21,87,54,0.00,0.0,0
1982-05-22,91,54,0.00,0.0,0
1982-05-23,89,55,0.00,0.0,0
1982-05-24,88,57,0.00,0.0,0
1982-05-25,90,54,0.00,0.0,0
1982-05-26,90,60,0.00,0.0,0
1982-05-27,90,61,T,0.0,0
1982-05-28,82,51,0.05,0.0,0
1982-05-29,88,56,0.00,0.0,0
1982-05-30,89,55,0.00,0.0,0
1982-05-31,90,54,0.00,0.0,0
1982-06-01,90,60,0.00,0.0,0
1982-06-02,92,55,0.00,0.0,0
1982-06-03,90,50,0.00,0.0,0
1982-06-04,89,56,0.00,0.0,0
1982-06-05,94,60,0.00,0.0,0
1982-06-06,90,56,0.00,0.0,0
1982-06-07,87,58,0.00,0.0,0
1982-06-08,92,59,0.00,0.0,0
1982-06-09,89,55,0.00,0.0,0
1982-06-10,92,57,0.00,0.0,0
1982-06-11,94,59,0.00,0.0,0
1982-06-12,93,59,0.00,0.0,0
1982-06-13,93,59,0.00,0.0,0
1982-06-14,92,58,0.00,0.0,0
1982-06-15,92,57,0.00,0.0,0
1982-06-16,91,57,0.00,0.0,0
1982-06-17,95,59,0.00,0.0,0
1982-06-18,96,59,0.00,0.0,0
1982-06-19,90,56,0.00,0.0,0
1982-06-20,94,58,0.00,0.0,0
1982-06-21,93,60,0.00,0.0,0
1982-06-22,93,58,0.00,0.0,0
1982-06-23,92,58,0.00,0.0,0
1982-06-24,93,56,0.00,0.0,0
1982-06-25,95,59,0.00,0.0,0
1982-06-26,98,65,0.00,0.0,0
1982-06-27,98,63,0.00,0.0,0
1982-06-28,101,64,0.00,0.0,0
1982-06-29,99,55,0.00,0.0,0
1982-06-30,92,68,T,0.0,0
1982-07-01,93,62,0.00,0.0,0
1982-07-02,90,65,0.00,0.0,0
1982-07-03,94,71,0.00,0.0,0
1982-07-04,90,69,0.00,0.0,0
1982-07-05,94,63,0.00,0.0,0
1982-07-06,86,60,0.00,0.0,0
1982-07-07,74,59,1.34,0.0,0
1982-07-08,85,63,0.00,0.0,0
1982-07-09,94,64,0.00,0.0,0
1982-07-10,94,64,0.00,0.0,0
1982-07-11,100,72,0.00,0.0,0
1982-07-12,97,67,0.00,0.0,0
1982-07-13,99,68,0.00,0.0,0
1982-07-14,99,68,T,0.0,0
1982-07-15,99,67,0.00,0.0,0
1982-07-16,96,69,0.00,0.0,0
1982-07-17,93,67,0.00,0.0,0
1982-07-18,90,67,0.02,0.0,0
1982-07-19,89,61,0.17,0.0,0
1982-07-20,92,64,0.44,0.0,0
1982-07-21,96,64,0.06,0.0,0
1982-07-22,95,66,T,0.0,0
1982-07-23,96,66,0.00,0.0,0
1982-07-24,96,68,T,0.0,0
1982-07-25,90,62,0.16,0.0,0
1982-07-26,89,62,0.00,0.0,0
1982-07-27,85,62,T,0.0,0
1982-07-28,93,68,0.00,0.0,0
1982-07-29,92,67,T,0.0,0
1982-07-30,92,65,T,0.0,0
1982-07-31,92,64,0.76,0.0,0
1982-08-01,86,62,0.13,0.0,0
1982-08-02,90,67,0.00,0.0,0
1982-08-03,93,63,0.29,0.0,0
1982-08-04,89,62,0.02,0.0,0
1982-08-05,86,65,0.00,0.0,0
1982-08-06,90,63,0.30,0.0,0
1982-08-07,85,63,0.00,0.0,0
1982-08-08,94,69,0.00,0.0,0
1982-08-09,93,64,0.22,0.0,0
1982-08-10,92,64,0.00,0.0,0
1982-08-11,95,67,0.00,0.0,0
1982-08-12,85,66,T,0.0,0
1982-08-13,85,63,0.20,0.0,0
1982-08-14,87,64,T,0.0,0
1982-08-15,85,62,0.11,0.0,0
1982-08-16,85,62,0.00,0.0,0
1982-08-17,94,67,0.01,0.0,0
1982-08-18,94,68,0.00,0.0,0
1982-08-19,98,67,0.03,0.0,0
1982-08-20,94,63,0.08,0.0,0
1982-08-21,96,65,0.18,0.0,0
1982-08-22,90,63,0.00,0.0,0
1982-08-23,92,64,0.00,0.0,0
1982-08-24,88,61,0.00,0.0,0
1982-08-25,84,58,0.00,0.0,0
1982-08-26,89,64,0.00,0.0,0
1982-08-27,91,65,0.00,0.0,0
1982-08-28,91,62,0.04,0.0,0
1982-08-29,91,63,0.71,0.0,0
1982-08-30,89,63,0.53,0.0,0
1982-08-31,90,65,0.00,0.0,0
1982-09-01,94,64,0.00,0.0,0
1982-09-02,96,63,0.00,0.0,0
1982-09-03,97,65,0.09,0.0,0
1982-09-04,91,67,0.00,0.0,0
1982-09-05,93,64,0.00,0.0,0
1982-09-06,94,67,0.00,0.0,0
1982-09-07,94,65,0.00,0.0,0
1982-09-08,84,61,0.30,0.0,0
1982-09-09,83,60,0.33,0.0,0
1982-09-10,83,63,0.22,0.0,0
1982-09-11,81,54,0.12,0.0,0
1982-09-12,76,52,0.38,0.0,0
1982-09-13,76,55,0.00,0.0,0
1982-09-14,78,54,0.00,0.0,0
1982-09-15,82,52,0.00,0.0,0
1982-09-16,86,53,0.00,0.0,0
1982-09-17,86,59,0.00,0.0,0
1982-09-18,88,58,0.00,0.0,0
1982-09-19,90,60,0.00,0.0,0
1982-09-20,93,59,0.00,0.0,0
1982-09-21,91,64,0.00,0.0,0
1982-09-22,92,62,0.00,0.0,0
1982-09-23,90,63,0.00,0.0,0
1982-09-24,94,64,0.00,0.0,0
1982-09-25,95,66,0.00,0.0,0
1982-09-26,94,63,0.00,0.0,0
1982-09-27,88,63,0.00,0.0,0
1982-09-28,82,49,0.00,0.0,0
1982-09-29,80,51,0.00,0.0,0
1982-09-30,83,51,0.00,0.0,0
1982-10-01,82,50,0.00,0.0,0
1982-10-02,79,48,0.00,0.0,0
1982-10-03,84,51,0.00,0.0,0
1982-10-04,90,53,0.00,0.0,0
1982-10-05,90,55,0.00,0.0,0
1982-10-06,88,47,0.00,0.0,0
1982-10-07,86,50,0.00,0.0,0
1982-10-08,85,51,0.00,0.0,0
1982-10-09,76,44,0.00,0.0,0
1982-10-10,75,41,0.00,0.0,0
1982-10-11,77,42,0.00,0.0,0
1982-10-12,72,39,0.00,0.0,0
1982-10-13,72,38,0.00,0.0,0
1982-10-14,73,43,0.00,0.0,0
1982-10-15,78,49,0.00,0.0,0
