date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1996-01-01,31,10,0.05,0.5,T
1996-01-02,20,5,T,T,1
1996-01-03,28,14,0.30,1.1,2
1996-01-04,16,-2,0.06,0.6,3
1996-01-05,3,-6,0.01,T,3
1996-01-06,9,-6,0.00,0.0,3
1996-01-07,45,-5,0.00,0.0,3
1996-01-08,52,32,0.00,0.0,1
1996-01-09,47,31,0.00,0.0,1
1996-01-10,46,31,0.00,0.0,T
1996-01-11,65,M,0.00,0.0,T
1996-01-12,58,29,0.00,0.0,T
1996-01-13,59,40,0.00,0.0,0
1996-01-14,49,22,T,T,T
1996-01-15,52,21,0.00,0.0,0
1996-01-16,54,26,0.01,0.1,M
1996-01-17,M,-7,0.06,2.1,3
1996-01-18,-1,-13,0.00,0.0,1
1996-01-19,-6,-12,T,T,1
1996-01-20,30,-12,0.00,0.0,1
1996-01-21,47,8,T,T,T
1996-01-22,10,2,0.03,0.5,1
1996-01-23,28,4,0.00,0.0,1
1996-01-24,12,-1,0.09,2.1,3
1996-01-25,3,-8,T,T,3
1996-01-26,13,-5,0.00,0.0,3
1996-01-27,8,-2,0.01,0.1,2
1996-01-28,2,-14,T,0.1,2
1996-01-29,-11,-15,0.01,0.2,2
1996-01-30,-4,-15,0.00,0.0,2
1996-01-31,12,-9,0.01,0.1,2
1996-02-01,6,-23,0.01,0.1,2
1996-02-02,-6,-23,0.00,0.0,1
1996-02-03,3,-16,0.00,0.0,1
1996-02-04,33,-13,0.00,0.0,1
1996-02-05,46,16,0.00,0.0,T
1996-02-06,60,42,0.00,0.0,T
1996-02-07,62,39,T,0.0,T
1996-02-08,54,35,0.00,0.0,T
1996-02-09,70,40,T,0.0,0
1996-02-10,41,27,0.00,0.0,0
1996-02-11,45,30,0.00,0.0,0
1996-02-12,56,34,0.00,0.0,0
1996-02-13,55,40,0.00,0.0,0
1996-02-14,49,28,T,0.0,0
1996-02-15,34,8,T,T,T
1996-02-16,58,8,0.00,0.0,0
1996-02-17,42,26,0.00,0.0,0
1996-02-18,58,27,T,0.0,0
1996-02-19,58,43,T,0.0,0
1996-02-20,53,31,0.00,0.0,0
1996-02-21,56,26,0.00,0.0,0
1996-02-22,65,30,0.04,0.0,0
1996-02-23,46,29,0.00,0.0,0
1996-02-24,55,27,0.00,0.0,0
1996-02-25,27,10,0.02,0.9,1
1996-02-26,11,-1,0.05,1.6,2
1996-02-27,8,-2,T,T,1
1996-02-28,6,-4,0.00,0.0,1
1996-02-29,26,-5,T,T,1
1996-03-01,33,19,0.05,1.8,2
1996-03-02,21,8,0.12,2.1,3
1996-03-03,29,11,T,T,2
1996-03-04,19,10,0.13,2.3,4
1996-03-05,10,2,0.18,3.3,7
1996-03-06,8,-0,T,T,7
1996-03-07,3,-8,T,T,6
1996-03-08,10,-11,0.00,0.0,6
1996-03-09,41,4,0.00,0.0,3
1996-03-10,62,33,0.00,0.0,1
1996-03-11,56,38,0.00,0.0,T
1996-03-12,57,42,T,0.0,0
1996-03-13,46,37,0.18,0.0,0
1996-03-14,55,28,0.00,0.0,0
1996-03-15,65,36,0.00,0.0,0
1996-03-16,44,34,0.00,0.0,0
1996-03-17,40,28,0.05,0.6,T
1996-03-18,37,24,0.02,0.3,T
1996-03-19,31,17,0.00,0.0,0
1996-03-20,46,13,0.00,0.0,0
1996-03-21,48,28,T,T,T
1996-03-22,52,25,T,T,T
1996-03-23,43,14,0.02,0.2,T
1996-03-24,14,2,0.20,2.0,T
1996-03-25,21,-1,0.00,0.0,T
1996-03-26,42,1,0.00,0.0,T
1996-03-27,29,18,T,T,T
1996-03-28,18,15,T,T,T
1996-03-29,23,16,T,T,T
1996-03-30,34,19,0.00,0.0,0
1996-03-31,43,19,0.00,0.0,0
