date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1991-03-01,75,53,0.65,0.0,0
1991-03-02,72,49,0.00,0.0,0
1991-03-03,75,47,0.00,0.0,0
1991-03-04,78,47,0.00,0.0,0
1991-03-05,78,64,0.00,0.0,0
1991-03-06,M,67,0.00,0.0,0
1991-03-07,68,45,0.00,0.0,0
1991-03-08,72,43,0.00,0.0,0
1991-03-09,73,46,0.00,0.0,0
1991-03-10,73,45,0.00,0.0,0
1991-03-11,M,46,0.00,0.0,0
1991-03-12,71,42,0.00,0.0,0
1991-03-13,73,42,0.00,0.0,0
1991-03-14,M,49,0.00,0.0,0
1991-03-15,68,52,0.05,0.0,0
1991-03-16,65,38,0.00,0.0,0
1991-03-17,72,44,0.00,0.0,0
1991-03-18,79,44,0.00,0.0,0
1991-03-19,M,51,0.11,0.0,0
1991-03-20,M,49,0.05,0.0,0
1991-03-21,62,46,0.07,0.0,0
1991-03-22,68,43,0.00,0.0,0
1991-03-23,76,43,0.00,0.0,0
1991-03-24,77,47,0.00,0.0,0
1991-03-25,M,58,T,0.0,0
1991-03-26,M,48,0.46,0.0,0
1991-03-27,60,46,0.32,0.0,0
1991-03-28,68,41,0.04,0.0,0
1991-03-29,73,41,0.00,0.0,0
1991-03-30,75,52,0.00,0.0,0
1991-03-31,86,49,0.00,0.0,0
1991-04-01,M,60,0.00,0.0,0
1991-04-02,80,51,0.00,0.0,0
1991-04-03,85,53,0.00,0.0,0
1991-04-04,91,53,0.00,0.0,0
1991-04-05,94,58,0.00,0.0,0
1991-04-06,98,59,0.00,0.0,0
1991-04-07,M,59,0.00,0.0,0
1991-04-08,M,58,0.00,0.0,0
1991-04-09,86,55,0.00,0.0,0
1991-04-10,86,59,0.00,0.0,0
1991-04-11,M,52,0.00,0.0,0
1991-04-12,73,46,0.00,0.0,0
1991-04-13,79,46,0.00,0.0,0
1991-04-14,86,51,0.00,0.0,0
1991-04-15,87,64,0.00,0.0,0
1991-04-16,86,64,0.00,0.0,0
1991-04-17,84,55,0.00,0.0,0
1991-04-18,84,53,0.00,0.0,0
1991-04-19,88,53,0.00,0.0,0
1991-04-20,90,53,0.00,0.0,0
1991-04-21,90,59,0.00,0.0,0
1991-04-22,86,57,0.00,0.0,0
1991-04-23,85,60,0.00,0.0,0
1991-04-24,88,64,0.00,0.0,0
1991-04-25,M,62,0.00,0.0,0
1991-04-26,83,57,0.00,0.0,0
1991-04-27,83,56,0.00,0.0,0
1991-04-28,M,56,0.00,0.0,0
1991-04-29,90,52,0.00,0.0,0
1991-04-30,91,65,0.00,0.0,0
1991-05-01,90,64,0.00,0.0,0
1991-05-02,M,55,0.00,0.0,0
1991-05-03,82,56,0.00,0.0,0
1991-05-04,83,56,0.00,0.0,0
1991-05-05,89,60,0.00,0.0,0
1991-05-06,99,61,0.00,0.0,0
1991-05-07,97,67,0.00,0.0,0
1991-05-08,100,72,0.00,0.0,0
1991-05-09,M,73,0.00,0.0,0
1991-05-10,M,60,0.00,0.0,0
1991-05-11,82,55,0.00,0.0,0
1991-05-12,87,55,0.00,0.0,0
1991-05-13,95,55,0.00,0.0,0
1991-05-14,M,66,0.00,0.0,0
1991-05-15,88,66,0.00,0.0,0
1991-05-16,98,62,0.00,0.0,0
1991-05-17,99,74,0.00,0.0,0
1991-05-18,M,63,0.00,0.0,0
1991-05-19,91,61,0.00,0.0,0
1991-05-20,94,60,0.00,0.0,0
1991-05-21,94,60,0.00,0.0,0
1991-05-22,94,66,0.00,0.0,0
1991-05-23,96,67,0.00,0.0,0
1991-05-24,105,64,0.00,0.0,0
1991-05-25,104,64,0.00,0.0,0
1991-05-26,104,76,0.00,0.0,0
1991-05-27,104,73,0.00,0.0,0
1991-05-28,98,66,0.00,0.0,0
1991-05-29,99,68,0.00,0.0,0
1991-05-30,99,68,0.00,0.0,0
1991-05-31,M,62,0.00,0.0,0
1991-06-01,80,60,0.03,0.0,0
1991-06-02,89,60,0.00,0.0,0
1991-06-03,102,78,0.00,0.0,0
1991-06-04,104,74,0.00,0.0,0
1991-06-05,101,74,0.00,0.0,0
1991-06-06,102,74,0.00,0.0,0
1991-06-07,104,71,0.00,0.0,0
1991-06-08,106,71,0.00,0.0,0
