date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1988-01-14,68,43,0.00,0.0,0
1988-01-15,64,41,0.00,0.0,0
1988-01-16,68,39,0.00,0.0,0
1988-01-17,53,44,0.71,0.0,0
1988-01-18,56,45,0.00,0.0,0
1988-01-19,56,M,0.00,0.0,0
1988-01-20,53,M,0.00,0.0,0
1988-01-21,57,30,0.00,0.0,0
1988-01-22,57,38,0.00,0.0,0
1988-01-23,64,M,0.00,0.0,0
1988-01-24,64,48,0.00,0.0,0
1988-01-25,M,40,0.00,0.0,0
1988-01-26,69,M,0.00,0.0,0
1988-01-27,69,52,0.00,0.0,0
1988-01-28,72,43,0.00,0.0,0
1988-01-29,74,44,0.00,0.0,0
1988-01-30,70,46,0.00,0.0,0
1988-01-31,69,39,0.00,0.0,0
1988-02-01,69,M,0.00,0.0,0
1988-02-02,54,45,0.85,0.0,0
1988-02-03,59,M,0.00,0.0,0
1988-02-04,64,45,0.00,0.0,0
1988-02-05,66,46,0.00,0.0,0
1988-02-06,69,46,0.00,0.0,0
1988-02-07,70,39,0.00,0.0,0
1988-02-08,73,38,0.00,0.0,0
1988-02-09,75,M,0.00,0.0,0
1988-02-10,77,43,0.00,0.0,0
1988-02-11,72,M,0.00,0.0,0
1988-02-12,74,53,0.00,0.0,0
1988-02-13,71,39,0.00,0.0,0
1988-02-14,69,M,0.00,0.0,0
1988-02-15,74,54,0.00,0.0,0
1988-02-16,71,39,0.00,0.0,0
1988-02-17,71,M,0.00,0.0,0
1988-02-18,M,36,0.00,0.0,0
1988-02-19,68,M,0.00,0.0,0
1988-02-20,74,33,0.00,0.0,0
1988-02-21,75,M,0.00,0.0,0
1988-02-22,82,M,0.00,0.0,0
1988-02-23,79,40,0.00,0.0,0
1988-02-24,81,42,0.00,0.0,0
1988-02-25,80,41,0.00,0.0,0
1988-02-26,81,51,0.00,0.0,0
1988-02-27,83,61,0.00,0.0,0
1988-02-28,82,55,0.00,0.0,0
1988-02-29,79,48,0.00,0.0,0
1988-03-01,75,46,T,0.0,0
1988-03-02,77,52,0.00,0.0,0
1988-03-03,78,54,0.00,0.0,0
1988-03-04,80,44,0.00,0.0,0
1988-03-05,83,51,0.00,0.0,0
1988-03-06,83,47,0.00,0.0,0
1988-03-07,83,48,0.00,0.0,0
1988-03-08,81,M,0.00,0.0,0
1988-03-09,83,M,0.00,0.0,0
1988-03-10,66,47,0.00,0.0,0
1988-03-11,65,39,0.00,0.0,0
1988-03-12,68,42,0.00,0.0,0
1988-03-13,69,36,0.00,0.0,0
1988-03-14,76,50,0.00,0.0,0
1988-03-15,80,38,0.00,0.0,0
1988-03-16,74,35,0.00,0.0,0
1988-03-17,74,47,0.00,0.0,0
